,date,1. open,2. high,3. low,4. close,5. volume,sma20,sma50,sma100,sma200,ema9,ema15,ema65,ema200,rsi
0,2020-03-25 09:35:00,68.5,69.87,68.15,69.38,233352.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1,2020-03-25 09:40:00,69.69,69.714,68.75,69.18,175807.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-25 09:45:00,69.29,70.0,69.145,69.44,169817.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.33
3,2020-03-25 09:50:00,69.54,70.1,69.3517,69.68,441349.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.63
4,2020-03-25 09:55:00,69.8,70.29,69.8,69.9,95725.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.64
5,2020-03-25 10:00:00,69.91,70.01,69.45,69.56,84827.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.9
6,2020-03-25 10:05:00,69.48,69.88,69.31,69.45,71701.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.5
7,2020-03-25 10:10:00,69.48,69.73,69.32,69.42,69437.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.11
8,2020-03-25 10:15:00,69.54,69.57,69.13,69.34,95098.0,0.0,0.0,0.0,0.0,69.46,0.0,0.0,0.0,45.5
9,2020-03-25 10:20:00,69.36,69.39,69.12,69.24,46205.0,0.0,0.0,0.0,0.0,69.42,0.0,0.0,0.0,41.41
10,2020-03-25 10:25:00,69.27,69.79,69.2401,69.565,36448.0,0.0,0.0,0.0,0.0,69.45,0.0,0.0,0.0,55.44
11,2020-03-25 10:30:00,69.554,69.56,69.13,69.34,52715.0,0.0,0.0,0.0,0.0,69.43,0.0,0.0,0.0,47.04
12,2020-03-25 10:35:00,69.355,69.6886,69.355,69.56,64803.0,0.0,0.0,0.0,0.0,69.45,0.0,0.0,0.0,54.32
13,2020-03-25 10:40:00,69.6102,69.93,69.4,69.9,27698.0,0.0,0.0,0.0,0.0,69.54,0.0,0.0,0.0,62.83
14,2020-03-25 10:45:00,69.91,70.3,69.58,69.93,53187.0,0.0,0.0,0.0,0.0,69.62,69.56,0.0,0.0,63.48
15,2020-03-25 10:50:00,69.93,70.02,69.27,69.39,49242.0,0.0,0.0,0.0,0.0,69.57,69.54,0.0,0.0,47.47
16,2020-03-25 10:55:00,69.3,69.41,69.11,69.2,41006.0,0.0,0.0,0.0,0.0,69.5,69.49,0.0,0.0,43.33
17,2020-03-25 11:00:00,69.17,69.63,68.95,69.48,43122.0,0.0,0.0,0.0,0.0,69.5,69.49,0.0,0.0,50.22
18,2020-03-25 11:05:00,69.46,69.845,69.405,69.54,75353.0,0.0,0.0,0.0,0.0,69.5,69.5,0.0,0.0,51.58
19,2020-03-25 11:10:00,69.54,69.765,69.38,69.5,70119.0,69.5,0.0,0.0,0.0,69.5,69.5,0.0,0.0,50.59
20,2020-03-25 11:15:00,69.5,69.6091,69.2369,69.48,50106.0,69.5,0.0,0.0,0.0,69.5,69.5,0.0,0.0,50.07
21,2020-03-25 11:20:00,69.41,69.49,69.1,69.1734,43635.0,69.5,0.0,0.0,0.0,69.43,69.46,0.0,0.0,42.83
22,2020-03-25 11:25:00,69.16,69.29,68.9,69.18,54672.0,69.49,0.0,0.0,0.0,69.38,69.42,0.0,0.0,43.02
23,2020-03-25 11:30:00,69.16,69.87,69.16,69.385,72412.0,69.48,0.0,0.0,0.0,69.38,69.42,0.0,0.0,48.75
24,2020-03-25 11:35:00,69.34,69.49,69.12,69.16,28944.0,69.44,0.0,0.0,0.0,69.34,69.38,0.0,0.0,43.57
25,2020-03-25 11:40:00,69.13,69.61,69.06,69.22,56270.0,69.42,0.0,0.0,0.0,69.31,69.36,0.0,0.0,45.24
26,2020-03-25 11:45:00,69.16,69.3,68.67,68.77,39367.0,69.39,0.0,0.0,0.0,69.21,69.29,0.0,0.0,36.51
27,2020-03-25 11:50:00,68.765,68.9,68.32,68.835,51803.0,69.36,0.0,0.0,0.0,69.13,69.23,0.0,0.0,38.36
28,2020-03-25 11:55:00,68.8899,69.0,68.64,68.78,35874.0,69.33,0.0,0.0,0.0,69.06,69.18,0.0,0.0,37.37
29,2020-03-25 12:00:00,68.8,68.99,68.66,68.9,50055.0,69.31,0.0,0.0,0.0,69.03,69.14,0.0,0.0,40.96
30,2020-03-25 12:05:00,68.98,69.84,68.905,69.77,109514.0,69.32,0.0,0.0,0.0,69.18,69.22,0.0,0.0,59.21
31,2020-03-25 12:10:00,69.91,70.01,69.56,69.665,71168.0,69.34,0.0,0.0,0.0,69.27,69.28,0.0,0.0,56.92
32,2020-03-25 12:15:00,69.64,69.73,69.4075,69.7244,33888.0,69.35,0.0,0.0,0.0,69.36,69.33,0.0,0.0,57.91
33,2020-03-25 12:20:00,69.67,69.95,69.66,69.8099,60720.0,69.34,0.0,0.0,0.0,69.45,69.39,0.0,0.0,59.36
34,2020-03-25 12:25:00,69.81,70.04,69.74,69.975,43758.0,69.35,0.0,0.0,0.0,69.56,69.46,0.0,0.0,62.07
35,2020-03-25 12:30:00,70.012,70.05,69.8707,70.0,38855.0,69.38,0.0,0.0,0.0,69.65,69.53,0.0,0.0,62.48
36,2020-03-25 12:35:00,69.94,70.09,69.77,70.09,72720.0,69.42,0.0,0.0,0.0,69.74,69.6,0.0,0.0,63.98
37,2020-03-25 12:40:00,70.0544,70.43,69.95,70.42,54275.0,69.47,0.0,0.0,0.0,69.87,69.7,0.0,0.0,68.91
38,2020-03-25 12:45:00,70.42,70.45,70.07,70.25,111043.0,69.5,0.0,0.0,0.0,69.95,69.77,0.0,0.0,64.05
39,2020-03-25 12:50:00,70.2,70.75,70.2,70.545,47863.0,69.56,0.0,0.0,0.0,70.07,69.87,0.0,0.0,68.23
40,2020-03-25 12:55:00,70.58,70.75,70.07,70.1,44155.0,69.59,0.0,0.0,0.0,70.07,69.9,0.0,0.0,57.39
41,2020-03-25 13:00:00,70.12,70.55,70.11,70.43,58383.0,69.65,0.0,0.0,0.0,70.14,69.96,0.0,0.0,62.19
42,2020-03-25 13:05:00,70.42,70.52,70.15,70.375,60389.0,69.71,0.0,0.0,0.0,70.19,70.02,0.0,0.0,60.95
43,2020-03-25 13:10:00,70.4,70.76,70.4,70.655,51609.0,69.77,0.0,0.0,0.0,70.28,70.1,0.0,0.0,64.78
44,2020-03-25 13:15:00,70.6461,70.65,69.99,70.07,68515.0,69.82,0.0,0.0,0.0,70.24,70.09,0.0,0.0,53.08
45,2020-03-25 13:20:00,70.105,70.41,69.98,70.3487,52522.0,69.88,0.0,0.0,0.0,70.26,70.12,0.0,0.0,57.06
46,2020-03-25 13:25:00,70.38,70.68,70.2879,70.545,49322.0,69.96,0.0,0.0,0.0,70.32,70.18,0.0,0.0,59.65
47,2020-03-25 13:30:00,70.48,70.62,70.06,70.56,86126.0,70.05,0.0,0.0,0.0,70.37,70.22,0.0,0.0,59.85
48,2020-03-25 13:35:00,70.5,70.75,70.4201,70.625,99790.0,70.14,0.0,0.0,0.0,70.42,70.27,0.0,0.0,60.76
49,2020-03-25 13:40:00,70.59,70.7999,70.4038,70.67,44592.0,70.23,69.71,0.0,0.0,70.47,70.32,0.0,0.0,61.41
50,2020-03-25 13:45:00,70.7,70.9,70.65,70.86,74049.0,70.29,69.74,0.0,0.0,70.55,70.39,0.0,0.0,64.11
51,2020-03-25 13:50:00,70.89,71.47,70.84,71.38,66047.0,70.37,69.78,0.0,0.0,70.71,70.51,0.0,0.0,70.25
52,2020-03-25 13:55:00,71.37,71.79,71.27,71.45,58675.0,70.46,69.82,0.0,0.0,70.86,70.63,0.0,0.0,70.97
53,2020-03-25 14:00:00,71.47,71.65,71.2,71.41,57771.0,70.54,69.86,0.0,0.0,70.97,70.73,0.0,0.0,69.93
54,2020-03-25 14:05:00,71.405,71.53,70.85,71.15,50644.0,70.6,69.88,0.0,0.0,71.01,70.78,0.0,0.0,63.42
55,2020-03-25 14:10:00,71.11,71.145,70.07,70.2279,101245.0,70.61,69.9,0.0,0.0,70.85,70.71,0.0,0.0,46.78
56,2020-03-25 14:15:00,70.225,70.58,70.1,70.48,115883.0,70.63,69.92,0.0,0.0,70.78,70.68,0.0,0.0,50.59
57,2020-03-25 14:20:00,70.46,71.36,70.18,71.31,113523.0,70.67,69.96,0.0,0.0,70.88,70.76,0.0,0.0,60.61
58,2020-03-25 14:25:00,71.3121,71.42,71.02,71.125,57964.0,70.72,69.99,0.0,0.0,70.93,70.81,0.0,0.0,57.8
59,2020-03-25 14:30:00,71.161,71.51,71.08,71.36,43221.0,70.76,70.03,0.0,0.0,71.02,70.88,0.0,0.0,60.32
60,2020-03-25 14:35:00,71.2712,71.37,70.63,70.63,47818.0,70.78,70.05,0.0,0.0,70.94,70.85,0.0,0.0,50.28
61,2020-03-25 14:40:00,70.6653,71.29,70.62,71.2856,60402.0,70.83,70.09,0.0,0.0,71.01,70.9,0.0,0.0,57.17
62,2020-03-25 14:45:00,71.25,71.2671,70.87,71.13,44955.0,70.86,70.12,0.0,0.0,71.03,70.93,0.0,0.0,55.21
63,2020-03-25 14:50:00,71.13,71.52,70.99,71.5,62619.0,70.91,70.16,0.0,0.0,71.13,71.0,0.0,0.0,58.82
64,2020-03-25 14:55:00,71.445,71.54,71.17,71.52,59374.0,70.98,70.19,0.0,0.0,71.21,71.07,70.27,0.0,59.02
65,2020-03-25 15:00:00,71.49,72.11,71.46,72.02,84466.0,71.06,70.24,0.0,0.0,71.37,71.18,70.33,0.0,63.59
66,2020-03-25 15:05:00,72.0,72.5,71.975,72.498,68669.0,71.16,70.31,0.0,0.0,71.59,71.35,70.39,0.0,67.35
67,2020-03-25 15:10:00,72.505,72.505,72.055,72.205,69415.0,71.24,70.36,0.0,0.0,71.72,71.46,70.45,0.0,63.05
68,2020-03-25 15:15:00,72.17,72.17,71.64,71.8645,68776.0,71.3,70.41,0.0,0.0,71.75,71.51,70.49,0.0,58.4
69,2020-03-25 15:20:00,71.9,72.3801,71.9,72.37,66090.0,71.39,70.47,0.0,0.0,71.87,71.61,70.55,0.0,62.79
70,2020-03-25 15:25:00,72.345,72.53,72.15,72.4,77996.0,71.47,70.52,0.0,0.0,71.98,71.71,70.6,0.0,63.04
71,2020-03-25 15:30:00,72.34,72.44,71.66,71.96,100669.0,71.49,70.58,0.0,0.0,71.97,71.74,70.65,0.0,57.0
72,2020-03-25 15:35:00,72.025,72.52,72.025,72.49,105305.0,71.55,70.65,0.0,0.0,72.08,71.84,70.7,0.0,61.75
73,2020-03-25 15:40:00,72.445,72.6272,72.14,72.3,101975.0,71.59,70.7,0.0,0.0,72.12,71.9,70.75,0.0,59.23
74,2020-03-25 15:45:00,72.25,72.54,71.87,71.98,143283.0,71.63,70.76,0.0,0.0,72.09,71.91,70.79,0.0,55.14
75,2020-03-25 15:50:00,71.96,72.02,71.33,71.6,159920.0,71.7,70.81,0.0,0.0,71.99,71.87,70.81,0.0,50.66
76,2020-03-25 15:55:00,71.66,72.28,71.06,71.28,344994.0,71.74,70.86,0.0,0.0,71.85,71.79,70.83,0.0,47.19
77,2020-03-25 16:00:00,71.27,71.77,70.37,70.71,548751.0,71.71,70.9,0.0,0.0,71.62,71.66,70.82,0.0,41.7
78,2020-03-26 09:35:00,71.08,72.4,71.0,72.26,129609.0,71.77,70.97,0.0,0.0,71.75,71.73,70.87,0.0,56.51
79,2020-03-26 09:40:00,72.315,72.99,72.17,72.63,38858.0,71.83,71.04,0.0,0.0,71.93,71.85,70.92,0.0,59.17
80,2020-03-26 09:45:00,72.675,72.77,72.15,72.47,75351.0,71.92,71.09,0.0,0.0,72.04,71.92,70.97,0.0,57.53
81,2020-03-26 09:50:00,72.5,72.76,72.329,72.66,51306.0,71.99,71.15,0.0,0.0,72.16,72.02,71.02,0.0,58.99
82,2020-03-26 09:55:00,72.47,72.52,72.01,72.15,77548.0,72.04,71.2,0.0,0.0,72.16,72.03,71.05,0.0,53.67
83,2020-03-26 10:00:00,72.34,72.69,72.08,72.5,71638.0,72.09,71.26,0.0,0.0,72.23,72.09,71.1,0.0,56.56
84,2020-03-26 10:05:00,72.45,72.84,72.32,72.375,56134.0,72.14,71.3,0.0,0.0,72.26,72.13,71.13,0.0,55.24
85,2020-03-26 10:10:00,72.38,72.71,72.31,72.7,87338.0,72.17,71.36,0.0,0.0,72.34,72.2,71.18,0.0,58.0
86,2020-03-26 10:15:00,72.66,72.825,72.53,72.61,54704.0,72.18,71.41,0.0,0.0,72.4,72.25,71.23,0.0,56.95
87,2020-03-26 10:20:00,72.57,73.67,72.56,73.62,62191.0,72.25,71.47,0.0,0.0,72.64,72.42,71.3,0.0,64.66
88,2020-03-26 10:25:00,73.55,74.14,73.55,73.99,121438.0,72.35,71.55,0.0,0.0,72.91,72.62,71.38,0.0,66.99
89,2020-03-26 10:30:00,73.995,74.15,73.75,73.85,95558.0,72.43,71.61,0.0,0.0,73.1,72.77,71.45,0.0,65.24
90,2020-03-26 10:35:00,73.825,74.28,73.69,74.27,55598.0,72.52,71.7,0.0,0.0,73.33,72.96,71.54,0.0,67.95
