,date,1. open,2. high,3. low,4. close,5. volume,sma20,sma50,sma100,sma200,ema9,ema15,ema65,ema200,rsi
0,2020-03-25 09:35:00,145.0381,148.2124,144.3958,146.8286,88307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1,2020-03-25 09:40:00,145.93,151.1,145.15,151.1,35293.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2,2020-03-25 09:45:00,150.165,153.84,150.165,152.84,16688.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
3,2020-03-25 09:50:00,152.42,154.2184,152.36,153.84,31742.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
4,2020-03-25 09:55:00,152.14,152.62,150.3,150.915,94313.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66
5,2020-03-25 10:00:00,150.92,152.38,150.59,151.43,24843.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.64
6,2020-03-25 10:05:00,151.35,151.7,149.6,149.92,36377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.79
7,2020-03-25 10:10:00,150.035,151.87,149.895,151.62,33164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.58
8,2020-03-25 10:15:00,152.12,152.55,150.6608,151.09,38174.0,0.0,0.0,0.0,0.0,150.6,0.0,0.0,0.0,61.27
9,2020-03-25 10:20:00,151.1,153.47,151.03,153.0,41912.0,0.0,0.0,0.0,0.0,151.08,0.0,0.0,0.0,67.7
10,2020-03-25 10:25:00,153.16,154.59,153.13,153.84,35170.0,0.0,0.0,0.0,0.0,151.63,0.0,0.0,0.0,70.05
11,2020-03-25 10:30:00,154.1918,156.0356,153.971,153.9817,24018.0,0.0,0.0,0.0,0.0,152.1,0.0,0.0,0.0,70.44
12,2020-03-25 10:35:00,154.38,155.54,153.81,154.745,37035.0,0.0,0.0,0.0,0.0,152.63,0.0,0.0,0.0,72.52
13,2020-03-25 10:40:00,154.75,156.57,154.75,156.35,27870.0,0.0,0.0,0.0,0.0,153.38,0.0,0.0,0.0,76.3
14,2020-03-25 10:45:00,156.55,159.35,156.39,157.63,39134.0,0.0,0.0,0.0,0.0,154.23,152.85,0.0,0.0,78.8
15,2020-03-25 10:50:00,157.57,160.65,157.0,157.2,32221.0,0.0,0.0,0.0,0.0,154.82,153.39,0.0,0.0,75.9
16,2020-03-25 10:55:00,157.015,157.9,156.01,156.9031,28096.0,0.0,0.0,0.0,0.0,155.24,153.83,0.0,0.0,73.88
17,2020-03-25 11:00:00,156.63,159.31,156.3,158.82,34655.0,0.0,0.0,0.0,0.0,155.95,154.45,0.0,0.0,77.96
18,2020-03-25 11:05:00,159.1,159.87,158.0331,158.9956,36615.0,0.0,0.0,0.0,0.0,156.56,155.02,0.0,0.0,78.3
19,2020-03-25 11:10:00,158.83,162.09,158.83,160.18,74352.0,154.06,0.0,0.0,0.0,157.29,155.67,0.0,0.0,80.45
20,2020-03-25 11:15:00,160.1,160.35,158.555,158.9,21138.0,154.67,0.0,0.0,0.0,157.61,156.07,0.0,0.0,72.12
21,2020-03-25 11:20:00,159.39,159.51,158.29,159.275,27608.0,155.07,0.0,0.0,0.0,157.94,156.47,0.0,0.0,73.0
22,2020-03-25 11:25:00,159.2304,159.2304,157.88,158.84,23465.0,155.37,0.0,0.0,0.0,158.12,156.77,0.0,0.0,70.22
23,2020-03-25 11:30:00,158.685,160.07,158.49,159.065,29141.0,155.64,0.0,0.0,0.0,158.31,157.05,0.0,0.0,70.84
24,2020-03-25 11:35:00,159.075,159.13,158.06,158.783,26259.0,156.03,0.0,0.0,0.0,158.4,157.27,0.0,0.0,68.91
25,2020-03-25 11:40:00,158.755,159.51,158.22,158.91,36124.0,156.4,0.0,0.0,0.0,158.51,157.48,0.0,0.0,69.31
26,2020-03-25 11:45:00,159.266,160.6594,159.1565,159.237,21930.0,156.87,0.0,0.0,0.0,158.65,157.7,0.0,0.0,70.39
27,2020-03-25 11:50:00,159.06,159.13,158.0,158.0,25727.0,157.19,0.0,0.0,0.0,158.52,157.73,0.0,0.0,61.62
28,2020-03-25 11:55:00,158.18,158.67,156.87,156.87,30310.0,157.48,0.0,0.0,0.0,158.19,157.63,0.0,0.0,54.9
29,2020-03-25 12:00:00,156.86,158.38,156.8,157.96,24855.0,157.72,0.0,0.0,0.0,158.15,157.67,0.0,0.0,59.49
30,2020-03-25 12:05:00,157.83,159.01,157.72,158.81,33957.0,157.97,0.0,0.0,0.0,158.28,157.81,0.0,0.0,62.68
31,2020-03-25 12:10:00,158.97,159.57,157.94,158.995,65116.0,158.22,0.0,0.0,0.0,158.42,157.96,0.0,0.0,63.36
32,2020-03-25 12:15:00,159.1824,159.565,158.63,158.63,63656.0,158.42,0.0,0.0,0.0,158.46,158.04,0.0,0.0,61.01
33,2020-03-25 12:20:00,158.64,159.86,158.64,159.47,47198.0,158.57,0.0,0.0,0.0,158.66,158.22,0.0,0.0,64.29
34,2020-03-25 12:25:00,159.54,160.325,159.11,159.48,74681.0,158.67,0.0,0.0,0.0,158.83,158.38,0.0,0.0,64.33
35,2020-03-25 12:30:00,159.54,161.61,159.54,160.54,32966.0,158.83,0.0,0.0,0.0,159.17,158.65,0.0,0.0,68.24
