,date,1. open,2. high,3. low,4. close,5. volume,sma20,sma50,sma100,sma200,ema9,ema15,ema65,ema200,rsi
0,2020-03-25 09:35:00,80.7712,82.2897,80.3186,80.7462,83984.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1,2020-03-25 09:40:00,80.61,80.855,80.27,80.37,25926.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-25 09:45:00,80.295,80.295,79.99,80.11,33566.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-25 09:50:00,79.9,79.9,78.25,78.25,25409.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-25 09:55:00,78.31,78.3199,77.25,77.25,44175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-25 10:00:00,77.2,78.48,77.19,77.46,22839.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5
6,2020-03-25 10:05:00,77.71,78.79,77.69,78.0,17142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.77
7,2020-03-25 10:10:00,77.765,78.99,77.67,78.27,15195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.78
8,2020-03-25 10:15:00,78.41,78.56,77.81,78.335,14610.0,0.0,0.0,0.0,0.0,78.68,0.0,0.0,0.0,28.19
9,2020-03-25 10:20:00,78.375,78.43,77.74,78.005,25945.0,0.0,0.0,0.0,0.0,78.55,0.0,0.0,0.0,25.5
10,2020-03-25 10:25:00,77.8936,78.85,77.8936,78.63,15353.0,0.0,0.0,0.0,0.0,78.56,0.0,0.0,0.0,37.64
11,2020-03-25 10:30:00,78.67,79.79,78.5,79.745,29089.0,0.0,0.0,0.0,0.0,78.8,0.0,0.0,0.0,52.51
12,2020-03-25 10:35:00,79.87,80.15,79.42,79.7,26370.0,0.0,0.0,0.0,0.0,78.98,0.0,0.0,0.0,51.97
13,2020-03-25 10:40:00,79.735,80.73,79.56,80.66,14217.0,0.0,0.0,0.0,0.0,79.32,0.0,0.0,0.0,61.13
14,2020-03-25 10:45:00,80.6,81.34,80.31,81.31,55260.0,0.0,0.0,0.0,0.0,79.71,79.58,0.0,0.0,65.88
15,2020-03-25 10:50:00,81.31,81.31,80.23,80.36,57347.0,0.0,0.0,0.0,0.0,79.84,79.68,0.0,0.0,55.26
16,2020-03-25 10:55:00,80.34,81.09,80.19,80.94,12221.0,0.0,0.0,0.0,0.0,80.06,79.84,0.0,0.0,59.55
17,2020-03-25 11:00:00,80.81,80.99,80.57,80.72,28241.0,0.0,0.0,0.0,0.0,80.19,79.95,0.0,0.0,57.3
18,2020-03-25 11:05:00,80.79,81.28,80.61,80.785,18456.0,0.0,0.0,0.0,0.0,80.31,80.05,0.0,0.0,57.81
19,2020-03-25 11:10:00,80.87,81.3,80.67,81.03,14927.0,79.53,0.0,0.0,0.0,80.46,80.17,0.0,0.0,59.74
20,2020-03-25 11:15:00,81.045,81.33,80.87,81.09,14800.0,79.55,0.0,0.0,0.0,80.58,80.29,0.0,0.0,60.23
21,2020-03-25 11:20:00,81.0,81.09,80.46,81.03,15336.0,79.58,0.0,0.0,0.0,80.67,80.38,0.0,0.0,59.46
22,2020-03-25 11:25:00,81.03,81.05,80.24,80.26,9992.0,79.59,0.0,0.0,0.0,80.59,80.37,0.0,0.0,50.58
23,2020-03-25 11:30:00,80.19,80.99,80.19,80.31,11348.0,79.69,0.0,0.0,0.0,80.53,80.36,0.0,0.0,51.09
24,2020-03-25 11:35:00,80.32,80.775,80.175,80.75,14218.0,79.87,0.0,0.0,0.0,80.58,80.41,0.0,0.0,55.45
25,2020-03-25 11:40:00,80.57,80.93,80.12,80.265,9389.0,80.01,0.0,0.0,0.0,80.51,80.39,0.0,0.0,50.14
26,2020-03-25 11:45:00,80.1097,80.335,79.5,79.7,11656.0,80.09,0.0,0.0,0.0,80.35,80.3,0.0,0.0,44.76
27,2020-03-25 11:50:00,79.7,79.95,79.335,79.87,11486.0,80.17,0.0,0.0,0.0,80.26,80.25,0.0,0.0,46.62
28,2020-03-25 11:55:00,79.88,79.97,79.58,79.58,6100.0,80.24,0.0,0.0,0.0,80.12,80.17,0.0,0.0,43.91
29,2020-03-25 12:00:00,79.55,79.87,79.49,79.59,10329.0,80.32,0.0,0.0,0.0,80.01,80.09,0.0,0.0,44.03
30,2020-03-25 12:05:00,79.45,80.16,79.43,80.16,14093.0,80.39,0.0,0.0,0.0,80.04,80.1,0.0,0.0,50.56
31,2020-03-25 12:10:00,80.38,80.6,80.26,80.28,12159.0,80.42,0.0,0.0,0.0,80.09,80.12,0.0,0.0,51.84
32,2020-03-25 12:15:00,80.32,80.495,80.09,80.32,8440.0,80.45,0.0,0.0,0.0,80.14,80.15,0.0,0.0,52.28
33,2020-03-25 12:20:00,80.22,80.55,80.16,80.505,6002.0,80.44,0.0,0.0,0.0,80.21,80.19,0.0,0.0,54.37
34,2020-03-25 12:25:00,80.36,81.29,80.35,81.29,27737.0,80.44,0.0,0.0,0.0,80.43,80.33,0.0,0.0,61.96
35,2020-03-25 12:30:00,81.35,81.85,81.29,81.5,23521.0,80.5,0.0,0.0,0.0,80.64,80.48,0.0,0.0,63.7
36,2020-03-25 12:35:00,81.5,81.69,81.2701,81.425,12873.0,80.52,0.0,0.0,0.0,80.8,80.6,0.0,0.0,62.6
37,2020-03-25 12:40:00,81.38,82.44,81.02,82.44,25410.0,80.61,0.0,0.0,0.0,81.13,80.83,0.0,0.0,70.13
38,2020-03-25 12:45:00,82.37,82.47,81.57,81.71,19572.0,80.66,0.0,0.0,0.0,81.24,80.94,0.0,0.0,60.67
39,2020-03-25 12:50:00,81.71,81.84,81.37,81.505,17164.0,80.68,0.0,0.0,0.0,81.3,81.01,0.0,0.0,58.29
40,2020-03-25 12:55:00,81.59,82.03,81.55,81.6,7782.0,80.7,0.0,0.0,0.0,81.36,81.08,0.0,0.0,59.09
41,2020-03-25 13:00:00,81.76,81.81,81.05,81.29,10530.0,80.72,0.0,0.0,0.0,81.34,81.11,0.0,0.0,55.36
42,2020-03-25 13:05:00,81.29,81.755,81.17,81.575,8307.0,80.78,0.0,0.0,0.0,81.39,81.17,0.0,0.0,57.99
43,2020-03-25 13:10:00,81.53,81.98,81.52,81.97,8528.0,80.87,0.0,0.0,0.0,81.51,81.27,0.0,0.0,61.38
44,2020-03-25 13:15:00,81.85,82.79,81.74,82.4898,33410.0,80.95,0.0,0.0,0.0,81.7,81.42,0.0,0.0,65.35
45,2020-03-25 13:20:00,82.485,82.8,82.2756,82.4,13192.0,81.06,0.0,0.0,0.0,81.84,81.54,0.0,0.0,64.12
46,2020-03-25 13:25:00,82.35,82.465,82.1221,82.3179,11453.0,81.19,0.0,0.0,0.0,81.94,81.64,0.0,0.0,62.96
47,2020-03-25 13:30:00,82.28,82.3345,81.82,82.185,21794.0,81.31,0.0,0.0,0.0,81.99,81.71,0.0,0.0,61.03
48,2020-03-25 13:35:00,82.13,82.13,81.4,81.605,13822.0,81.41,0.0,0.0,0.0,81.91,81.69,0.0,0.0,53.35
49,2020-03-25 13:40:00,81.605,81.605,80.97,80.97,25809.0,81.48,80.45,0.0,0.0,81.72,81.6,0.0,0.0,46.46
50,2020-03-25 13:45:00,81.01,81.46,80.59,81.18,19491.0,81.53,80.46,0.0,0.0,81.61,81.55,0.0,0.0,48.81
51,2020-03-25 13:50:00,81.13,81.63,81.06,81.265,22559.0,81.58,80.48,0.0,0.0,81.54,81.52,0.0,0.0,49.78
52,2020-03-25 13:55:00,81.22,81.365,80.99,81.04,21715.0,81.61,80.5,0.0,0.0,81.44,81.46,0.0,0.0,47.24
53,2020-03-25 14:00:00,81.05,81.24,80.84,81.02,40072.0,81.64,80.55,0.0,0.0,81.36,81.4,0.0,0.0,47.01
54,2020-03-25 14:05:00,81.04,81.21,80.85,81.01,74488.0,81.62,80.63,0.0,0.0,81.29,81.35,0.0,0.0,46.89
