,date,1. open,2. high,3. low,4. close,5. volume,sma20,sma50,sma100,sma200,ema9,ema15,ema65,ema200,rsi
0,2020-03-25 09:35:00,51.6936,52.8674,51.2519,51.6586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1,2020-03-25 09:40:00,51.645,52.05,51.07,51.42,41092.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-25 09:45:00,51.56,51.9,51.24,51.58,38062.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.93
3,2020-03-25 09:50:00,51.585,51.68,51.21,51.49,8671.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.44
4,2020-03-25 09:55:00,52.06,52.28,51.5,51.55,95248.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.89
5,2020-03-25 10:00:00,51.6,51.63,50.46,50.73,35352.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.6
6,2020-03-25 10:05:00,50.51,51.02,50.27,50.535,21357.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.51
7,2020-03-25 10:10:00,50.57,51.14,50.5,50.69,18511.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.05
8,2020-03-25 10:15:00,50.83,50.94,50.18,50.33,23574.0,0.0,0.0,0.0,0.0,50.96,0.0,0.0,0.0,17.33
9,2020-03-25 10:20:00,50.34,50.735,50.31,50.54,20695.0,0.0,0.0,0.0,0.0,50.88,0.0,0.0,0.0,27.14
10,2020-03-25 10:25:00,50.56,50.9,50.49,50.64,24766.0,0.0,0.0,0.0,0.0,50.83,0.0,0.0,0.0,31.32
11,2020-03-25 10:30:00,50.74,50.77,50.26,50.46,23383.0,0.0,0.0,0.0,0.0,50.76,0.0,0.0,0.0,28.18
12,2020-03-25 10:35:00,50.55,51.27,50.55,51.13,34700.0,0.0,0.0,0.0,0.0,50.83,0.0,0.0,0.0,48.74
13,2020-03-25 10:40:00,51.12,51.89,51.08,51.515,52439.0,0.0,0.0,0.0,0.0,50.97,0.0,0.0,0.0,56.46
14,2020-03-25 10:45:00,51.44,51.97,51.425,51.74,71973.0,0.0,0.0,0.0,0.0,51.12,51.13,0.0,0.0,60.22
15,2020-03-25 10:50:00,51.8,52.45,51.77,51.81,37750.0,0.0,0.0,0.0,0.0,51.26,51.22,0.0,0.0,61.34
16,2020-03-25 10:55:00,51.66,52.08,51.56,51.87,26191.0,0.0,0.0,0.0,0.0,51.38,51.3,0.0,0.0,62.32
17,2020-03-25 11:00:00,51.82,52.55,51.74,52.43,52177.0,0.0,0.0,0.0,0.0,51.59,51.44,0.0,0.0,69.97
18,2020-03-25 11:05:00,52.43,52.57,52.13,52.24,29846.0,0.0,0.0,0.0,0.0,51.72,51.54,0.0,0.0,65.14
19,2020-03-25 11:10:00,52.285,52.82,52.285,52.82,20808.0,51.36,0.0,0.0,0.0,51.94,51.7,0.0,0.0,71.59
20,2020-03-25 11:15:00,52.86,53.08,52.59,52.765,37326.0,51.41,0.0,0.0,0.0,52.11,51.83,0.0,0.0,70.26
21,2020-03-25 11:20:00,52.71,53.11,52.66,52.68,37153.0,51.48,0.0,0.0,0.0,52.22,51.94,0.0,0.0,68.16
22,2020-03-25 11:25:00,52.65,52.9,52.61,52.74,92428.0,51.54,0.0,0.0,0.0,52.32,52.04,0.0,0.0,68.87
23,2020-03-25 11:30:00,52.77,53.4,52.61,52.77,41913.0,51.6,0.0,0.0,0.0,52.41,52.13,0.0,0.0,69.24
24,2020-03-25 11:35:00,52.84,53.1,52.58,52.83,36070.0,51.66,0.0,0.0,0.0,52.5,52.22,0.0,0.0,70.0
25,2020-03-25 11:40:00,52.87,53.27,52.62,53.14,45076.0,51.78,0.0,0.0,0.0,52.63,52.33,0.0,0.0,73.65
26,2020-03-25 11:45:00,53.1536,53.5,52.89,53.12,61481.0,51.91,0.0,0.0,0.0,52.72,52.43,0.0,0.0,73.03
27,2020-03-25 11:50:00,53.1,53.54,52.93,53.365,36837.0,52.05,0.0,0.0,0.0,52.85,52.55,0.0,0.0,75.71
28,2020-03-25 11:55:00,53.38,53.73,53.32,53.56,17855.0,52.21,0.0,0.0,0.0,52.99,52.68,0.0,0.0,77.62
29,2020-03-25 12:00:00,53.55,54.03,53.51,53.94,11772.0,52.38,0.0,0.0,0.0,53.18,52.83,0.0,0.0,80.79
30,2020-03-25 12:05:00,53.85,54.23,53.75,54.23,64673.0,52.56,0.0,0.0,0.0,53.39,53.01,0.0,0.0,82.79
31,2020-03-25 12:10:00,54.18,54.48,54.02,54.32,9423.0,52.75,0.0,0.0,0.0,53.58,53.17,0.0,0.0,83.37
32,2020-03-25 12:15:00,54.46,54.93,54.46,54.765,21988.0,52.93,0.0,0.0,0.0,53.82,53.37,0.0,0.0,85.9
33,2020-03-25 12:20:00,54.93,54.93,54.52,54.52,9879.0,53.08,0.0,0.0,0.0,53.96,53.51,0.0,0.0,78.8
34,2020-03-25 12:25:00,54.58,55.31,54.58,55.17,13435.0,53.25,0.0,0.0,0.0,54.2,53.72,0.0,0.0,82.85
35,2020-03-25 12:30:00,55.29,55.5,55.16,55.3403,15759.0,53.43,0.0,0.0,0.0,54.43,53.92,0.0,0.0,83.73
36,2020-03-25 12:35:00,55.37,55.6,55.02,55.285,16401.0,53.6,0.0,0.0,0.0,54.6,54.09,0.0,0.0,82.25
37,2020-03-25 12:40:00,55.22,55.34,55.05,55.31,17056.0,53.75,0.0,0.0,0.0,54.74,54.25,0.0,0.0,82.41
38,2020-03-25 12:45:00,55.29,55.55,55.18,55.55,34947.0,53.91,0.0,0.0,0.0,54.9,54.41,0.0,0.0,83.82
39,2020-03-25 12:50:00,55.56,56.53,55.5,56.35,28007.0,54.09,0.0,0.0,0.0,55.19,54.65,0.0,0.0,87.45
40,2020-03-25 12:55:00,56.34,56.49,56.095,56.17,14784.0,54.26,0.0,0.0,0.0,55.39,54.84,0.0,0.0,82.94
41,2020-03-25 13:00:00,56.1,56.68,56.07,56.68,28410.0,54.46,0.0,0.0,0.0,55.65,55.07,0.0,0.0,85.26
42,2020-03-25 13:05:00,56.615,56.95,56.52,56.8,32490.0,54.66,0.0,0.0,0.0,55.88,55.29,0.0,0.0,85.75
43,2020-03-25 13:10:00,56.75,57.59,56.695,57.47,26412.0,54.9,0.0,0.0,0.0,56.2,55.56,0.0,0.0,88.13
44,2020-03-25 13:15:00,57.57,57.58,56.8813,56.8813,22161.0,55.1,0.0,0.0,0.0,56.33,55.73,0.0,0.0,76.11
45,2020-03-25 13:20:00,56.965,57.48,56.85,57.32,10151.0,55.31,0.0,0.0,0.0,56.53,55.92,0.0,0.0,78.47
46,2020-03-25 13:25:00,57.2,57.25,56.85,56.985,12920.0,55.5,0.0,0.0,0.0,56.62,56.06,0.0,0.0,72.58
47,2020-03-25 13:30:00,56.985,57.55,56.91,57.465,27854.0,55.71,0.0,0.0,0.0,56.79,56.23,0.0,0.0,75.43
48,2020-03-25 13:35:00,57.32,57.445,56.9,57.125,111106.0,55.88,0.0,0.0,0.0,56.86,56.34,0.0,0.0,69.89
49,2020-03-25 13:40:00,57.13,57.52,56.96,57.28,14582.0,56.05,53.58,0.0,0.0,56.94,56.46,0.0,0.0,70.94
50,2020-03-25 13:45:00,57.24,57.4483,57.0,57.4483,12752.0,56.21,53.7,0.0,0.0,57.04,56.58,0.0,0.0,72.08
51,2020-03-25 13:50:00,57.4175,57.88,57.37,57.77,12131.0,56.38,53.82,0.0,0.0,57.19,56.73,0.0,0.0,74.15
52,2020-03-25 13:55:00,57.81,57.8198,57.16,57.2,21040.0,56.51,53.94,0.0,0.0,57.19,56.79,0.0,0.0,64.93
53,2020-03-25 14:00:00,57.25,57.43,57.01,57.05,10982.0,56.63,54.05,0.0,0.0,57.16,56.82,0.0,0.0,62.72
54,2020-03-25 14:05:00,57.13,57.21,56.34,56.34,46848.0,56.69,54.14,0.0,0.0,57.0,56.76,0.0,0.0,53.45
55,2020-03-25 14:10:00,56.3,56.35,55.78,55.92,17590.0,56.72,54.25,0.0,0.0,56.78,56.66,0.0,0.0,48.85
56,2020-03-25 14:15:00,56.0117,56.455,55.86,56.455,43590.0,56.78,54.37,0.0,0.0,56.72,56.63,0.0,0.0,54.25
57,2020-03-25 14:20:00,56.54,56.82,56.53,56.82,12947.0,56.85,54.49,0.0,0.0,56.74,56.66,0.0,0.0,57.54
58,2020-03-25 14:25:00,56.925,57.19,56.85,56.9,10256.0,56.92,54.62,0.0,0.0,56.77,56.69,0.0,0.0,58.25
59,2020-03-25 14:30:00,56.78,56.84,56.37,56.58,19572.0,56.93,54.74,0.0,0.0,56.73,56.67,0.0,0.0,54.34
60,2020-03-25 14:35:00,56.575,56.61,55.73,55.96,56233.0,56.92,54.85,0.0,0.0,56.58,56.58,0.0,0.0,47.66
61,2020-03-25 14:40:00,56.06,56.13,55.59,56.0,19567.0,56.89,54.96,0.0,0.0,56.46,56.51,0.0,0.0,48.11
62,2020-03-25 14:45:00,56.06,56.31,55.93,56.165,26248.0,56.86,55.06,0.0,0.0,56.4,56.47,0.0,0.0,49.99
63,2020-03-25 14:50:00,56.175,56.81,56.175,56.53,12430.0,56.81,55.16,0.0,0.0,56.43,56.48,0.0,0.0,53.96
64,2020-03-25 14:55:00,56.545,56.59,56.16,56.53,13469.0,56.79,55.26,0.0,0.0,56.45,56.48,54.92,0.0,53.96
65,2020-03-25 15:00:00,56.7,57.09,56.59,56.94,15564.0,56.77,55.36,0.0,0.0,56.55,56.54,54.98,0.0,58.28
66,2020-03-25 15:05:00,56.915,57.18,56.79,57.0726,19164.0,56.78,55.46,0.0,0.0,56.65,56.61,55.04,0.0,59.6
67,2020-03-25 15:10:00,57.15,57.15,56.72,57.08,19915.0,56.76,55.55,0.0,0.0,56.74,56.67,55.1,0.0,59.68
68,2020-03-25 15:15:00,56.985,57.17,56.84,57.15,14979.0,56.76,55.65,0.0,0.0,56.82,56.73,55.16,0.0,60.45
