,date,1. open,2. high,3. low,4. close,5. volume,sma20,sma50,sma100,sma200,ema9,ema15,ema65,ema200,rsi
0,2020-03-25 09:35:00,20.2553,20.6078,19.7899,20.1953,77644.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1,2020-03-25 09:40:00,20.1684,20.4044,20.0309,20.1484,107965.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-25 09:45:00,20.174,20.3489,19.976,20.0739,33308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-25 09:50:00,20.16,20.16,19.77,19.79,52516.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-25 09:55:00,19.74,19.74,18.97,19.04,84718.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-25 10:00:00,19.06,19.63,18.84,18.99,58905.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-25 10:05:00,18.99,19.44,18.93,19.25,48103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.5
7,2020-03-25 10:10:00,19.21,19.45,19.14,19.22,62018.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.99
8,2020-03-25 10:15:00,19.29,19.33,18.31,18.4,81361.0,0.0,0.0,0.0,0.0,19.31,0.0,0.0,0.0,11.55
9,2020-03-25 10:20:00,18.4177,18.6174,18.2438,18.4377,97792.0,0.0,0.0,0.0,0.0,19.13,0.0,0.0,0.0,13.36
10,2020-03-25 10:25:00,18.4,18.765,18.345,18.67,76613.0,0.0,0.0,0.0,0.0,19.04,0.0,0.0,0.0,23.73
11,2020-03-25 10:30:00,18.6975,18.8691,18.3744,18.6375,51667.0,0.0,0.0,0.0,0.0,18.96,0.0,0.0,0.0,23.31
12,2020-03-25 10:35:00,18.5901,19.09,18.58,18.58,62990.0,0.0,0.0,0.0,0.0,18.88,0.0,0.0,0.0,22.55
13,2020-03-25 10:40:00,18.6,19.0917,18.6,18.97,20963.0,0.0,0.0,0.0,0.0,18.9,0.0,0.0,0.0,37.46
14,2020-03-25 10:45:00,18.955,19.07,18.785,18.9,17572.0,0.0,0.0,0.0,0.0,18.9,19.1,0.0,0.0,36.11
