,date,1. open,2. high,3. low,4. close,5. volume,sma20,sma50,sma100,sma200,ema9,ema15,ema65,ema200,rsi
0,2020-03-25 09:35:00,82.0,82.0,80.69,81.435,365341.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1,2020-03-25 09:40:00,81.49,82.82,81.28,82.775,354419.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2,2020-03-25 09:45:00,82.775,83.13,82.13,82.13,187559.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.86
3,2020-03-25 09:50:00,82.265,82.36,81.88,82.155,132032.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.34
4,2020-03-25 09:55:00,82.65,82.73,81.44,81.55,168294.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.56
5,2020-03-25 10:00:00,81.55,81.75,81.04,81.24,95511.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.3
6,2020-03-25 10:05:00,81.18,81.6,80.88,81.1804,81311.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.2
7,2020-03-25 10:10:00,81.18,81.64,81.14,81.51,61483.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.08
8,2020-03-25 10:15:00,81.79,81.88,81.25,81.39,90310.0,0.0,0.0,0.0,0.0,81.53,0.0,0.0,0.0,46.63
9,2020-03-25 10:20:00,81.44,82.55,81.38,82.55,107145.0,0.0,0.0,0.0,0.0,81.74,0.0,0.0,0.0,64.88
10,2020-03-25 10:25:00,82.61,83.07,82.55,82.7601,95277.0,0.0,0.0,0.0,0.0,81.94,0.0,0.0,0.0,67.08
11,2020-03-25 10:30:00,82.76,83.02,82.38,83.0024,130102.0,0.0,0.0,0.0,0.0,82.15,0.0,0.0,0.0,69.45
12,2020-03-25 10:35:00,83.0107,83.48,82.95,83.37,168648.0,0.0,0.0,0.0,0.0,82.4,0.0,0.0,0.0,72.67
13,2020-03-25 10:40:00,83.4,85.06,83.39,85.0,539914.0,0.0,0.0,0.0,0.0,82.92,0.0,0.0,0.0,81.82
14,2020-03-25 10:45:00,85.04,85.4795,84.63,84.82,456444.0,0.0,0.0,0.0,0.0,83.3,82.79,0.0,0.0,78.68
15,2020-03-25 10:50:00,84.8,85.08,84.17,84.56,313384.0,0.0,0.0,0.0,0.0,83.55,83.01,0.0,0.0,74.26
16,2020-03-25 10:55:00,84.46,84.845,84.46,84.725,183647.0,0.0,0.0,0.0,0.0,83.79,83.22,0.0,0.0,75.21
17,2020-03-25 11:00:00,84.72,84.96,84.46,84.68,264036.0,0.0,0.0,0.0,0.0,83.96,83.41,0.0,0.0,74.41
18,2020-03-25 11:05:00,84.625,84.88,84.3,84.88,122490.0,0.0,0.0,0.0,0.0,84.15,83.59,0.0,0.0,75.66
19,2020-03-25 11:10:00,84.88,85.14,84.66,84.99,121027.0,83.04,0.0,0.0,0.0,84.32,83.76,0.0,0.0,76.34
20,2020-03-25 11:15:00,85.0066,85.05,84.65,84.66,123919.0,83.2,0.0,0.0,0.0,84.38,83.88,0.0,0.0,69.98
21,2020-03-25 11:20:00,84.65,84.96,84.4218,84.96,117726.0,83.31,0.0,0.0,0.0,84.5,84.01,0.0,0.0,72.24
22,2020-03-25 11:25:00,84.91,85.14,84.82,84.92,156355.0,83.45,0.0,0.0,0.0,84.58,84.13,0.0,0.0,71.47
23,2020-03-25 11:30:00,84.91,85.25,84.85,84.94,116502.0,83.58,0.0,0.0,0.0,84.66,84.23,0.0,0.0,71.63
24,2020-03-25 11:35:00,84.9561,85.76,84.8,85.52,144933.0,83.78,0.0,0.0,0.0,84.83,84.39,0.0,0.0,75.94
25,2020-03-25 11:40:00,85.52,85.535,85.04,85.16,85397.0,83.98,0.0,0.0,0.0,84.89,84.49,0.0,0.0,68.94
26,2020-03-25 11:45:00,85.2123,85.34,84.86,85.07,136504.0,84.17,0.0,0.0,0.0,84.93,84.56,0.0,0.0,67.27
27,2020-03-25 11:50:00,85.11200000000001,85.545,84.9,85.34,82353.0,84.36,0.0,0.0,0.0,85.01,84.66,0.0,0.0,69.65
28,2020-03-25 11:55:00,85.37,85.57,85.085,85.1638,96284.0,84.55,0.0,0.0,0.0,85.04,84.72,0.0,0.0,66.26
29,2020-03-25 12:00:00,85.19,85.75,85.12,85.63,128445.0,84.71,0.0,0.0,0.0,85.16,84.83,0.0,0.0,70.36
30,2020-03-25 12:05:00,85.625,86.0805,85.4793,86.0805,107441.0,84.87,0.0,0.0,0.0,85.34,84.99,0.0,0.0,73.69
31,2020-03-25 12:10:00,86.07,86.25,85.66,85.67200000000001,132129.0,85.01,0.0,0.0,0.0,85.41,85.07,0.0,0.0,66.41
32,2020-03-25 12:15:00,85.66,85.82,85.47,85.8,85638.0,85.13,0.0,0.0,0.0,85.49,85.17,0.0,0.0,67.49
33,2020-03-25 12:20:00,85.74,86.48,85.65,86.441,121374.0,85.2,0.0,0.0,0.0,85.68,85.32,0.0,0.0,72.31
34,2020-03-25 12:25:00,86.45,86.84,86.22,86.82,134732.0,85.3,0.0,0.0,0.0,85.91,85.51,0.0,0.0,74.7
35,2020-03-25 12:30:00,86.81,86.86,86.51,86.78,121483.0,85.41,0.0,0.0,0.0,86.08,85.67,0.0,0.0,73.97
36,2020-03-25 12:35:00,86.76,86.8,86.38,86.7303,144265.0,85.51,0.0,0.0,0.0,86.21,85.8,0.0,0.0,73.03
37,2020-03-25 12:40:00,86.73,87.4425,86.521,87.4361,127402.0,85.65,0.0,0.0,0.0,86.46,86.01,0.0,0.0,77.45
38,2020-03-25 12:45:00,87.46,87.68,86.92,87.67,161466.0,85.79,0.0,0.0,0.0,86.7,86.21,0.0,0.0,78.69
39,2020-03-25 12:50:00,87.62,87.9,87.48,87.755,106086.0,85.93,0.0,0.0,0.0,86.91,86.41,0.0,0.0,79.15
40,2020-03-25 12:55:00,87.64,87.84,87.3,87.38,107494.0,86.06,0.0,0.0,0.0,87.0,86.53,0.0,0.0,71.91
41,2020-03-25 13:00:00,87.46,87.81,87.44,87.55,120367.0,86.19,0.0,0.0,0.0,87.11,86.66,0.0,0.0,73.11
42,2020-03-25 13:05:00,87.51,87.73,87.2785,87.695,127428.0,86.33,0.0,0.0,0.0,87.23,86.79,0.0,0.0,74.13
43,2020-03-25 13:10:00,87.69,88.4,87.64,88.13,153225.0,86.49,0.0,0.0,0.0,87.41,86.95,0.0,0.0,76.94
44,2020-03-25 13:15:00,88.13,88.19,87.06,87.135,92950.0,86.57,0.0,0.0,0.0,87.35,86.98,0.0,0.0,60.69
45,2020-03-25 13:20:00,87.12,87.73,87.08,87.59,123779.0,86.69,0.0,0.0,0.0,87.4,87.05,0.0,0.0,64.39
46,2020-03-25 13:25:00,87.59,88.08,87.585,87.8895,172431.0,86.83,0.0,0.0,0.0,87.5,87.16,0.0,0.0,66.62
47,2020-03-25 13:30:00,87.85,87.93,87.59,87.85,116314.0,86.96,0.0,0.0,0.0,87.57,87.24,0.0,0.0,66.03
48,2020-03-25 13:35:00,87.87,87.95,87.545,87.925,90785.0,87.1,0.0,0.0,0.0,87.64,87.33,0.0,0.0,66.63
49,2020-03-25 13:40:00,87.88,87.94,87.76,87.9163,84525.0,87.21,85.13,0.0,0.0,87.7,87.4,0.0,0.0,66.49
50,2020-03-25 13:45:00,87.89,88.27,87.82,88.1698,92980.0,87.32,85.26,0.0,0.0,87.79,87.5,0.0,0.0,68.66
51,2020-03-25 13:50:00,88.24,89.45,88.169,89.4191,125185.0,87.5,85.39,0.0,0.0,88.12,87.74,0.0,0.0,76.68
52,2020-03-25 13:55:00,89.39,90.04,89.31,89.45,170544.0,87.69,85.54,0.0,0.0,88.38,87.95,0.0,0.0,76.83
53,2020-03-25 14:00:00,89.49,89.75,89.17,89.61,163366.0,87.85,85.69,0.0,0.0,88.63,88.16,0.0,0.0,77.68
54,2020-03-25 14:05:00,89.66,89.82,88.42,88.76,269461.0,87.94,85.83,0.0,0.0,88.65,88.23,0.0,0.0,64.3
55,2020-03-25 14:10:00,88.7599,88.79,88.03,88.28,135630.0,88.02,85.97,0.0,0.0,88.58,88.24,0.0,0.0,58.2
56,2020-03-25 14:15:00,88.31,88.815,87.9,88.685,140990.0,88.11,86.12,0.0,0.0,88.6,88.3,0.0,0.0,61.52
57,2020-03-25 14:20:00,88.66,88.9,88.4,88.86,115969.0,88.19,86.27,0.0,0.0,88.65,88.37,0.0,0.0,62.89
58,2020-03-25 14:25:00,88.86,89.0799,88.633,88.68,105457.0,88.24,86.42,0.0,0.0,88.66,88.41,0.0,0.0,60.5
59,2020-03-25 14:30:00,88.71,88.99,88.43,88.88,118975.0,88.29,86.54,0.0,0.0,88.7,88.47,0.0,0.0,62.22
60,2020-03-25 14:35:00,88.89,89.2,88.6295,88.755,173045.0,88.36,86.66,0.0,0.0,88.71,88.5,0.0,0.0,60.45
61,2020-03-25 14:40:00,88.78,88.805,87.859,88.51,121701.0,88.41,86.77,0.0,0.0,88.67,88.5,0.0,0.0,57.03
62,2020-03-25 14:45:00,88.49,88.69,88.2,88.29,152239.0,88.44,86.87,0.0,0.0,88.6,88.48,0.0,0.0,54.08
63,2020-03-25 14:50:00,88.31,88.38,88.02,88.145,111465.0,88.44,86.94,0.0,0.0,88.51,88.43,0.0,0.0,52.16
64,2020-03-25 14:55:00,88.15,88.265,87.27,87.84,137307.0,88.48,87.0,0.0,0.0,88.37,88.36,86.35,0.0,48.27
65,2020-03-25 15:00:00,87.85,88.39,87.83,88.27,153823.0,88.51,87.07,0.0,0.0,88.35,88.35,86.41,0.0,53.53
66,2020-03-25 15:05:00,88.3,89.25,88.3,89.21,116173.0,88.58,87.16,0.0,0.0,88.52,88.46,86.49,0.0,62.49
67,2020-03-25 15:10:00,89.1749,89.365,89.07,89.27,80666.0,88.65,87.25,0.0,0.0,88.67,88.56,86.58,0.0,62.98
68,2020-03-25 15:15:00,89.27,89.27,88.66,88.9405,95356.0,88.7,87.33,0.0,0.0,88.73,88.61,86.65,0.0,58.46
69,2020-03-25 15:20:00,88.96,89.47,88.93,89.44,116333.0,88.77,87.42,0.0,0.0,88.87,88.71,86.73,0.0,62.82
70,2020-03-25 15:25:00,89.4407,89.61,89.06,89.15,104855.0,88.82,87.51,0.0,0.0,88.93,88.77,86.81,0.0,58.95
71,2020-03-25 15:30:00,89.13,89.49,88.63,88.9149,125912.0,88.8,87.59,0.0,0.0,88.92,88.78,86.87,0.0,55.94
72,2020-03-25 15:35:00,88.91,89.66,88.91,89.48,125479.0,88.8,87.68,0.0,0.0,89.03,88.87,86.95,0.0,61.08
73,2020-03-25 15:40:00,89.49,89.71,88.83,89.04,174905.0,88.77,87.76,0.0,0.0,89.04,88.89,87.01,0.0,55.64
74,2020-03-25 15:45:00,89.0,89.38,88.11,88.27,168939.0,88.75,87.82,0.0,0.0,88.88,88.81,87.05,0.0,47.64
