,date,1. open,2. high,3. low,4. close,5. volume,sma20,sma50,sma100,sma200,ema9,ema15,ema65,ema200,rsi
0,2020-03-25 09:35:00,17.1245,17.6696,16.4781,17.4946,4031818.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1,2020-03-25 09:40:00,17.4101,17.93,17.3,17.93,659776.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2,2020-03-25 09:45:00,17.9335,18.1417,17.4462,17.8035,1278149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.17
3,2020-03-25 09:50:00,17.8,17.9,16.31,16.44,1395663.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.22
4,2020-03-25 09:55:00,16.43,16.46,16.25,16.25,67406.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.22
5,2020-03-25 10:00:00,15.57,16.3,14.79,14.79,2335290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
6,2020-03-25 10:05:00,14.79,14.79,14.79,14.79,811.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
7,2020-03-25 10:10:00,14.7748,15.2772,14.4694,15.1349,1511669.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.9
8,2020-03-25 10:15:00,15.344000000000001,15.5391,14.792,14.8939,876368.0,0.0,0.0,0.0,0.0,15.84,0.0,0.0,0.0,18.38
9,2020-03-25 10:20:00,14.94,15.1,14.8799,14.93,509546.0,0.0,0.0,0.0,0.0,15.66,0.0,0.0,0.0,19.37
10,2020-03-25 10:25:00,14.94,15.76,14.88,15.67,746262.0,0.0,0.0,0.0,0.0,15.66,0.0,0.0,0.0,36.46
11,2020-03-25 10:30:00,15.6663,16.0523,15.4668,15.8005,572993.0,0.0,0.0,0.0,0.0,15.69,0.0,0.0,0.0,38.91
12,2020-03-25 10:35:00,15.7959,16.2509,15.6452,15.9109,710029.0,0.0,0.0,0.0,0.0,15.73,0.0,0.0,0.0,40.99
13,2020-03-25 10:40:00,15.9215,16.2579,15.7732,16.0251,486548.0,0.0,0.0,0.0,0.0,15.79,0.0,0.0,0.0,43.15
14,2020-03-25 10:45:00,16.0058,16.5019,15.9771,16.0558,629669.0,0.0,0.0,0.0,0.0,15.84,16.03,0.0,0.0,43.75
15,2020-03-25 10:50:00,16.06,16.27,15.75,15.93,520227.0,0.0,0.0,0.0,0.0,15.86,16.02,0.0,0.0,41.81
16,2020-03-25 10:55:00,15.93,16.2,15.81,16.1398,447632.0,0.0,0.0,0.0,0.0,15.92,16.03,0.0,0.0,46.09
17,2020-03-25 11:00:00,16.05,16.41,16.01,16.34,493187.0,0.0,0.0,0.0,0.0,16.0,16.07,0.0,0.0,49.87
18,2020-03-25 11:05:00,16.3643,16.9931,16.3368,16.7994,762791.0,0.0,0.0,0.0,0.0,16.16,16.16,0.0,0.0,57.28
