,date,1. open,2. high,3. low,4. close,5. volume,sma20,sma50,sma100,sma200,ema9,ema15,ema65,ema200,rsi
0,2020-03-25 09:35:00,47.1624,47.7179,46.9506,47.1924,359679.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1,2020-03-25 09:40:00,47.1397,47.8156,46.7959,47.3798,197629.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2,2020-03-25 09:45:00,47.29,47.5,46.58,46.7057,91333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.52
3,2020-03-25 09:50:00,46.7,46.83,46.46,46.48,77995.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.95
4,2020-03-25 09:55:00,46.475,47.17,46.15,46.44,109389.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.3
5,2020-03-25 10:00:00,46.42,46.47,45.3,45.35,116774.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.96
6,2020-03-25 10:05:00,45.37,46.32,45.3,46.16,135750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.21
7,2020-03-25 10:10:00,46.21,46.77,46.19,46.63,107852.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.54
8,2020-03-25 10:15:00,46.85,47.02,46.41,46.8,154732.0,0.0,0.0,0.0,0.0,46.58,0.0,0.0,0.0,48.73
9,2020-03-25 10:20:00,46.785,47.27,46.76,47.08,103718.0,0.0,0.0,0.0,0.0,46.68,0.0,0.0,0.0,53.55
10,2020-03-25 10:25:00,47.09,47.4,47.0,47.06,96495.0,0.0,0.0,0.0,0.0,46.75,0.0,0.0,0.0,53.16
11,2020-03-25 10:30:00,47.08,47.24,46.66,46.66,98113.0,0.0,0.0,0.0,0.0,46.74,0.0,0.0,0.0,46.04
12,2020-03-25 10:35:00,46.7174,47.2486,45.997,46.0272,129313.0,0.0,0.0,0.0,0.0,46.59,0.0,0.0,0.0,37.49
13,2020-03-25 10:40:00,46.0085,46.54,45.85,46.29,99789.0,0.0,0.0,0.0,0.0,46.53,0.0,0.0,0.0,42.29
14,2020-03-25 10:45:00,46.3,46.49,45.84,45.84,120187.0,0.0,0.0,0.0,0.0,46.39,46.54,0.0,0.0,37.05
15,2020-03-25 10:50:00,45.84,46.14,45.53,45.635,62036.0,0.0,0.0,0.0,0.0,46.24,46.42,0.0,0.0,34.92
16,2020-03-25 10:55:00,45.64,46.0,45.51,45.85,49703.0,0.0,0.0,0.0,0.0,46.16,46.35,0.0,0.0,38.88
17,2020-03-25 11:00:00,45.76,45.88,45.5,45.71,79243.0,0.0,0.0,0.0,0.0,46.07,46.27,0.0,0.0,37.29
18,2020-03-25 11:05:00,45.73,45.8,45.41,45.79,77884.0,0.0,0.0,0.0,0.0,46.02,46.21,0.0,0.0,38.83
19,2020-03-25 11:10:00,45.76,46.17,45.6,46.16,98143.0,46.36,0.0,0.0,0.0,46.05,46.2,0.0,0.0,45.49
20,2020-03-25 11:15:00,46.16,46.5,45.86,46.0842,155538.0,46.31,0.0,0.0,0.0,46.05,46.19,0.0,0.0,44.42
21,2020-03-25 11:20:00,46.07,46.57,46.07,46.43,67143.0,46.26,0.0,0.0,0.0,46.13,46.22,0.0,0.0,50.17
22,2020-03-25 11:25:00,46.38,46.43,46.095,46.11,54227.0,46.23,0.0,0.0,0.0,46.12,46.21,0.0,0.0,45.48
23,2020-03-25 11:30:00,46.09,46.44,46.08,46.32,69223.0,46.22,0.0,0.0,0.0,46.16,46.22,0.0,0.0,48.86
24,2020-03-25 11:35:00,46.28,46.43,46.04,46.09,52591.0,46.2,0.0,0.0,0.0,46.15,46.2,0.0,0.0,45.53
25,2020-03-25 11:40:00,46.06,46.12,45.74,45.865,72202.0,46.23,0.0,0.0,0.0,46.09,46.16,0.0,0.0,42.49
26,2020-03-25 11:45:00,45.93,45.95,45.53,45.53,70589.0,46.2,0.0,0.0,0.0,45.98,46.08,0.0,0.0,38.37
27,2020-03-25 11:50:00,45.55,46.05,45.5,45.81,115527.0,46.16,0.0,0.0,0.0,45.95,46.05,0.0,0.0,43.31
28,2020-03-25 11:55:00,45.83,46.1,45.8,46.1,41926.0,46.12,0.0,0.0,0.0,45.98,46.05,0.0,0.0,47.97
