,date,1. open,2. high,3. low,4. close,5. volume,sma20,sma50,sma100,sma200,ema9,ema15,ema65,ema200,rsi
0,2020-03-25 09:35:00,25.8368,26.5649,25.7875,26.3169,55422.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1,2020-03-25 09:40:00,26.295,26.76,26.24,26.55,32265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2,2020-03-25 09:45:00,26.62,26.83,26.2,26.32,28661.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.48
3,2020-03-25 09:50:00,26.4436,26.4436,26.05,26.065,33629.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.02
4,2020-03-25 09:55:00,26.13,26.16,25.29,25.44,52376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.97
5,2020-03-25 10:00:00,25.32,25.46,25.03,25.05,44307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.2
6,2020-03-25 10:05:00,25.09,25.2,24.72,24.8,49533.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.54
7,2020-03-25 10:10:00,24.83,25.27,24.73,24.9,46430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.97
8,2020-03-25 10:15:00,24.93,24.97,24.53,24.55,54544.0,0.0,0.0,0.0,0.0,25.33,0.0,0.0,0.0,12.21
9,2020-03-25 10:20:00,24.59,24.86,24.555,24.635,46769.0,0.0,0.0,0.0,0.0,25.19,0.0,0.0,0.0,16.25
10,2020-03-25 10:25:00,24.67,24.894000000000002,24.545,24.58,36455.0,0.0,0.0,0.0,0.0,25.07,0.0,0.0,0.0,15.74
11,2020-03-25 10:30:00,24.59,24.65,24.33,24.48,35122.0,0.0,0.0,0.0,0.0,24.95,0.0,0.0,0.0,14.84
12,2020-03-25 10:35:00,24.49,25.02,24.49,24.8,38639.0,0.0,0.0,0.0,0.0,24.92,0.0,0.0,0.0,28.89
13,2020-03-25 10:40:00,24.88,25.09,24.665,24.96,28282.0,0.0,0.0,0.0,0.0,24.93,0.0,0.0,0.0,34.69
14,2020-03-25 10:45:00,24.96,25.13,24.88,24.995,34774.0,0.0,0.0,0.0,0.0,24.94,25.16,0.0,0.0,35.93
15,2020-03-25 10:50:00,24.99,25.28,24.91,24.94,52977.0,0.0,0.0,0.0,0.0,24.94,25.13,0.0,0.0,34.82
16,2020-03-25 10:55:00,24.93,24.96,24.68,24.695,33951.0,0.0,0.0,0.0,0.0,24.89,25.08,0.0,0.0,30.32
17,2020-03-25 11:00:00,24.74,25.0,24.58,24.92,43056.0,0.0,0.0,0.0,0.0,24.9,25.06,0.0,0.0,38.21
18,2020-03-25 11:05:00,24.9,25.11,24.85,25.11,36980.0,0.0,0.0,0.0,0.0,24.94,25.06,0.0,0.0,43.99
19,2020-03-25 11:10:00,25.12,25.22,25.0,25.135,19575.0,25.16,0.0,0.0,0.0,24.98,25.07,0.0,0.0,44.72
20,2020-03-25 11:15:00,25.1249,25.3177,24.9045,24.9349,70005.0,25.09,0.0,0.0,0.0,24.97,25.05,0.0,0.0,40.19
