,date,1. open,2. high,3. low,4. close,5. volume,sma20,sma50,sma100,sma200,ema9,ema15,ema65,ema200,rsi
0,2020-03-25 09:35:00,52.0,53.99,51.95,53.99,146791.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1,2020-03-25 09:40:00,54.0076,55.0142,53.3483,54.2467,94391.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2,2020-03-25 09:45:00,54.24,54.98,53.48,53.8753,70184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.09
3,2020-03-25 09:50:00,54.1317,54.9514,53.632,53.7716,45790.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.04
4,2020-03-25 09:55:00,53.6926,54.4959,52.4872,52.8102,61563.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.98
5,2020-03-25 10:00:00,52.71,52.77,50.52,50.75,73492.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.41
6,2020-03-25 10:05:00,50.33,52.15,50.33,51.2584,47446.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.11
7,2020-03-25 10:10:00,51.2979,52.06,51.01,51.0984,19587.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.32
8,2020-03-25 10:15:00,51.465,51.6345,50.84,51.2956,40492.0,0.0,0.0,0.0,0.0,52.2,0.0,0.0,0.0,21.83
9,2020-03-25 10:20:00,51.305,51.91,51.305,51.62,29152.0,0.0,0.0,0.0,0.0,52.08,0.0,0.0,0.0,28.73
10,2020-03-25 10:25:00,51.6849,52.3,51.6,52.02,23686.0,0.0,0.0,0.0,0.0,52.07,0.0,0.0,0.0,36.2
11,2020-03-25 10:30:00,52.1659,53.2856,52.1549,52.5661,41078.0,0.0,0.0,0.0,0.0,52.17,0.0,0.0,0.0,44.72
12,2020-03-25 10:35:00,52.55,52.94,52.04,52.42,33756.0,0.0,0.0,0.0,0.0,52.22,0.0,0.0,0.0,43.07
13,2020-03-25 10:40:00,52.45,52.93,52.31,52.73,36574.0,0.0,0.0,0.0,0.0,52.32,0.0,0.0,0.0,47.51
14,2020-03-25 10:45:00,52.69,52.9591,52.29,52.6473,34011.0,0.0,0.0,0.0,0.0,52.39,52.54,0.0,0.0,46.47
15,2020-03-25 10:50:00,52.7,52.9599,52.52,52.78,35439.0,0.0,0.0,0.0,0.0,52.47,52.57,0.0,0.0,48.42
16,2020-03-25 10:55:00,52.78,53.214,52.68,53.0,32543.0,0.0,0.0,0.0,0.0,52.57,52.63,0.0,0.0,51.58
17,2020-03-25 11:00:00,52.74,53.72,52.61,53.59,29054.0,0.0,0.0,0.0,0.0,52.78,52.75,0.0,0.0,58.86
18,2020-03-25 11:05:00,53.63,53.93,53.52,53.8,30248.0,0.0,0.0,0.0,0.0,52.98,52.88,0.0,0.0,61.1
19,2020-03-25 11:10:00,53.91,54.26,53.77,54.25,28322.0,52.73,0.0,0.0,0.0,53.23,53.05,0.0,0.0,65.44
20,2020-03-25 11:15:00,54.27,54.34,53.95,53.95,37008.0,52.72,0.0,0.0,0.0,53.38,53.16,0.0,0.0,60.58
21,2020-03-25 11:20:00,53.97,54.3,53.77,54.1,26165.0,52.72,0.0,0.0,0.0,53.52,53.28,0.0,0.0,62.1
22,2020-03-25 11:25:00,54.1,54.41,53.98,54.365,20536.0,52.74,0.0,0.0,0.0,53.69,53.42,0.0,0.0,64.68
23,2020-03-25 11:30:00,54.345,54.72,54.1,54.225,32604.0,52.76,0.0,0.0,0.0,53.8,53.52,0.0,0.0,62.27
24,2020-03-25 11:35:00,54.21,54.67,54.03,54.53,26278.0,52.85,0.0,0.0,0.0,53.94,53.64,0.0,0.0,65.3
25,2020-03-25 11:40:00,54.53,55.14,54.351000000000006,54.9,41244.0,53.06,0.0,0.0,0.0,54.14,53.8,0.0,0.0,68.6
26,2020-03-25 11:45:00,54.89,55.0899,54.54,54.6,31907.0,53.22,0.0,0.0,0.0,54.23,53.9,0.0,0.0,63.34
27,2020-03-25 11:50:00,54.635,55.48,54.41,55.41,35077.0,53.44,0.0,0.0,0.0,54.46,54.09,0.0,0.0,70.03
28,2020-03-25 11:55:00,55.21,55.68,54.76,54.84,76400.0,53.62,0.0,0.0,0.0,54.54,54.18,0.0,0.0,61.52
29,2020-03-25 12:00:00,54.95,55.88,54.94,55.67,42998.0,53.82,0.0,0.0,0.0,54.77,54.37,0.0,0.0,67.68
30,2020-03-25 12:05:00,55.67,55.96,55.57,55.96,32113.0,54.02,0.0,0.0,0.0,55.0,54.57,0.0,0.0,69.51
31,2020-03-25 12:10:00,56.19,56.295,55.76,56.02,44947.0,54.19,0.0,0.0,0.0,55.21,54.75,0.0,0.0,69.89
32,2020-03-25 12:15:00,56.05,56.37,55.96,56.29,45560.0,54.38,0.0,0.0,0.0,55.42,54.94,0.0,0.0,71.61
33,2020-03-25 12:20:00,56.3,56.48,56.2308,56.2308,41577.0,54.56,0.0,0.0,0.0,55.59,55.1,0.0,0.0,70.66
34,2020-03-25 12:25:00,56.29,57.13,56.23,57.06,73912.0,54.78,0.0,0.0,0.0,55.88,55.35,0.0,0.0,75.56
