,date,1. open,2. high,3. low,4. close,5. volume,sma20,sma50,sma100,sma200,ema9,ema15,ema65,ema200,rsi
0,2020-03-25 09:35:00,27.87,28.46,27.64,28.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1,2020-03-25 09:40:00,28.38,29.0,28.26,28.84,17554.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2,2020-03-25 09:45:00,28.8115,28.96,28.5,28.56,8804.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.02
3,2020-03-25 09:50:00,28.495,28.495,28.0068,28.01,6469.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.86
4,2020-03-25 09:55:00,28.0104,28.3683,27.5861,27.7904,28225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.79
5,2020-03-25 10:00:00,27.85,28.22,27.75,27.79,15616.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.78
6,2020-03-25 10:05:00,27.84,28.23,27.78,28.16,18403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.53
7,2020-03-25 10:10:00,28.07,28.52,27.77,27.9,16508.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.62
8,2020-03-25 10:15:00,27.7773,28.1905,27.6352,27.6573,28597.0,0.0,0.0,0.0,0.0,28.04,0.0,0.0,0.0,31.58
9,2020-03-25 10:20:00,27.55,28.07,27.52,27.9,10279.0,0.0,0.0,0.0,0.0,28.01,0.0,0.0,0.0,40.41
10,2020-03-25 10:25:00,28.06,28.65,28.01,28.01,16388.0,0.0,0.0,0.0,0.0,28.01,0.0,0.0,0.0,43.94
11,2020-03-25 10:30:00,27.99,28.47,27.96,28.47,5593.0,0.0,0.0,0.0,0.0,28.1,0.0,0.0,0.0,55.75
12,2020-03-25 10:35:00,28.455,28.76,28.4537,28.49,13404.0,0.0,0.0,0.0,0.0,28.18,0.0,0.0,0.0,56.18
13,2020-03-25 10:40:00,28.495,28.83,28.4,28.82,6055.0,0.0,0.0,0.0,0.0,28.31,0.0,0.0,0.0,62.66
14,2020-03-25 10:45:00,28.775,28.775,28.35,28.39,10492.0,0.0,0.0,0.0,0.0,28.32,28.29,0.0,0.0,51.89
15,2020-03-25 10:50:00,28.46,28.5,28.3,28.5,11968.0,0.0,0.0,0.0,0.0,28.36,28.31,0.0,0.0,54.07
16,2020-03-25 10:55:00,28.54,28.75,28.54,28.715,5451.0,0.0,0.0,0.0,0.0,28.43,28.36,0.0,0.0,58.06
17,2020-03-25 11:00:00,28.69,28.85,28.69,28.85,8333.0,0.0,0.0,0.0,0.0,28.51,28.43,0.0,0.0,60.39
18,2020-03-25 11:05:00,28.82,28.86,28.69,28.81,10072.0,0.0,0.0,0.0,0.0,28.57,28.47,0.0,0.0,59.34
19,2020-03-25 11:10:00,28.84,29.18,28.77,29.18,41604.0,28.36,0.0,0.0,0.0,28.69,28.56,0.0,0.0,65.34
20,2020-03-25 11:15:00,29.1707,29.4399,28.8755,29.0057,22853.0,28.39,0.0,0.0,0.0,28.76,28.62,0.0,0.0,60.79
21,2020-03-25 11:20:00,28.95,29.065,28.88,29.0,8284.0,28.4,0.0,0.0,0.0,28.81,28.66,0.0,0.0,60.64
22,2020-03-25 11:25:00,29.005,29.01,28.78,29.0,7553.0,28.42,0.0,0.0,0.0,28.84,28.71,0.0,0.0,60.64
23,2020-03-25 11:30:00,28.99,29.09,28.95,28.95,6346.0,28.47,0.0,0.0,0.0,28.87,28.74,0.0,0.0,59.16
