,date,1. open,2. high,3. low,4. close,5. volume,sma20,sma50,sma100,sma200,ema9,ema15,ema65,ema200,rsi
0,2020-03-25 09:35:00,25.4,26.27,25.25,25.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1,2020-03-25 09:40:00,25.53,25.63,25.3,25.63,33295.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2,2020-03-25 09:45:00,25.57,25.59,25.19,25.31,41514.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.36
3,2020-03-25 09:50:00,25.3,25.3,25.07,25.09,16246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.07
4,2020-03-25 09:55:00,25.14,25.17,24.64,24.69,94651.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0
5,2020-03-25 10:00:00,24.75,25.11,24.68,24.76,37449.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.88
6,2020-03-25 10:05:00,24.795,25.06,24.74,24.97,34806.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.18
7,2020-03-25 10:10:00,24.97,25.21,24.95,25.14,40663.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.97
8,2020-03-25 10:15:00,25.14,25.15,24.83,24.94,39525.0,0.0,0.0,0.0,0.0,25.06,0.0,0.0,0.0,40.41
9,2020-03-25 10:20:00,24.95,25.07,24.86,24.91,46196.0,0.0,0.0,0.0,0.0,25.03,0.0,0.0,0.0,39.52
10,2020-03-25 10:25:00,24.93,25.15,24.84,24.95,34457.0,0.0,0.0,0.0,0.0,25.01,0.0,0.0,0.0,41.38
11,2020-03-25 10:30:00,24.965,25.0886,24.81,25.08,40369.0,0.0,0.0,0.0,0.0,25.03,0.0,0.0,0.0,47.06
12,2020-03-25 10:35:00,25.1,25.31,25.04,25.11,46144.0,0.0,0.0,0.0,0.0,25.04,0.0,0.0,0.0,48.31
13,2020-03-25 10:40:00,25.12,25.42,25.06,25.38,34901.0,0.0,0.0,0.0,0.0,25.11,0.0,0.0,0.0,57.9
14,2020-03-25 10:45:00,25.3794,25.61,25.29,25.37,85769.0,0.0,0.0,0.0,0.0,25.16,25.15,0.0,0.0,57.48
15,2020-03-25 10:50:00,25.37,25.47,25.14,25.26,57641.0,0.0,0.0,0.0,0.0,25.18,25.17,0.0,0.0,52.87
16,2020-03-25 10:55:00,25.28,25.51,25.22,25.3,58875.0,0.0,0.0,0.0,0.0,25.21,25.18,0.0,0.0,54.31
17,2020-03-25 11:00:00,25.31,25.48,25.28,25.42,85362.0,0.0,0.0,0.0,0.0,25.25,25.21,0.0,0.0,58.4
18,2020-03-25 11:05:00,25.44,25.5,25.35,25.4412,67422.0,0.0,0.0,0.0,0.0,25.29,25.24,0.0,0.0,59.09
19,2020-03-25 11:10:00,25.44,25.56,25.38,25.41,159835.0,25.17,0.0,0.0,0.0,25.31,25.26,0.0,0.0,57.57
20,2020-03-25 11:15:00,25.39,25.395,25.16,25.23,71944.0,25.17,0.0,0.0,0.0,25.3,25.26,0.0,0.0,49.6
21,2020-03-25 11:20:00,25.205,25.305,25.17,25.21,62441.0,25.15,0.0,0.0,0.0,25.28,25.25,0.0,0.0,48.79
22,2020-03-25 11:25:00,25.18,25.24,25.06,25.13,61141.0,25.14,0.0,0.0,0.0,25.25,25.24,0.0,0.0,45.59
23,2020-03-25 11:30:00,25.14,25.21,25.06,25.16,54955.0,25.14,0.0,0.0,0.0,25.23,25.23,0.0,0.0,47.0
24,2020-03-25 11:35:00,25.17,25.31,25.12,25.21,45537.0,25.17,0.0,0.0,0.0,25.23,25.22,0.0,0.0,49.34
25,2020-03-25 11:40:00,25.205,25.24,25.11,25.17,61270.0,25.19,0.0,0.0,0.0,25.22,25.22,0.0,0.0,47.53
26,2020-03-25 11:45:00,25.18,25.3,25.13,25.21,35691.0,25.2,0.0,0.0,0.0,25.21,25.22,0.0,0.0,49.53
27,2020-03-25 11:50:00,25.22,25.22,25.06,25.1,74924.0,25.2,0.0,0.0,0.0,25.19,25.2,0.0,0.0,44.51
28,2020-03-25 11:55:00,25.095,25.14,24.97,24.98,48495.0,25.2,0.0,0.0,0.0,25.15,25.17,0.0,0.0,39.78
29,2020-03-25 12:00:00,24.98,25.16,24.93,25.14,43321.0,25.21,0.0,0.0,0.0,25.15,25.17,0.0,0.0,47.76
30,2020-03-25 12:05:00,25.13,25.18,25.1,25.16,47021.0,25.22,0.0,0.0,0.0,25.15,25.17,0.0,0.0,48.67
31,2020-03-25 12:10:00,25.185,25.26,25.14,25.21,31203.0,25.23,0.0,0.0,0.0,25.16,25.17,0.0,0.0,50.98
32,2020-03-25 12:15:00,25.21,25.22,25.13,25.18,66216.0,25.23,0.0,0.0,0.0,25.17,25.17,0.0,0.0,49.54
33,2020-03-25 12:20:00,25.175,25.275,25.135,25.14,150854.0,25.22,0.0,0.0,0.0,25.16,25.17,0.0,0.0,47.61
34,2020-03-25 12:25:00,25.145,25.335,25.145,25.28,170903.0,25.22,0.0,0.0,0.0,25.18,25.18,0.0,0.0,54.32
35,2020-03-25 12:30:00,25.29,25.29,25.22,25.26,120007.0,25.22,0.0,0.0,0.0,25.2,25.19,0.0,0.0,53.27
36,2020-03-25 12:35:00,25.26,25.45,25.185,25.445,96500.0,25.22,0.0,0.0,0.0,25.25,25.23,0.0,0.0,60.82
37,2020-03-25 12:40:00,25.45,25.71,25.391,25.67,120152.0,25.24,0.0,0.0,0.0,25.33,25.28,0.0,0.0,67.66
38,2020-03-25 12:45:00,25.65,25.8,25.65,25.75,51167.0,25.25,0.0,0.0,0.0,25.42,25.34,0.0,0.0,69.69
39,2020-03-25 12:50:00,25.75,26.0,25.74,25.92,76691.0,25.28,0.0,0.0,0.0,25.52,25.41,0.0,0.0,73.49
