date,1. open,2. high,3. low,4. close,5. volume
2020-03-25 09:35:00,12.9934,13.1866,12.7221,12.9134,124178.0
2020-03-25 09:40:00,12.9254,13.1352,12.8121,12.8554,93698.0
2020-03-25 09:45:00,12.8625,13.0318,12.8201,12.8425,102538.0
2020-03-25 09:50:00,12.84,12.88,12.74,12.84,67786.0
2020-03-25 09:55:00,12.86,12.86,12.36,12.3799,63744.0
2020-03-25 10:00:00,12.38,12.44,11.82,11.93,113258.0
2020-03-25 10:05:00,11.93,12.21,11.88,12.0,68945.0
2020-03-25 10:10:00,12.01,12.27,12.01,12.18,55060.0
2020-03-25 10:15:00,12.27,12.28,12.0,12.1,87946.0
2020-03-25 10:20:00,12.12,12.26,12.12,12.175,45935.0
2020-03-25 10:25:00,12.2,12.335,12.17,12.23,58061.0
2020-03-25 10:30:00,12.24,12.35,12.14,12.35,39706.0
2020-03-25 10:35:00,12.36,12.435,12.28,12.38,44909.0
2020-03-25 10:40:00,12.39,12.57,12.37,12.56,54547.0
2020-03-25 10:45:00,12.57,12.7,12.53,12.62,98010.0
2020-03-25 10:50:00,12.63,12.66,12.39,12.435,53180.0
2020-03-25 10:55:00,12.44,12.51,12.295,12.34,42167.0
2020-03-25 11:00:00,12.31,12.53,12.28,12.46,77719.0
2020-03-25 11:05:00,12.455,12.495,12.38,12.455,37755.0
2020-03-25 11:10:00,12.47,12.56,12.425,12.52,39281.0
2020-03-25 11:15:00,12.52,12.53,12.41,12.44,49073.0
2020-03-25 11:20:00,12.44,12.63,12.39,12.54,55105.0
2020-03-25 11:25:00,12.54,12.58,12.45,12.56,55819.0
2020-03-25 11:30:00,12.54,12.67,12.51,12.56,38772.0
2020-03-25 11:35:00,12.555,12.655,12.5,12.54,63554.0
2020-03-25 11:40:00,12.52,12.58,12.465,12.51,44837.0
2020-03-25 11:45:00,12.5,12.53,12.42,12.48,45471.0
2020-03-25 11:50:00,12.49,12.57,12.41,12.5464,38959.0
2020-03-25 11:55:00,12.55,12.64,12.55,12.62,47312.0
2020-03-25 12:00:00,12.63,12.81,12.6,12.8,71954.0
2020-03-25 12:05:00,12.82,12.955,12.81,12.955,27693.0
2020-03-25 12:10:00,12.92,12.96,12.82,12.845,40653.0
2020-03-25 12:15:00,12.85,12.91,12.82,12.91,32341.0
2020-03-25 12:20:00,12.9,12.94,12.88,12.89,26760.0
2020-03-25 12:25:00,12.89,13.055,12.89,13.055,46997.0
2020-03-25 12:30:00,13.05,13.13,13.015,13.1,28718.0
2020-03-25 12:35:00,13.095,13.19,13.055,13.18,33435.0
2020-03-25 12:40:00,13.18,13.19,13.075,13.19,48543.0
2020-03-25 12:45:00,13.19,13.2,13.12,13.19,30685.0
2020-03-25 12:50:00,13.19,13.24,13.18,13.19,33337.0
2020-03-25 12:55:00,13.19,13.24,13.15,13.17,23375.0
2020-03-25 13:00:00,13.16,13.2,13.12,13.2,26183.0
2020-03-25 13:05:00,13.195,13.38,13.19,13.27,49327.0
2020-03-25 13:10:00,13.26,13.41,13.26,13.4,30444.0
2020-03-25 13:15:00,13.39,13.39,13.27,13.3,32105.0
2020-03-25 13:20:00,13.2931,13.42,13.275,13.39,26457.0
2020-03-25 13:25:00,13.41,13.47,13.39,13.43,36645.0
2020-03-25 13:30:00,13.43,13.45,13.35,13.43,33520.0
2020-03-25 13:35:00,13.43,13.46,13.37,13.41,40488.0
2020-03-25 13:40:00,13.42,13.53,13.38,13.49,36955.0
2020-03-25 13:45:00,13.5,13.55,13.46,13.53,35535.0
2020-03-25 13:50:00,13.52,13.585,13.445,13.465,44432.0
2020-03-25 13:55:00,13.46,13.48,13.27,13.28,51530.0
2020-03-25 14:00:00,13.29,13.34,13.17,13.21,39926.0
2020-03-25 14:05:00,13.205,13.28,13.11,13.11,54123.0
2020-03-25 14:10:00,13.115,13.115,12.95,13.0,58416.0
