date,1. open,2. high,3. low,4. close,5. volume
2020-03-25 09:35:00,29.45,29.99,29.19,29.82,0.0
2020-03-25 09:40:00,29.81,30.6,29.74,30.47,92684.0
2020-03-25 09:45:00,30.47,30.52,30.06,30.2,42981.0
2020-03-25 09:50:00,30.26,30.33,29.98,30.17,54003.0
2020-03-25 09:55:00,30.012,30.02,29.27,29.33,53618.0
2020-03-25 10:00:00,29.37,29.77,29.31,29.66,55678.0
2020-03-25 10:05:00,29.62,29.73,29.42,29.57,76981.0
2020-03-25 10:10:00,29.59,29.7,29.53,29.64,43867.0
2020-03-25 10:15:00,29.67,29.69,29.24,29.35,49268.0
2020-03-25 10:20:00,29.34,29.49,29.34,29.46,31038.0
2020-03-25 10:25:00,29.424,29.7,29.38,29.69,48185.0
2020-03-25 10:30:00,29.71,29.9,29.58,29.88,50712.0
2020-03-25 10:35:00,29.93,30.126,29.86,29.95,26398.0
2020-03-25 10:40:00,29.97,30.15,29.845,30.04,29793.0
2020-03-25 10:45:00,30.08,30.23,29.98,30.12,52761.0
2020-03-25 10:50:00,30.08,30.19,29.81,29.93,52280.0
2020-03-25 10:55:00,29.93,30.29,29.9,30.18,27243.0
2020-03-25 11:00:00,30.16,30.68,30.12,30.62,35259.0
2020-03-25 11:05:00,30.6,30.77,30.53,30.72,35378.0
2020-03-25 11:10:00,30.81,30.92,30.7,30.84,33788.0
2020-03-25 11:15:00,30.8,30.83,30.4913,30.52,48235.0
2020-03-25 11:20:00,30.54,30.72,30.4,30.6,32715.0
2020-03-25 11:25:00,30.59,30.77,30.55,30.71,39576.0
2020-03-25 11:30:00,30.72,30.9,30.62,30.72,42489.0
2020-03-25 11:35:00,30.7,30.8,30.57,30.66,26693.0
2020-03-25 11:40:00,30.64,30.8839,30.565,30.8,100084.0
2020-03-25 11:45:00,30.81,30.95,30.77,30.86,48219.0
2020-03-25 11:50:00,30.85,31.15,30.75,31.11,61632.0
2020-03-25 11:55:00,31.135,31.2,31.03,31.08,39315.0
2020-03-25 12:00:00,31.11,31.45,31.05,31.4,37063.0
2020-03-25 12:05:00,31.38,31.67,31.375,31.615,40975.0
2020-03-25 12:10:00,31.56,31.66,31.51,31.61,62857.0
2020-03-25 12:15:00,31.62,31.8,31.54,31.8,80159.0
2020-03-25 12:20:00,31.8,31.91,31.73,31.73,46913.0
2020-03-25 12:25:00,31.73,31.965,31.73,31.95,48833.0
2020-03-25 12:30:00,31.96,32.19,31.96,32.12,37936.0
2020-03-25 12:35:00,32.14,32.27,31.89,32.26,73669.0
2020-03-25 12:40:00,32.25,32.56,32.1,32.54,73855.0
2020-03-25 12:45:00,32.52,32.96,32.47,32.9,86818.0
2020-03-25 12:50:00,32.87,33.33,32.86,33.24,112053.0
2020-03-25 12:55:00,33.24,33.55,33.17,33.29,107785.0
2020-03-25 13:00:00,33.26,33.72,33.19,33.6,143968.0
2020-03-25 13:05:00,33.6,33.97,33.5,33.87,125293.0
2020-03-25 13:10:00,33.89,33.96,33.635,33.845,105516.0
2020-03-25 13:15:00,33.8491,33.8491,33.67,33.81,66185.0
2020-03-25 13:20:00,33.79,34.13,33.74,34.12,106595.0
2020-03-25 13:25:00,34.115,34.22,34.0,34.105,80564.0
2020-03-25 13:30:00,34.105,34.245,34.07,34.24,58817.0
2020-03-25 13:35:00,34.22,34.38,34.05,34.38,59591.0
2020-03-25 13:40:00,34.37,34.66,34.26,34.645,93182.0
2020-03-25 13:45:00,34.66,35.14,34.66,35.13,89278.0
2020-03-25 13:50:00,35.14,35.35,35.09,35.164,157131.0
2020-03-25 13:55:00,35.16,35.39,35.065,35.11,231302.0
2020-03-25 14:00:00,35.09,35.47,35.09,35.39,207816.0
2020-03-25 14:05:00,35.41,35.57,35.09,35.35,283265.0
2020-03-25 14:10:00,35.34,35.48,35.155,35.47,229477.0
2020-03-25 14:15:00,35.46,36.14,35.455,36.14,139609.0
2020-03-25 14:20:00,36.125,36.67,35.95,36.65,197889.0
2020-03-25 14:25:00,36.65,37.16,36.485,36.885,270037.0
2020-03-25 14:30:00,36.8972,37.2206,36.6462,36.7622,260219.0
2020-03-25 14:35:00,36.75,37.09,35.8,35.93,263530.0
2020-03-25 14:40:00,35.92,36.34,35.7,36.225,288557.0
2020-03-25 14:45:00,36.18,36.26,35.56,35.56,186046.0
2020-03-25 14:50:00,35.56,36.16,35.55,36.035,157127.0
2020-03-25 14:55:00,36.06,36.25,35.77,36.0275,150354.0
2020-03-25 15:00:00,36.0,36.35,35.98,36.19,137122.0
2020-03-25 15:05:00,36.22,36.47,36.06,36.41,158290.0
2020-03-25 15:10:00,36.42,36.49,36.27,36.4,144931.0
2020-03-25 15:15:00,36.4,36.69,36.37,36.61,219061.0
2020-03-25 15:20:00,36.61,36.92,36.53,36.84,261145.0
2020-03-25 15:25:00,36.84,37.055,36.73,36.88,186688.0
2020-03-25 15:30:00,36.87,37.22,36.81,37.21,222674.0
2020-03-25 15:35:00,37.19,37.58,37.1,37.55,297301.0
2020-03-25 15:40:00,37.54,37.81,37.33,37.6,312012.0
2020-03-25 15:45:00,37.6,38.13,37.595,37.93,404758.0
2020-03-25 15:50:00,37.91,38.21,37.225,37.26,448069.0
2020-03-25 15:55:00,37.29,37.69,36.96,37.04,666360.0
2020-03-25 16:00:00,37.01,37.37,36.24,36.73,849878.0
2020-03-26 09:35:00,37.12,39.2,37.0,38.79,224923.0
2020-03-26 09:40:00,38.705,39.74,38.52,39.27,174663.0
2020-03-26 09:45:00,39.27,39.43,38.47,38.69,353960.0
2020-03-26 09:50:00,38.665,39.15,38.46,38.91,324282.0
2020-03-26 09:55:00,38.84,39.6794,38.8,39.66,266401.0
2020-03-26 10:00:00,39.67,40.77,39.66,40.71,320414.0
2020-03-26 10:05:00,40.72,41.22,40.5,40.515,472628.0
2020-03-26 10:10:00,40.515,40.87,40.24,40.58,169274.0
