date,1. open,2. high,3. low,4. close,5. volume
2020-03-25 09:35:00,90.1437,92.0837,89.5191,90.8439,0.0
2020-03-25 09:40:00,91.335,93.39,91.335,92.11,101829.0
2020-03-25 09:45:00,92.83,93.19,91.0,91.0,34640.0
2020-03-25 09:50:00,90.93,90.93,89.5901,90.08,41303.0
2020-03-25 09:55:00,90.25,90.66,90.25,90.516,0.0
2020-03-25 10:00:00,90.22,90.68,89.51,89.59,254714.0
2020-03-25 10:05:00,89.59,89.65,89.13,89.23,20250.0
2020-03-25 10:10:00,89.41,89.99,89.1868,89.1868,9363.0
2020-03-25 10:15:00,89.1304,89.3326,88.6,89.3326,19909.0
2020-03-25 10:20:00,88.92,90.43,88.9133,90.24,18840.0
2020-03-25 10:25:00,90.34,90.94,90.08,90.245,12866.0
2020-03-25 10:30:00,90.39,90.45,89.7,90.39,11783.0
2020-03-25 10:35:00,90.4,90.975,90.37,90.57,14731.0
2020-03-25 10:40:00,90.73,91.0665,90.41,91.0665,10093.0
2020-03-25 10:45:00,91.15,91.54,90.93,91.33,21498.0
2020-03-25 10:50:00,91.195,91.66,91.085,91.51,20156.0
2020-03-25 10:55:00,91.28,92.51,91.28,92.51,37033.0
2020-03-25 11:00:00,92.11,92.54,91.99,92.1,32553.0
2020-03-25 11:05:00,92.04,92.12,91.405,91.6316,13883.0
2020-03-25 11:10:00,91.655,91.69,91.42,91.62,14071.0
2020-03-25 11:15:00,91.575,91.86,91.5,91.77,12443.0
2020-03-25 11:20:00,91.77,91.88,91.383,91.844,11877.0
2020-03-25 11:25:00,91.68,91.75,91.22,91.31,16452.0
2020-03-25 11:30:00,91.31,91.8,91.23,91.73,9745.0
2020-03-25 11:35:00,91.6,92.09,91.37,92.02,14391.0
2020-03-25 11:40:00,91.86,92.14,91.5,91.5,13032.0
2020-03-25 11:45:00,91.51,91.56,91.315,91.315,7255.0
2020-03-25 11:50:00,91.2,91.86,91.11,91.805,6877.0
2020-03-25 11:55:00,91.85,91.91,91.125,91.27,9362.0
2020-03-25 12:00:00,91.315,91.5,90.83,90.85,11565.0
2020-03-25 12:05:00,90.88,91.64,90.87,91.64,6533.0
2020-03-25 12:10:00,91.66,91.9902,91.6,91.715,10426.0
2020-03-25 12:15:00,91.58,91.7,91.46,91.66,11928.0
2020-03-25 12:20:00,91.77,92.05,91.69,91.69,6759.0
2020-03-25 12:25:00,91.69,92.54,91.615,92.54,25993.0
2020-03-25 12:30:00,92.51,93.37,92.51,93.3,30988.0
2020-03-25 12:35:00,93.3,93.31,92.44,92.72,27925.0
2020-03-25 12:40:00,92.84,92.84,92.29,92.67,16420.0
2020-03-25 12:45:00,92.65,92.95,92.5499,92.68,18039.0
2020-03-25 12:50:00,92.73,92.73,92.43,92.43,14847.0
2020-03-25 12:55:00,92.55,93.09,92.38,92.38,12622.0
2020-03-25 13:00:00,92.38,92.46,92.11,92.13,10976.0
2020-03-25 13:05:00,92.15,92.15,91.67,91.985,13226.0
2020-03-25 13:10:00,91.92,92.62,91.83,92.62,14523.0
2020-03-25 13:15:00,92.4482,92.72,92.18,92.18,10078.0
2020-03-25 13:20:00,92.23,92.92,92.23,92.88,10576.0
2020-03-25 13:25:00,92.95,93.18,92.945,92.99,10573.0
2020-03-25 13:30:00,93.07,93.11,92.84,93.03,11962.0
2020-03-25 13:35:00,93.02,93.11,92.69,93.11,11327.0
2020-03-25 13:40:00,93.08,93.43,92.87,93.41,20771.0
2020-03-25 13:45:00,93.4117,93.65,93.24,93.37,13777.0
2020-03-25 13:50:00,93.37,93.765,93.37,93.521,12387.0
2020-03-25 13:55:00,93.48,93.78,93.37,93.4,9584.0
2020-03-25 14:00:00,93.46,93.68,92.99,93.13,19492.0
2020-03-25 14:05:00,93.19,93.28,92.33,92.33,11978.0
2020-03-25 14:10:00,92.6,92.6,91.95,92.0,27945.0
2020-03-25 14:15:00,92.03,92.57,91.88,92.27,29923.0
2020-03-25 14:20:00,92.35,92.45,92.01,92.26,20714.0
2020-03-25 14:25:00,92.24,92.5913,91.72,91.88,19245.0
2020-03-25 14:30:00,91.8425,92.0,91.67,91.82,11495.0
2020-03-25 14:35:00,91.89,91.91,90.945,91.17,22109.0
2020-03-25 14:40:00,91.1,92.03,91.09,91.94,35133.0
2020-03-25 14:45:00,92.166,92.166,91.73,92.105,11421.0
2020-03-25 14:50:00,92.15,92.49,92.08,92.3,21306.0
2020-03-25 14:55:00,92.41,92.43,91.758,92.22,10466.0
2020-03-25 15:00:00,92.09,92.71,92.061,92.44,13410.0
2020-03-25 15:05:00,92.5,92.595,92.12,92.57,12725.0
2020-03-25 15:10:00,92.72,92.78,92.3,92.53,14269.0
2020-03-25 15:15:00,92.55,92.55,92.04,92.41,19168.0
2020-03-25 15:20:00,92.455,92.57,92.14,92.255,16813.0
2020-03-25 15:25:00,92.215,92.3,91.79,92.08,19352.0
2020-03-25 15:30:00,92.08,92.27,91.62,92.04,37304.0
2020-03-25 15:35:00,92.19,93.28,92.095,93.165,47908.0
2020-03-25 15:40:00,93.11,93.46,92.96,93.065,47624.0
2020-03-25 15:45:00,93.19,93.19,91.85,92.3392,33673.0
2020-03-25 15:50:00,92.18,92.28,91.37,91.565,29375.0
2020-03-25 15:55:00,91.47,91.47,89.31,89.36,121643.0
2020-03-25 16:00:00,89.31,90.32,89.13,89.39,144959.0
2020-03-26 09:35:00,90.02,91.1109,89.2239,89.2239,98181.0
2020-03-26 09:40:00,89.15,89.975,88.93,89.13,34905.0
2020-03-26 09:45:00,89.26,90.235,89.26,89.94,58642.0
2020-03-26 09:50:00,90.04,90.04,89.415,89.415,65818.0
2020-03-26 09:55:00,89.27,89.27,87.83,87.83,54531.0
2020-03-26 10:00:00,87.97,88.86,87.68,88.49,38600.0
2020-03-26 10:05:00,88.53,88.71,88.12,88.2386,19741.0
2020-03-26 10:10:00,88.235,88.48,87.52,88.02,43786.0
2020-03-26 10:15:00,87.96,88.38,87.75,88.3,35915.0
2020-03-26 10:20:00,88.26,89.07,88.09,88.76,44410.0
2020-03-26 10:25:00,88.91,89.25,88.79,88.99,22554.0
2020-03-26 10:30:00,88.825,88.93,88.15,88.15,29955.0
2020-03-26 10:35:00,88.21,88.44,88.01,88.44,31179.0
2020-03-26 10:40:00,88.43,88.505,87.6,87.63,17468.0
2020-03-26 10:45:00,87.725,87.8,87.31,87.8,19522.0
2020-03-26 10:50:00,87.7315,87.87,86.74,87.03,20817.0
2020-03-26 10:55:00,87.05,87.45,86.865,87.21,17079.0
2020-03-26 11:00:00,87.24,87.76,87.17,87.7,13208.0
2020-03-26 11:05:00,87.775,87.91,87.43,87.85,22599.0
2020-03-26 11:10:00,87.9,88.055,87.5,87.6971,10052.0
2020-03-26 11:15:00,87.725,88.4192,87.66,88.28,15141.0
2020-03-26 11:20:00,88.46,89.3,88.45,89.3,13627.0
2020-03-26 11:25:00,89.365,89.53,89.21,89.309,11281.0
2020-03-26 11:30:00,89.235,89.34,88.92,89.28,9355.0
2020-03-26 11:35:00,89.31,89.45,88.89,89.01,35032.0
2020-03-26 11:40:00,88.91,88.91,88.55,88.89,14614.0
2020-03-26 11:45:00,88.93,89.2,88.93,89.075,15508.0
2020-03-26 11:50:00,89.0468,89.0468,88.79,88.9,22075.0
2020-03-26 11:55:00,88.83,89.02,88.795,88.94,24386.0
2020-03-26 12:00:00,88.88,88.93,88.5,88.67,10821.0
2020-03-26 12:05:00,88.6,88.77,88.56,88.68,5903.0
2020-03-26 12:10:00,88.78,88.78,88.02,88.07,12317.0
2020-03-26 12:15:00,88.1462,88.45,87.98,88.2,11441.0
2020-03-26 12:20:00,88.235,88.58,87.9365,88.31,16569.0
2020-03-26 12:25:00,88.325,88.7,88.325,88.7,15184.0
2020-03-26 12:30:00,88.6,89.42,88.5401,89.3674,84183.0
2020-03-26 12:35:00,89.33,89.39,89.01,89.165,43885.0
2020-03-26 12:40:00,89.12,89.45,89.0338,89.36,34358.0
2020-03-26 12:45:00,89.37,89.49,89.12,89.355,22501.0
2020-03-26 12:50:00,89.375,89.43,89.04,89.39,11658.0
2020-03-26 12:55:00,89.45,89.63,89.35,89.6,7823.0
2020-03-26 13:00:00,89.56,89.9,89.54,89.9,10347.0
2020-03-26 13:05:00,89.9,89.97,89.675,89.77,21487.0
2020-03-26 13:10:00,89.785,90.25,89.785,90.11,33280.0
2020-03-26 13:15:00,90.1,90.3,89.832,89.96,19840.0
2020-03-26 13:20:00,89.88,90.57,89.51,90.35,67088.0
2020-03-26 13:25:00,90.44,90.5224,90.085,90.2194,17463.0
2020-03-26 13:30:00,90.32,90.44,90.06,90.37,14042.0
2020-03-26 13:35:00,90.43,90.52,90.171,90.5,17850.0
