date,1. open,2. high,3. low,4. close,5. volume
2020-03-25 09:35:00,821.576,832.8226,815.5821,817.4299,0.0
2020-03-25 09:40:00,824.0,840.96,824.0,840.32,5478.0
2020-03-25 09:45:00,845.53,845.53,835.79,840.5847,12660.0
2020-03-25 09:50:00,840.1,840.585,834.58,838.66,3149.0
2020-03-25 09:55:00,839.47,839.47,823.2,823.2,3543.0
2020-03-25 10:00:00,822.1567,827.25,821.9,821.9,2765.0
2020-03-25 10:05:00,820.02,823.4178,811.04,811.04,1649.0
2020-03-25 10:10:00,812.005,816.0,809.1,816.0,1010.0
2020-03-25 10:15:00,812.88,814.22,810.0,810.0,1782.0
2020-03-25 10:20:00,805.5,812.94,805.5,812.94,2985.0
2020-03-25 10:25:00,815.685,822.83,815.685,820.61,2221.0
2020-03-25 10:30:00,813.0,819.41,813.0,817.48,1694.0
2020-03-25 10:35:00,821.41,822.63,816.17,820.08,2986.0
2020-03-25 10:40:00,818.02,832.77,818.02,832.5214,3585.0
2020-03-25 10:45:00,834.5459,837.5,833.25,837.0589,1807.0
2020-03-25 10:50:00,833.2,836.98,814.71,814.71,2000.0
2020-03-25 10:55:00,814.74,827.57,814.33,814.33,2227.0
2020-03-25 11:00:00,811.05,824.79,809.93,824.31,3199.0
2020-03-25 11:05:00,823.8,836.96,820.58,827.135,3760.0
2020-03-25 11:10:00,828.52,840.33,826.76,839.73,2675.0
2020-03-25 11:15:00,833.26,839.73,833.24,837.195,1292.0
2020-03-25 11:20:00,834.98,834.99,828.93,831.67,4273.0
2020-03-25 11:25:00,824.88,827.11,822.0787,823.9876,2836.0
2020-03-25 11:30:00,823.0,834.4636,823.0,827.65,1569.0
2020-03-25 11:35:00,828.935,834.6435,828.935,834.6435,903.0
2020-03-25 11:40:00,824.08,834.97,824.08,829.145,3015.0
2020-03-25 11:45:00,826.265,826.265,820.02,820.02,1737.0
2020-03-25 11:50:00,816.61,823.865,816.61,823.865,1471.0
2020-03-25 11:55:00,826.0,827.655,819.18,827.655,781.0
2020-03-25 12:00:00,821.885,825.39,821.42,821.42,1467.0
2020-03-25 12:05:00,825.495,828.3,825.49,828.3,1180.0
2020-03-25 12:10:00,834.315,834.63,834.315,834.63,799.0
2020-03-25 12:15:00,835.975,836.055,833.0,833.0,1405.0
2020-03-25 12:20:00,834.62,834.62,834.62,834.62,1273.0
2020-03-25 12:25:00,839.09,841.96,839.09,841.96,624.0
2020-03-25 12:30:00,842.0,845.28,842.0,844.6,1861.0
2020-03-25 12:35:00,846.44,850.0,843.39,849.45,4224.0
2020-03-25 12:40:00,850.23,853.81,846.9,852.48,1861.0
2020-03-25 12:45:00,850.755,852.78,850.75,851.25,2788.0
2020-03-25 12:50:00,851.245,854.935,850.2101,850.2101,2956.0
2020-03-25 12:55:00,853.155,853.7,851.57,851.8092,2968.0
2020-03-25 13:00:00,849.83,852.42,848.75,851.28,2135.0
2020-03-25 13:05:00,852.34,862.56,852.34,862.56,1853.0
2020-03-25 13:10:00,862.56,865.395,861.81,865.395,1046.0
2020-03-25 13:15:00,867.5,869.06,867.5,868.455,4430.0
2020-03-25 13:20:00,867.9328,884.06,867.9328,884.06,3581.0
2020-03-25 13:25:00,880.43,883.21,875.07,875.07,1802.0
2020-03-25 13:30:00,879.26,879.685,875.175,879.685,1688.0
2020-03-25 13:35:00,876.2,879.525,875.56,875.79,2174.0
2020-03-25 13:40:00,877.53,877.53,868.12,868.12,4003.0
2020-03-25 13:45:00,869.36,875.71,868.0004,875.71,4946.0
2020-03-25 13:50:00,873.89,877.05,871.0,877.05,1374.0
2020-03-25 13:55:00,872.08,872.08,869.53,871.68,2221.0
2020-03-25 14:00:00,869.2,871.755,865.89,866.375,4421.0
2020-03-25 14:05:00,866.375,868.93,863.8159,868.93,3116.0
2020-03-25 14:10:00,866.84,867.235,863.63,863.63,6015.0
2020-03-25 14:15:00,867.11,877.73,866.18,877.73,3112.0
2020-03-25 14:20:00,877.805,879.78,873.66,879.78,1945.0
2020-03-25 14:25:00,875.29,878.46,875.15,878.46,2543.0
2020-03-25 14:30:00,875.01,877.04,871.91,872.07,3158.0
2020-03-25 14:35:00,869.2,870.0,866.16,866.24,1530.0
2020-03-25 14:40:00,868.17,870.75,864.67,870.21,5350.0
2020-03-25 14:45:00,864.69,870.23,864.69,869.4,1150.0
2020-03-25 14:50:00,864.67,872.99,864.67,869.2,5241.0
2020-03-25 14:55:00,869.06,869.07,861.9,867.945,5210.0
2020-03-25 15:00:00,872.1,876.11,870.17,870.17,1013.0
2020-03-25 15:05:00,873.74,876.39,870.02,876.39,4699.0
2020-03-25 15:10:00,876.245,877.11,860.6248,860.6248,4062.0
2020-03-25 15:15:00,861.64,862.25,860.47,862.09,1735.0
2020-03-25 15:20:00,863.91,863.91,860.26,860.26,3353.0
2020-03-25 15:25:00,862.085,864.21,860.8,863.88,3740.0
2020-03-25 15:30:00,864.5,871.23,860.74,860.84,3883.0
2020-03-25 15:35:00,861.61,876.91,861.61,869.99,5021.0
2020-03-25 15:40:00,871.02,873.0,865.01,865.01,2296.0
2020-03-25 15:45:00,866.51,866.51,857.185,860.12,9484.0
2020-03-25 15:50:00,860.525,861.21,855.93,857.06,4901.0
2020-03-25 15:55:00,858.85,861.8,852.76,859.79,15438.0
2020-03-25 16:00:00,863.36,863.87,851.91,858.47,19913.0
2020-03-26 09:35:00,857.03,878.872,857.03,878.8717,5637.0
2020-03-26 09:40:00,880.9031,894.8513,880.2932,883.264,3040.0
2020-03-26 09:45:00,878.58,878.58,872.4697,874.76,1354.0
2020-03-26 09:50:00,872.8375,881.1198,869.8806,870.5768,6250.0
2020-03-26 09:55:00,866.52,873.33,862.1729,871.95,2216.0
2020-03-26 10:00:00,877.11,889.63,877.11,887.115,2716.0
2020-03-26 10:05:00,883.17,883.17,876.01,879.4174,3037.0
2020-03-26 10:10:00,880.65,889.55,880.44,887.76,2566.0
2020-03-26 10:15:00,891.0,891.49,880.0,880.0,5604.0
2020-03-26 10:20:00,877.03,883.37,876.895,880.835,3226.0
2020-03-26 10:25:00,881.31,884.34,878.73,878.73,1854.0
2020-03-26 10:30:00,881.48,881.74,873.675,876.8,4012.0
2020-03-26 10:35:00,875.79,884.78,875.79,884.45,2565.0
2020-03-26 10:40:00,883.97,885.565,880.324,882.815,2382.0
2020-03-26 10:45:00,881.4036,888.8917,879.1158,881.2436,4127.0
2020-03-26 10:50:00,881.135,881.585,876.63,879.37,4544.0
2020-03-26 10:55:00,881.965,889.43,881.965,888.29,1507.0
2020-03-26 11:00:00,889.215,893.455,888.19,888.19,2395.0
2020-03-26 11:05:00,886.365,888.9994,886.365,887.375,983.0
2020-03-26 11:10:00,887.435,887.435,880.61,880.965,3150.0
2020-03-26 11:15:00,886.765,889.3954,882.75,883.48,2237.0
2020-03-26 11:20:00,884.76,889.16,884.76,888.45,2654.0
2020-03-26 11:25:00,888.625,891.85,885.91,889.89,5949.0
2020-03-26 11:30:00,887.09,890.375,887.09,887.64,3160.0
2020-03-26 11:35:00,885.895,892.0434,883.435,890.11,3641.0
2020-03-26 11:40:00,890.2,895.42,886.35,886.35,4329.0
2020-03-26 11:45:00,893.3,893.9,890.375,893.9,1304.0
2020-03-26 11:50:00,893.16,893.16,887.14,890.125,2906.0
2020-03-26 11:55:00,890.13,893.505,890.13,893.505,1553.0
2020-03-26 12:00:00,891.99,892.29,888.48,888.48,1167.0
2020-03-26 12:05:00,891.835,893.22,891.44,892.665,1527.0
2020-03-26 12:10:00,892.75,894.17,884.01,884.01,2482.0
2020-03-26 12:15:00,879.61,881.85,878.9,880.47,2152.0
2020-03-26 12:20:00,879.23,880.55,877.555,878.765,3499.0
2020-03-26 12:25:00,877.185,881.9891,877.185,881.9891,4804.0
2020-03-26 12:30:00,883.9584,884.3,878.9,878.9,1116.0
2020-03-26 12:35:00,880.25,887.43,880.25,885.42,2149.0
2020-03-26 12:40:00,886.86,888.43,882.21,887.77,3156.0
2020-03-26 12:45:00,887.38,888.22,883.71,888.22,877.0
2020-03-26 12:50:00,886.49,889.1099,885.635,889.1099,1278.0
2020-03-26 12:55:00,888.92,893.66,888.92,892.055,1928.0
2020-03-26 13:00:00,891.84,892.44,890.3,890.8,3366.0
2020-03-26 13:05:00,893.33,893.84,893.33,893.84,209.0
2020-03-26 13:10:00,892.64,893.78,881.68,881.68,3013.0
2020-03-26 13:15:00,883.94,883.94,879.36,879.36,1230.0
2020-03-26 13:20:00,881.4,886.15,878.835,883.0,1914.0
2020-03-26 13:25:00,883.975,885.9699,879.05,882.34,2417.0
2020-03-26 13:30:00,882.74,885.25,881.355,884.69,878.0
2020-03-26 13:35:00,880.56,880.56,876.5,876.5,1282.0
2020-03-26 13:40:00,879.56,883.79,877.545,882.02,3038.0
2020-03-26 13:45:00,883.42,885.225,883.42,885.225,426.0
2020-03-26 13:50:00,885.675,885.675,880.755,884.265,2153.0
2020-03-26 13:55:00,886.735,886.97,885.01,886.97,872.0
2020-03-26 14:00:00,884.8,884.8,878.01,878.01,1750.0
2020-03-26 14:05:00,879.83,884.19,878.555,884.19,1648.0
2020-03-26 14:10:00,885.8,886.8,877.83,879.52,1124.0
2020-03-26 14:15:00,877.365,883.99,877.365,881.12,10028.0
2020-03-26 14:20:00,883.97,883.97,879.185,881.28,610.0
2020-03-26 14:25:00,883.41,891.86,883.41,891.555,3121.0
2020-03-26 14:30:00,888.59,891.71,887.94,891.71,1374.0
2020-03-26 14:35:00,891.48,893.085,888.42,893.085,2796.0
2020-03-26 14:40:00,892.875,894.91,890.88,893.265,1182.0
2020-03-26 14:45:00,891.29,894.81,890.09,894.81,1858.0
2020-03-26 14:50:00,892.055,895.0,889.74,892.9,3238.0
2020-03-26 14:55:00,893.965,895.34,885.62,886.395,3576.0
2020-03-26 15:00:00,885.01,892.57,884.48,891.07,4320.0
2020-03-26 15:05:00,886.49,890.32,885.725,885.94,2058.0
2020-03-26 15:10:00,884.405,885.94,883.02,885.94,6136.0
2020-03-26 15:15:00,884.01,887.57,884.01,884.28,3716.0
2020-03-26 15:20:00,881.88,881.88,874.7613,879.43,5433.0
2020-03-26 15:25:00,877.275,879.43,876.205,876.21,3915.0
2020-03-26 15:30:00,874.51,881.86,874.51,881.63,9313.0
2020-03-26 15:35:00,879.87,881.155,875.1,878.415,7844.0
2020-03-26 15:40:00,881.06,881.06,871.57,876.45,7625.0
2020-03-26 15:45:00,880.45,881.6599,876.635,879.27,4484.0
2020-03-26 15:50:00,877.44,879.0,873.54,874.74,6840.0
2020-03-26 15:55:00,879.2,890.1,879.2,888.49,13118.0
2020-03-26 16:00:00,888.02,891.18,878.26,885.59,21787.0
2020-03-27 09:35:00,857.11,857.11,854.47,856.64,3608.0
2020-03-27 09:40:00,853.855,853.855,850.22,852.925,1393.0
2020-03-27 09:45:00,852.925,856.4499,848.62,848.68,6514.0
2020-03-27 09:50:00,847.48,848.84,840.05,840.89,1422.0
2020-03-27 09:55:00,843.86,851.42,843.86,846.835,2999.0
2020-03-27 10:00:00,845.67,848.22,842.02,842.02,2196.0
2020-03-27 10:05:00,845.6,845.6,841.02,841.02,484.0
2020-03-27 10:10:00,843.64,851.55,843.64,851.55,2533.0
2020-03-27 10:15:00,858.055,858.055,854.7,854.7,640.0
2020-03-27 10:20:00,854.31,854.99,845.35,845.35,1326.0
2020-03-27 10:25:00,844.76,847.735,842.48,847.735,2812.0
2020-03-27 10:30:00,852.3999,852.3999,844.2,845.115,1275.0
2020-03-27 10:35:00,847.97,847.97,842.36,844.94,1995.0
2020-03-27 10:40:00,842.72,844.82,841.95,843.405,2351.0
2020-03-27 10:45:00,845.56,846.17,845.54,846.17,2094.0
2020-03-27 10:50:00,852.21,852.6,849.2,849.2,1729.0
2020-03-27 10:55:00,848.02,848.02,840.89,840.89,1960.0
2020-03-27 11:00:00,848.71,848.71,845.27,845.59,1593.0
2020-03-27 11:05:00,844.55,844.55,844.54,844.54,799.0
2020-03-27 11:10:00,844.62,844.62,844.61,844.61,759.0
2020-03-27 11:15:00,847.91,847.91,844.055,844.055,350.0
2020-03-27 11:20:00,844.86,846.8,841.6,843.005,2901.0
2020-03-27 11:25:00,843.18,843.18,836.22,839.795,2894.0
2020-03-27 11:30:00,838.0,839.66,833.0,834.95,2691.0
2020-03-27 11:35:00,836.73,842.16,835.235,836.67,4329.0
2020-03-27 11:40:00,837.03,837.03,836.75,836.75,187.0
2020-03-27 11:45:00,836.58,837.0499,834.13,834.13,1259.0
2020-03-27 11:50:00,835.08,835.6,828.515,828.515,2667.0
2020-03-27 11:55:00,831.21,834.35,829.64,832.77,2062.0
2020-03-27 12:00:00,831.76,832.25,830.03,830.47,1235.0
2020-03-27 12:05:00,827.5,832.32,827.5,828.43,2849.0
2020-03-27 12:10:00,829.15,832.71,828.67,832.71,1724.0
2020-03-27 12:15:00,832.985,833.11,832.985,833.11,757.0
2020-03-27 12:20:00,834.79,843.005,834.35,843.005,1439.0
2020-03-27 12:25:00,844.08,844.08,839.23,839.41,1859.0
2020-03-27 12:30:00,840.305,840.305,833.835,838.605,1261.0
2020-03-27 12:35:00,839.54,843.87,837.54,843.87,1633.0
2020-03-27 12:40:00,844.38,844.38,841.995,841.995,344.0
2020-03-27 12:45:00,840.04,844.53,840.04,844.51,1735.0
2020-03-27 12:50:00,847.8,850.57,845.55,845.61,3142.0
2020-03-27 13:00:00,842.035,842.035,841.92,841.92,410.0
2020-03-27 13:05:00,838.24,852.11,838.24,852.11,2458.0
2020-03-27 13:10:00,848.73,848.76,844.44,844.44,1157.0
2020-03-27 13:20:00,834.32,838.805,834.31,834.32,881.0
2020-03-27 13:25:00,836.39,836.39,836.39,836.39,685.0
2020-03-27 13:30:00,835.1625,835.1625,829.52,832.935,1496.0
2020-03-27 13:35:00,830.93,832.24,829.22,832.24,963.0
2020-03-27 13:40:00,834.31,844.38,830.22,844.38,8075.0
2020-03-27 13:45:00,848.4,851.99,844.48,851.99,4850.0
2020-03-27 13:50:00,851.435,851.435,851.435,851.435,920.0
2020-03-27 13:55:00,854.95,857.9,852.45,852.45,4030.0
2020-03-27 14:00:00,857.55,858.29,850.42,850.53,5881.0
2020-03-27 14:10:00,845.355,845.355,845.355,845.355,239.0
2020-03-27 14:15:00,846.46,849.45,846.46,849.4,2454.0
2020-03-27 14:20:00,850.6,853.99,850.6,853.99,1762.0
2020-03-27 14:25:00,851.8,855.24,849.4,854.37,4155.0
2020-03-27 14:30:00,853.3,858.38,852.57,857.78,4632.0
2020-03-27 14:35:00,857.0,865.05,857.0,863.3,4721.0
2020-03-27 14:40:00,863.0,863.0,861.0,861.54,1867.0
2020-03-27 14:45:00,862.41,862.52,861.22,862.52,3028.0
2020-03-27 14:50:00,859.78,859.9,859.78,859.9,1189.0
2020-03-27 15:00:00,859.58,865.73,858.79,865.31,2772.0
2020-03-27 15:05:00,864.17,873.05,863.1,871.98,2462.0
2020-03-27 15:10:00,871.73,875.59,867.64,875.59,1433.0
2020-03-27 15:15:00,876.02,877.6,870.81,874.99,4008.0
2020-03-27 15:20:00,871.957,873.075,871.02,873.075,1082.0
2020-03-27 15:25:00,872.9,874.96,869.26,872.36,3536.0
2020-03-27 15:30:00,871.44,880.0,871.44,875.44,1320.0
2020-03-27 15:35:00,879.9,882.1252,866.59,866.62,3947.0
2020-03-27 15:40:00,867.0,867.18,860.23,861.81,1462.0
2020-03-27 15:45:00,860.9,867.85,858.28,867.85,3128.0
2020-03-27 15:50:00,862.4,863.89,852.54,853.9,7909.0
2020-03-27 15:55:00,854.165,859.99,850.59,854.595,7137.0
2020-03-27 16:00:00,850.6,858.14,848.75,850.94,16399.0
2020-03-30 09:35:00,834.9,855.0,834.9,854.92,5723.0
2020-03-30 09:40:00,857.585,857.65,837.91,841.275,2481.0
2020-03-30 09:45:00,841.25,845.04,832.92,835.365,2747.0
2020-03-30 09:50:00,835.515,843.6,835.505,843.6,4167.0
2020-03-30 09:55:00,840.705,857.65,840.705,857.65,2998.0
2020-03-30 10:00:00,849.17,849.31,847.38,847.38,1511.0
2020-03-30 10:05:00,849.68,849.68,848.45,848.525,1771.0
2020-03-30 10:10:00,849.11,851.26,847.79,847.79,3265.0
2020-03-30 10:15:00,847.3,860.7,847.3,860.7,5921.0
2020-03-30 10:20:00,855.79,861.43,855.79,858.04,1489.0
2020-03-30 10:25:00,859.27,860.675,855.01,855.85,3198.0
