date,1. open,2. high,3. low,4. close,5. volume
2020-03-25 09:35:00,16.6544,16.9325,16.468,16.5644,0.0
2020-03-25 09:40:00,16.58,16.85,16.52,16.82,36514.0
2020-03-25 09:45:00,16.825,16.825,16.6,16.7,25862.0
2020-03-25 09:50:00,16.71,16.71,16.5,16.53,17009.0
2020-03-25 09:55:00,16.46,16.46,16.11,16.17,52973.0
2020-03-25 10:00:00,16.16,16.47,16.14,16.15,31385.0
2020-03-25 10:05:00,16.17,16.22,16.02,16.11,19236.0
2020-03-25 10:10:00,16.11,16.21,16.02,16.055,16386.0
2020-03-25 10:15:00,16.09,16.09,15.89,15.945,43660.0
2020-03-25 10:20:00,15.94,15.97,15.88,15.93,23692.0
2020-03-25 10:25:00,15.91,16.075,15.885,16.03,27772.0
2020-03-25 10:30:00,16.03,16.095,15.955,16.09,21369.0
2020-03-25 10:35:00,16.09,16.23,16.08,16.16,28841.0
2020-03-25 10:40:00,16.21,16.37,16.13,16.315,28407.0
2020-03-25 10:45:00,16.325,16.37,16.24,16.28,36618.0
2020-03-25 10:50:00,16.28,16.35,16.16,16.3,34922.0
2020-03-25 10:55:00,16.3,16.4,16.28,16.375,28285.0
2020-03-25 11:00:00,16.36,16.56,16.35,16.52,32085.0
2020-03-25 11:05:00,16.51,16.67,16.48,16.64,22057.0
2020-03-25 11:10:00,16.66,16.785,16.63,16.78,35781.0
2020-03-25 11:15:00,16.77,16.85,16.715,16.73,43910.0
2020-03-25 11:20:00,16.73,16.77,16.64,16.655,33259.0
2020-03-25 11:25:00,16.65,16.665,16.595,16.63,24997.0
2020-03-25 11:30:00,16.63,16.7315,16.59,16.61,27229.0
2020-03-25 11:35:00,16.595,16.705,16.57,16.6,53242.0
2020-03-25 11:40:00,16.6,16.63,16.46,16.56,101240.0
2020-03-25 11:45:00,16.57,16.595,16.5,16.54,23156.0
2020-03-25 11:50:00,16.545,16.6,16.48,16.53,23252.0
2020-03-25 11:55:00,16.54,16.56,16.45,16.46,20439.0
2020-03-25 12:00:00,16.47,16.61,16.46,16.59,25372.0
2020-03-25 12:05:00,16.59,16.7,16.57,16.7,23934.0
2020-03-25 12:10:00,16.69,16.78,16.67,16.76,127200.0
2020-03-25 12:15:00,16.76,16.99,16.75,16.99,23852.0
2020-03-25 12:20:00,16.993,17.02,16.96,16.99,29466.0
2020-03-25 12:25:00,16.985,17.06,16.96,17.005,24790.0
2020-03-25 12:30:00,17.01,17.145,17.0,17.13,26520.0
2020-03-25 12:35:00,17.13,17.2865,17.085,17.28,28915.0
2020-03-25 12:40:00,17.27,17.46,17.23,17.435,29718.0
2020-03-25 12:45:00,17.43,17.51,17.42,17.495,28560.0
2020-03-25 12:50:00,17.49,17.58,17.47,17.5,42770.0
2020-03-25 12:55:00,17.52,17.67,17.48,17.51,39474.0
2020-03-25 13:00:00,17.49,17.53,17.4,17.43,36431.0
2020-03-25 13:05:00,17.43,17.53,17.39,17.465,27321.0
2020-03-25 13:10:00,17.46,17.575,17.438,17.575,24128.0
2020-03-25 13:15:00,17.57,17.57,17.405,17.435,24574.0
2020-03-25 13:20:00,17.43,17.69,17.42,17.69,27599.0
2020-03-25 13:25:00,17.75,17.905,17.75,17.865,52484.0
2020-03-25 13:30:00,17.86,17.86,17.69,17.75,33317.0
2020-03-25 13:35:00,17.75,17.835,17.67,17.81,43906.0
2020-03-25 13:40:00,17.79,17.79,17.675,17.7472,32807.0
2020-03-25 13:45:00,17.74,17.785,17.705,17.75,40747.0
2020-03-25 13:50:00,17.76,17.9,17.725,17.77,57129.0
2020-03-25 13:55:00,17.7591,17.7591,17.59,17.59,26728.0
2020-03-25 14:00:00,17.59,17.66,17.58,17.61,48892.0
2020-03-25 14:05:00,17.62,17.64,17.53,17.57,58758.0
2020-03-25 14:10:00,17.58,17.62,17.46,17.62,72139.0
2020-03-25 14:15:00,17.625,17.785,17.62,17.77,51569.0
2020-03-25 14:20:00,17.78,17.875,17.72,17.78,52303.0
2020-03-25 14:25:00,17.8,17.87,17.785,17.84,48790.0
2020-03-25 14:30:00,17.84,17.86,17.695,17.75,69493.0
2020-03-25 14:35:00,17.75,17.75,17.48,17.58,64685.0
2020-03-25 14:40:00,17.59,17.6568,17.495,17.56,62480.0
2020-03-25 14:45:00,17.55,17.56,17.39,17.45,46302.0
2020-03-25 14:50:00,17.455,17.6,17.42,17.56,46724.0
2020-03-25 14:55:00,17.56,17.59,17.425,17.47,41685.0
2020-03-25 15:00:00,17.48,17.69,17.48,17.585,65642.0
2020-03-25 15:05:00,17.57,17.64,17.56,17.64,51002.0
2020-03-25 15:10:00,17.64,17.64,17.535,17.6,65091.0
2020-03-25 15:15:00,17.59,17.63,17.52,17.6,61372.0
2020-03-25 15:20:00,17.6,17.62,17.52,17.56,49336.0
2020-03-25 15:25:00,17.55,17.585,17.49,17.5,52757.0
2020-03-25 15:30:00,17.5,17.565,17.3941,17.405,65401.0
2020-03-25 15:35:00,17.41,17.55,17.41,17.505,80551.0
2020-03-25 15:40:00,17.495,17.565,17.495,17.52,79579.0
2020-03-25 15:45:00,17.515,17.605,17.38,17.39,104641.0
2020-03-25 15:50:00,17.39,17.41,17.19,17.19,150817.0
2020-03-25 15:55:00,17.19,17.19,16.71,16.795,302977.0
2020-03-25 16:00:00,16.8,17.02,16.7,16.79,456404.0
2020-03-26 09:35:00,17.1134,17.4362,16.7105,16.7533,70340.0
2020-03-26 09:40:00,16.77,17.04,16.765,16.98,86483.0
2020-03-26 09:45:00,17.04,17.055,16.79,16.82,45466.0
2020-03-26 09:50:00,16.82,16.86,16.64,16.64,58166.0
2020-03-26 09:55:00,16.66,16.69,16.55,16.69,72039.0
2020-03-26 10:00:00,16.72,16.87,16.71,16.84,56340.0
2020-03-26 10:05:00,16.85,16.89,16.7,16.75,72584.0
2020-03-26 10:10:00,16.76,17.08,16.76,17.075,58146.0
2020-03-26 10:15:00,17.075,17.225,17.04,17.04,52779.0
2020-03-26 10:20:00,17.03,17.18,17.01,17.18,39219.0
2020-03-26 10:25:00,17.185,17.27,17.145,17.17,34158.0
2020-03-26 10:30:00,17.17,17.18,17.095,17.15,28858.0
2020-03-26 10:35:00,17.16,17.22,17.095,17.195,36588.0
2020-03-26 10:40:00,17.2,17.2,17.045,17.125,40884.0
2020-03-26 10:45:00,17.105,17.225,17.075,17.21,63126.0
2020-03-26 10:50:00,17.225,17.275,17.04,17.13,60270.0
2020-03-26 10:55:00,17.105,17.19,17.085,17.17,43871.0
2020-03-26 11:00:00,17.16,17.28,17.13,17.25,40005.0
2020-03-26 11:05:00,17.265,17.34,17.185,17.34,69854.0
2020-03-26 11:10:00,17.34,17.425,17.24,17.4,59862.0
2020-03-26 11:15:00,17.4,17.515,17.385,17.395,88468.0
2020-03-26 11:20:00,17.4,17.69,17.4,17.565,122258.0
2020-03-26 11:25:00,17.58,17.62,17.525,17.58,38169.0
2020-03-26 11:30:00,17.575,17.66,17.56,17.635,43887.0
2020-03-26 11:35:00,17.635,17.71,17.575,17.645,39123.0
2020-03-26 11:40:00,17.64,17.645,17.535,17.55,30392.0
2020-03-26 11:45:00,17.56,17.62,17.555,17.6,22979.0
2020-03-26 11:50:00,17.6,17.605,17.485,17.59,47479.0
2020-03-26 11:55:00,17.59,17.72,17.54,17.68,25160.0
2020-03-26 12:00:00,17.67,17.68,17.55,17.62,30371.0
2020-03-26 12:05:00,17.625,17.77,17.62,17.76,46523.0
2020-03-26 12:10:00,17.77,17.82,17.74,17.795,88152.0
2020-03-26 12:15:00,17.8,17.82,17.63,17.645,84582.0
2020-03-26 12:20:00,17.6593,17.66,17.545,17.56,41182.0
2020-03-26 12:25:00,17.57,17.655,17.52,17.645,23773.0
2020-03-26 12:30:00,17.65,17.72,17.64,17.68,23361.0
2020-03-26 12:35:00,17.67,17.74,17.67,17.73,20563.0
2020-03-26 12:40:00,17.695,17.7,17.54,17.57,24114.0
2020-03-26 12:45:00,17.585,17.62,17.54,17.59,25209.0
2020-03-26 12:50:00,17.59,17.72,17.55,17.72,45151.0
2020-03-26 12:55:00,17.72,17.81,17.72,17.77,35724.0
2020-03-26 13:00:00,17.77,17.87,17.75,17.83,23954.0
2020-03-26 13:05:00,17.82,17.89,17.82,17.85,23666.0
2020-03-26 13:10:00,17.84,17.845,17.64,17.655,54094.0
2020-03-26 13:15:00,17.655,17.665,17.56,17.57,31796.0
2020-03-26 13:20:00,17.58,17.675,17.55,17.6,32378.0
2020-03-26 13:25:00,17.59,17.59,17.46,17.47,64364.0
2020-03-26 13:30:00,17.48,17.505,17.39,17.455,35518.0
2020-03-26 13:35:00,17.44,17.565,17.37,17.515,61075.0
2020-03-26 13:40:00,17.51,17.6,17.42,17.5,59358.0
2020-03-26 13:45:00,17.5,17.63,17.49,17.63,36212.0
2020-03-26 13:50:00,17.635,17.635,17.515,17.62,32985.0
2020-03-26 13:55:00,17.625,17.69,17.58,17.6668,27296.0
2020-03-26 14:00:00,17.67,17.68,17.57,17.59,42631.0
2020-03-26 14:05:00,17.59,17.63,17.57,17.6,34597.0
2020-03-26 14:10:00,17.59,17.6,17.44,17.455,43617.0
2020-03-26 14:15:00,17.46,17.53,17.405,17.45,41423.0
2020-03-26 14:20:00,17.44,17.52,17.42,17.47,39743.0
2020-03-26 14:25:00,17.47,17.63,17.43,17.53,41018.0
2020-03-26 14:30:00,17.54,17.59,17.515,17.555,36748.0
2020-03-26 14:35:00,17.56,17.765,17.56,17.72,38183.0
2020-03-26 14:40:00,17.72,17.79,17.69,17.735,32569.0
2020-03-26 14:45:00,17.715,17.84,17.715,17.81,49026.0
2020-03-26 14:50:00,17.82,17.88,17.8,17.83,41837.0
2020-03-26 14:55:00,17.83,17.925,17.825,17.88,29047.0
2020-03-26 15:00:00,17.88,17.96,17.82,17.9,40874.0
2020-03-26 15:05:00,17.9,17.905,17.815,17.85,37883.0
2020-03-26 15:10:00,17.86,17.87,17.81,17.835,53602.0
2020-03-26 15:15:00,17.835,17.895,17.815,17.85,42296.0
2020-03-26 15:20:00,17.855,18.015,17.83,17.98,80372.0
2020-03-26 15:25:00,17.99,18.015,17.88,17.89,64469.0
2020-03-26 15:30:00,17.885,18.07,17.82,18.065,62470.0
2020-03-26 15:35:00,18.065,18.2,18.06,18.14,107644.0
2020-03-26 15:40:00,18.145,18.195,17.86,17.95,104328.0
2020-03-26 15:45:00,17.96,17.99,17.9,17.93,72067.0
2020-03-26 15:50:00,17.93,17.93,17.815,17.86,81040.0
2020-03-26 15:55:00,17.86,18.25,17.85,18.16,234435.0
2020-03-26 16:00:00,18.17,18.28,18.07,18.21,404887.0
2020-03-27 09:35:00,17.78,17.98,17.78,17.81,68976.0
2020-03-27 09:40:00,17.82,17.87,17.44,17.52,100315.0
2020-03-27 09:45:00,17.49,17.49,17.08,17.1859,64494.0
2020-03-27 09:50:00,17.18,17.4,17.08,17.37,51653.0
2020-03-27 09:55:00,17.39,17.59,17.37,17.52,23362.0
2020-03-27 10:00:00,17.52,17.64,17.43,17.49,35997.0
2020-03-27 10:05:00,17.49,17.54,17.375,17.54,29722.0
2020-03-27 10:10:00,17.55,17.64,17.46,17.5,26695.0
2020-03-27 10:15:00,17.49,17.645,17.49,17.6,43386.0
2020-03-27 10:20:00,17.59,17.63,17.42,17.47,43489.0
2020-03-27 10:25:00,17.47,17.485,17.33,17.4,27786.0
2020-03-27 10:30:00,17.4,17.53,17.4,17.442,23689.0
2020-03-27 10:35:00,17.46,17.465,17.35,17.42,33065.0
2020-03-27 10:40:00,17.425,17.49,17.385,17.465,20576.0
2020-03-27 10:45:00,17.46,17.555,17.43,17.49,24581.0
2020-03-27 10:50:00,17.48,17.64,17.47,17.6,23711.0
2020-03-27 10:55:00,17.6,17.605,17.525,17.58,23258.0
2020-03-27 11:00:00,17.6,17.65,17.54,17.61,24294.0
2020-03-27 11:05:00,17.75,17.83,17.75,17.825,53769.0
2020-03-27 11:10:00,17.81,17.81,17.71,17.76,30863.0
2020-03-27 11:15:00,17.85,17.9,17.785,17.79,66233.0
2020-03-27 11:20:00,17.8,18.05,17.8,17.98,24813.0
2020-03-27 11:25:00,17.97,17.97,17.8,17.81,29376.0
2020-03-27 11:30:00,17.8,17.86,17.68,17.785,24871.0
2020-03-27 11:35:00,17.8,17.96,17.77,17.925,36766.0
2020-03-27 11:40:00,17.92,18.02,17.68,17.75,102272.0
2020-03-27 11:45:00,17.745,17.755,17.57,17.635,37906.0
2020-03-27 11:50:00,17.65,17.68,17.6,17.65,26014.0
2020-03-27 11:55:00,17.67,17.75,17.67,17.69,24159.0
2020-03-27 12:00:00,17.69,17.72,17.61,17.63,30751.0
2020-03-27 12:05:00,17.635,17.695,17.62,17.665,20979.0
2020-03-27 12:10:00,17.67,17.73,17.625,17.68,26569.0
2020-03-27 12:15:00,17.685,17.75,17.685,17.75,37699.0
2020-03-27 12:20:00,17.74,17.75,17.66,17.73,21482.0
2020-03-27 12:25:00,17.73,17.75,17.71,17.72,27457.0
2020-03-27 12:30:00,17.72,17.7525,17.67,17.72,23114.0
2020-03-27 12:35:00,17.72,17.755,17.69,17.705,64240.0
2020-03-27 12:40:00,17.71,17.755,17.695,17.72,43329.0
2020-03-27 12:45:00,17.73,17.8261,17.71,17.8,50915.0
2020-03-27 12:50:00,17.83,17.845,17.745,17.745,30299.0
2020-03-27 12:55:00,17.745,17.765,17.73,17.74,32056.0
2020-03-27 13:00:00,17.74,17.77,17.74,17.76,28988.0
2020-03-27 13:05:00,17.76,17.79,17.74,17.75,27296.0
2020-03-27 13:10:00,17.75,17.75,17.6601,17.665,20336.0
2020-03-27 13:15:00,17.67,17.7,17.58,17.61,30025.0
2020-03-27 13:20:00,17.62,17.625,17.55,17.605,15731.0
2020-03-27 13:25:00,17.605,17.635,17.58,17.585,15900.0
2020-03-27 13:30:00,17.59,17.66,17.54,17.56,27490.0
2020-03-27 13:35:00,17.56,17.77,17.56,17.75,33070.0
2020-03-27 13:40:00,17.74,17.81,17.64,17.81,33686.0
2020-03-27 13:45:00,17.82,17.88,17.77,17.835,47734.0
2020-03-27 13:50:00,17.845,17.95,17.77,17.88,49125.0
2020-03-27 13:55:00,17.88,17.92,17.85,17.88,29699.0
2020-03-27 14:00:00,17.89,17.97,17.86,17.86,38493.0
2020-03-27 14:05:00,17.87,17.9225,17.83,17.845,45535.0
2020-03-27 14:10:00,17.84,17.87,17.795,17.8,27275.0
