date,1. open,2. high,3. low,4. close,5. volume
2020-03-25 09:35:00,60.766,61.3387,59.5818,60.3859,211621.0
2020-03-25 09:40:00,60.42,60.78,59.88,60.54,87916.0
2020-03-25 09:45:00,60.66,60.91,60.18,60.28,114960.0
2020-03-25 09:50:00,60.28,60.65,60.14,60.4401,60737.0
2020-03-25 09:55:00,60.49,60.78,60.27,60.37,93553.0
2020-03-25 10:00:00,60.31,60.38,59.93,60.13,156369.0
2020-03-25 10:05:00,60.08,60.43,59.945,60.21,113983.0
2020-03-25 10:10:00,60.24,60.41,60.075,60.135,90752.0
2020-03-25 10:15:00,60.24,60.26,59.84,60.15,136197.0
2020-03-25 10:20:00,60.16,60.64,59.95,60.615,98966.0
2020-03-25 10:25:00,60.59,61.06,60.45,60.91,120898.0
2020-03-25 10:30:00,60.91,60.97,60.58,60.705,67627.0
2020-03-25 10:35:00,60.705,61.0,60.58,60.81,85081.0
2020-03-25 10:40:00,60.78,60.91,60.49,60.87,96102.0
2020-03-25 10:45:00,60.9,61.25,60.86,61.2,75810.0
2020-03-25 10:50:00,61.1769,61.51,60.98,61.2,62226.0
2020-03-25 10:55:00,61.19,61.62,61.01,61.43,56085.0
2020-03-25 11:00:00,61.4,61.78,61.3,61.68,67222.0
2020-03-25 11:05:00,61.61,61.7495,61.26,61.43,56390.0
2020-03-25 11:10:00,61.43,61.75,61.43,61.7,61471.0
2020-03-25 11:15:00,61.67,61.73,61.46,61.6,115005.0
2020-03-25 11:20:00,61.58,61.71,61.35,61.43,93103.0
2020-03-25 11:25:00,61.44,61.54,61.1,61.185,46035.0
2020-03-25 11:30:00,61.1899,61.35,60.97,61.09,90408.0
2020-03-25 11:35:00,61.03,61.32,60.95,61.08,91569.0
2020-03-25 11:40:00,61.11,61.36,60.98,61.05,98917.0
2020-03-25 11:45:00,61.04,61.075,60.82,60.89,39746.0
2020-03-25 11:50:00,60.91,61.02,60.81,60.9,69496.0
2020-03-25 11:55:00,60.9,60.97,60.77,60.83,49254.0
2020-03-25 12:00:00,60.87,61.05,60.78,60.84,102758.0
2020-03-25 12:05:00,60.81,61.19,60.76,61.12,102294.0
2020-03-25 12:10:00,61.08,61.13,60.935,61.0,161909.0
2020-03-25 12:15:00,61.0098,61.21,60.98,61.2,98370.0
2020-03-25 12:20:00,61.18,61.3,61.13,61.14,76509.0
2020-03-25 12:25:00,61.17,61.4,61.06,61.16,114695.0
2020-03-25 12:30:00,61.2,61.31,61.07,61.07,58458.0
2020-03-25 12:35:00,61.06,61.584,61.06,61.56,141383.0
2020-03-25 12:40:00,61.54,61.79,61.4575,61.78,144402.0
2020-03-25 12:45:00,61.76,61.97,61.64,61.89,62271.0
2020-03-25 12:50:00,61.9,62.22,61.6,61.6,121268.0
2020-03-25 12:55:00,61.56,61.7888,61.42,61.43,64802.0
