date,1. open,2. high,3. low,4. close,5. volume
2020-03-25 09:35:00,153.0,157.0,152.87,155.61,301300.0
2020-03-25 09:40:00,155.9852,157.6792,155.5723,155.675,114986.0
2020-03-25 09:45:00,155.8605,158.2356,155.3843,156.6907,120701.0
2020-03-25 09:50:00,156.69,156.7,153.5,154.32,82059.0
2020-03-25 09:55:00,154.83,154.89,152.76,153.43,87809.0
2020-03-25 10:00:00,153.48,154.32,151.71,151.72,81909.0
2020-03-25 10:05:00,151.71,151.75,149.6,150.28,103677.0
2020-03-25 10:10:00,150.47,152.03,150.2825,151.58,88788.0
2020-03-25 10:15:00,151.55,151.72,150.37,150.56,98087.0
2020-03-25 10:20:00,150.66,151.16,150.12,150.33,174490.0
2020-03-25 10:25:00,150.345,151.57,150.03,150.7842,123360.0
2020-03-25 10:30:00,150.85,151.9,150.19,151.8651,90950.0
2020-03-25 10:35:00,151.9,153.3754,151.9,153.13,95414.0
2020-03-25 10:40:00,153.3,155.0,153.08,154.9,82939.0
2020-03-25 10:45:00,154.915,155.04,153.84,154.4,195607.0
2020-03-25 10:50:00,154.4967,155.0,153.7,154.39,95774.0
2020-03-25 10:55:00,154.3,155.3,154.13,154.8,102854.0
2020-03-25 11:00:00,154.61,155.99,154.51,155.37,140757.0
2020-03-25 11:05:00,155.38,155.59,154.01,154.71,87000.0
2020-03-25 11:10:00,154.74,155.68,154.62,155.65,91531.0
2020-03-25 11:15:00,155.59,155.804,155.0,155.01,98231.0
2020-03-25 11:20:00,154.94,155.2,153.87,155.18,69949.0
2020-03-25 11:25:00,155.06,155.28,154.53,154.93,67359.0
2020-03-25 11:30:00,154.835,155.6,154.625,155.16,91037.0
2020-03-25 11:35:00,155.21,155.52,154.81,155.26,68976.0
2020-03-25 11:40:00,155.23,155.87,154.75,155.33,100728.0
2020-03-25 11:45:00,155.39,155.65,154.77,155.11,71740.0
2020-03-25 11:50:00,155.15,156.37,154.41,156.13,164213.0
2020-03-25 11:55:00,156.14,156.46,155.21,155.48,99365.0
2020-03-25 12:00:00,155.55,156.06,155.29,155.33,61495.0
2020-03-25 12:05:00,155.16,156.49,155.0,156.45,82999.0
2020-03-25 12:10:00,156.31,156.48,155.73,155.8,71764.0
2020-03-25 12:15:00,155.86,156.34,155.5004,156.04,80747.0
2020-03-25 12:20:00,155.91,156.66,155.91,156.305,84393.0
2020-03-25 12:25:00,156.35,156.84,155.98,156.8,74951.0
2020-03-25 12:30:00,156.84,156.9,156.35,156.39,95614.0
2020-03-25 12:35:00,156.33,156.69,155.86,156.67,78891.0
2020-03-25 12:40:00,156.73,156.85,156.14,156.8156,106298.0
2020-03-25 12:45:00,156.81,156.93,156.4582,156.89,102020.0
2020-03-25 12:50:00,156.84,157.89,156.79,157.4,200613.0
2020-03-25 12:55:00,157.45,157.64,156.75,156.9274,80404.0
2020-03-25 13:00:00,156.94,157.6,156.92,157.16,84195.0
2020-03-25 13:05:00,157.08,157.19,156.56,156.79,79310.0
2020-03-25 13:10:00,156.74,157.37,156.38,157.32,64759.0
2020-03-25 13:15:00,157.28,157.4,156.85,157.055,55302.0
2020-03-25 13:20:00,157.02,158.02,156.99,157.84,145046.0
2020-03-25 13:25:00,157.79,157.93,157.29,157.36,68059.0
2020-03-25 13:30:00,157.29,157.48,156.15,156.455,58997.0
2020-03-25 13:35:00,156.4268,156.53,155.76,156.3256,56683.0
2020-03-25 13:40:00,156.28,156.7,156.01,156.66,85329.0
2020-03-25 13:45:00,156.68,157.71,156.66,157.65,68532.0
2020-03-25 13:50:00,157.65,158.0,157.23,157.73,80744.0
2020-03-25 13:55:00,157.72,157.98,157.09,157.26,66934.0
2020-03-25 14:00:00,157.26,157.56,156.39,157.08,84126.0
2020-03-25 14:05:00,157.19,157.2467,155.43,155.43,63676.0
2020-03-25 14:10:00,155.35,155.37,154.9,155.17,139515.0
2020-03-25 14:15:00,155.2,156.02,154.95,156.015,55898.0
2020-03-25 14:20:00,155.955,156.8,155.955,156.8,41104.0
2020-03-25 14:25:00,156.79,156.99,155.98,156.21,40334.0
2020-03-25 14:30:00,156.11,156.22,155.6,155.75,61042.0
2020-03-25 14:35:00,155.68,155.98,154.6336,154.85,65779.0
2020-03-25 14:40:00,154.95,155.18,154.23,154.996,61911.0
2020-03-25 14:45:00,154.95,155.015,153.8805,154.0,114440.0
2020-03-25 14:50:00,154.07,154.77,153.83,154.09,66997.0
2020-03-25 14:55:00,154.03,154.38,153.13,153.79,69977.0
2020-03-25 15:00:00,153.66,155.125,153.61,154.35,70688.0
2020-03-25 15:05:00,154.28,154.85,153.635,154.84,79951.0
2020-03-25 15:10:00,154.82,154.83,153.69,153.695,60653.0
2020-03-25 15:15:00,153.725,153.725,152.46,153.06,102246.0
2020-03-25 15:20:00,153.02,153.34,152.5502,153.0,91421.0
2020-03-25 15:25:00,152.97,153.005,152.09,152.57,141008.0
2020-03-25 15:30:00,152.515,153.64,151.98,152.45,130415.0
2020-03-25 15:35:00,152.46,153.17,152.33,152.6316,104325.0
2020-03-25 15:40:00,152.56,152.95,152.25,152.67,180553.0
2020-03-25 15:45:00,152.77,152.9345,150.92,151.0,164849.0
2020-03-25 15:50:00,151.0,151.23,149.7047,150.15,179691.0
2020-03-25 15:55:00,150.18,150.18,147.09,147.9,349643.0
2020-03-25 16:00:00,147.95,148.69,147.05,147.05,502304.0
2020-03-26 09:35:00,148.3,150.6699,148.2,149.805,254859.0
2020-03-26 09:40:00,149.388,151.72,149.28,150.46,110981.0
2020-03-26 09:45:00,150.455,150.8399,148.4,148.48,79307.0
2020-03-26 09:50:00,148.5,150.07,147.855,149.31,85050.0
2020-03-26 09:55:00,149.3838,151.0201,149.1024,149.1437,72312.0
2020-03-26 10:00:00,149.14,151.33,148.97,151.06,84315.0
2020-03-26 10:05:00,151.09,151.95,149.74,149.905,97277.0
2020-03-26 10:10:00,149.97,150.66,149.83,150.06,85467.0
2020-03-26 10:15:00,150.03,150.3,149.43,149.78,83827.0
2020-03-26 10:20:00,150.0,150.13,149.57,150.0,101282.0
2020-03-26 10:25:00,150.062,150.07,148.92,149.54,73850.0
2020-03-26 10:30:00,149.51,150.085,149.125,149.73,47937.0
2020-03-26 10:35:00,149.85,151.18,149.78,151.03,64959.0
2020-03-26 10:40:00,150.9917,151.1,149.23,149.23,61360.0
2020-03-26 10:45:00,149.28,149.83,148.88,149.83,47831.0
2020-03-26 10:50:00,149.73,150.06,148.77,148.86,53686.0
2020-03-26 10:55:00,148.77,149.59,148.6221,149.57,95623.0
2020-03-26 11:00:00,149.39,150.6,149.29,150.39,41723.0
2020-03-26 11:05:00,150.39,150.7886,149.88,150.74,57109.0
2020-03-26 11:10:00,150.665,151.02,149.62,150.05,67752.0
2020-03-26 11:15:00,150.13,150.97,150.13,150.63,48565.0
2020-03-26 11:20:00,150.74,151.695,150.68,151.63,87095.0
2020-03-26 11:25:00,151.63,151.939,151.34,151.44,72160.0
2020-03-26 11:30:00,151.38,151.5885,150.78,151.25,66147.0
2020-03-26 11:35:00,151.24,152.76,151.16,152.62,72370.0
2020-03-26 11:40:00,152.67,153.0,152.13,152.9793,138999.0
2020-03-26 11:45:00,152.96,153.9,152.92,153.73,95963.0
2020-03-26 11:50:00,153.7,153.79,152.79,152.92,101085.0
2020-03-26 11:55:00,152.95,153.0416,152.49,152.508,49044.0
2020-03-26 12:00:00,152.53,152.62,151.65,152.3,51505.0
2020-03-26 12:05:00,152.295,152.49,151.22,151.8415,66972.0
