date,1. open,2. high,3. low,4. close,5. volume
2020-03-25 09:35:00,9.0,9.54,9.0,9.44,929961.0
2020-03-25 09:40:00,9.3689,9.6419,9.344,9.4439,229275.0
2020-03-25 09:45:00,9.45,9.4801,9.09,9.0902,469786.0
2020-03-25 09:50:00,9.0901,9.2,9.08,9.12,196691.0
2020-03-25 09:55:00,9.015,9.04,8.66,8.73,819532.0
2020-03-25 10:00:00,8.72,9.13,8.66,9.12,381557.0
2020-03-25 10:05:00,9.1105,9.115,8.95,9.02,492896.0
2020-03-25 10:10:00,9.015,9.09,8.95,9.071,364562.0
2020-03-25 10:15:00,9.069,9.069,8.9,8.9401,237354.0
2020-03-25 10:20:00,8.95,9.05,8.945,9.015,220762.0
2020-03-25 10:25:00,9.015,9.17,8.995,9.04,335305.0
2020-03-25 10:30:00,9.0368,9.195,9.01,9.195,218790.0
2020-03-25 10:35:00,9.2,9.3,9.12,9.13,209754.0
2020-03-25 10:40:00,9.13,9.34,9.085,9.29,262007.0
2020-03-25 10:45:00,9.29,9.48,9.26,9.32,264287.0
2020-03-25 10:50:00,9.31,9.39,9.19,9.22,182079.0
2020-03-25 10:55:00,9.215,9.3,9.17,9.21,164724.0
2020-03-25 11:00:00,9.2,9.33,9.19,9.29,101756.0
2020-03-25 11:05:00,9.295,9.295,9.2202,9.275,79222.0
2020-03-25 11:10:00,9.2799,9.355,9.27,9.315,167203.0
2020-03-25 11:15:00,9.31,9.31,9.11,9.17,219936.0
2020-03-25 11:20:00,9.16,9.26,9.1109,9.22,208443.0
2020-03-25 11:25:00,9.2,9.22,9.11,9.18,77861.0
2020-03-25 11:30:00,9.18,9.24,9.17,9.195,92227.0
2020-03-25 11:35:00,9.195,9.275,9.16,9.255,107236.0
2020-03-25 11:40:00,9.25,9.27,9.2,9.25,96944.0
2020-03-25 11:45:00,9.26,9.2875,9.2,9.22,86148.0
2020-03-25 11:50:00,9.22,9.3,9.14,9.2984,114771.0
2020-03-25 11:55:00,9.295,9.325,9.22,9.22,64983.0
2020-03-25 12:00:00,9.23,9.38,9.2,9.34,124214.0
2020-03-25 12:05:00,9.345,9.36,9.31,9.355,65325.0
2020-03-25 12:10:00,9.36,9.365,9.3,9.355,98514.0
2020-03-25 12:15:00,9.355,9.49,9.35,9.49,281309.0
2020-03-25 12:20:00,9.49,9.6,9.48,9.555,199139.0
2020-03-25 12:25:00,9.5506,9.67,9.54,9.65,223166.0
2020-03-25 12:30:00,9.65,9.785,9.64,9.785,345782.0
2020-03-25 12:35:00,9.79,9.795,9.65,9.73,227802.0
2020-03-25 12:40:00,9.7326,9.9152,9.7031,9.8226,175895.0
2020-03-25 12:45:00,9.83,9.83,9.66,9.675,98212.0
2020-03-25 12:50:00,9.69,9.69,9.61,9.61,123608.0
2020-03-25 12:55:00,9.615,9.69,9.51,9.54,97455.0
2020-03-25 13:00:00,9.54,9.56,9.46,9.56,166224.0
2020-03-25 13:05:00,9.55,9.61,9.51,9.565,70402.0
2020-03-25 13:10:00,9.56,9.65,9.53,9.645,71133.0
2020-03-25 13:15:00,9.65,9.68,9.63,9.655,146734.0
2020-03-25 13:20:00,9.66,9.74,9.61,9.655,155975.0
2020-03-25 13:25:00,9.7,9.77,9.7,9.745,105773.0
2020-03-25 13:30:00,9.74,9.74,9.68,9.73,63973.0
2020-03-25 13:35:00,9.73,9.75,9.685,9.745,68561.0
2020-03-25 13:40:00,9.74,9.81,9.74,9.785,72201.0
2020-03-25 13:45:00,9.785,9.8296,9.77,9.805,58292.0
2020-03-25 13:50:00,9.81,9.86,9.74,9.795,150229.0
2020-03-25 13:55:00,9.7941,9.8,9.65,9.6782,203250.0
2020-03-25 14:00:00,9.68,9.72,9.65,9.67,127002.0
2020-03-25 14:05:00,9.66,9.69,9.64,9.675,100404.0
2020-03-25 14:10:00,9.675,9.68,9.6,9.655,134447.0
2020-03-25 14:15:00,9.65,9.72,9.61,9.655,143582.0
2020-03-25 14:20:00,9.655,9.72,9.65,9.71,77925.0
2020-03-25 14:25:00,9.715,9.77,9.695,9.7,99678.0
2020-03-25 14:30:00,9.6949,9.73,9.6,9.66,115405.0
2020-03-25 14:35:00,9.65,9.675,9.5,9.52,130620.0
2020-03-25 14:40:00,9.53,9.59,9.475,9.58,116026.0
2020-03-25 14:45:00,9.57,9.5739,9.51,9.555,58815.0
2020-03-25 14:50:00,9.56,9.63,9.54,9.615,93264.0
2020-03-25 14:55:00,9.615,9.63,9.53,9.575,85212.0
2020-03-25 15:00:00,9.58,9.69,9.58,9.62,105848.0
2020-03-25 15:05:00,9.63,9.68,9.61,9.675,118273.0
2020-03-25 15:10:00,9.675,9.68,9.59,9.595,102796.0
2020-03-25 15:15:00,9.5901,9.595,9.5301,9.5638,111257.0
2020-03-25 15:20:00,9.565,9.61,9.565,9.595,98917.0
2020-03-25 15:25:00,9.595,9.6,9.4701,9.475,151822.0
2020-03-25 15:30:00,9.475,9.51,9.395,9.395,158095.0
2020-03-25 15:35:00,9.395,9.46,9.395,9.435,184220.0
2020-03-25 15:40:00,9.435,9.48,9.43,9.435,212841.0
2020-03-25 15:45:00,9.435,9.46,9.3006,9.335,294919.0
2020-03-25 15:50:00,9.33,9.35,9.18,9.185,299083.0
2020-03-25 15:55:00,9.19,9.27,9.1,9.12,517531.0
2020-03-25 16:00:00,9.12,9.17,9.01,9.06,732681.0
2020-03-26 09:35:00,9.06,9.26,9.06,9.195,307258.0
2020-03-26 09:40:00,9.2,9.25,9.09,9.11,257670.0
2020-03-26 09:45:00,9.14,9.175,9.065,9.145,181264.0
2020-03-26 09:50:00,9.15,9.18,9.01,9.015,145486.0
2020-03-26 09:55:00,9.01,9.2,9.005,9.17,176816.0
2020-03-26 10:00:00,9.18,9.25,9.12,9.19,134543.0
2020-03-26 10:05:00,9.19,9.26,9.14,9.25,143061.0
2020-03-26 10:10:00,9.26,9.36,9.255,9.3529,242488.0
2020-03-26 10:15:00,9.355,9.4,9.275,9.29,160826.0
2020-03-26 10:20:00,9.29,9.35,9.29,9.3162,124856.0
2020-03-26 10:25:00,9.315,9.36,9.28,9.2934,141771.0
2020-03-26 10:30:00,9.29,9.32,9.25,9.265,68243.0
2020-03-26 10:35:00,9.265,9.305,9.26,9.275,88938.0
2020-03-26 10:40:00,9.275,9.275,9.2,9.22,100785.0
2020-03-26 10:45:00,9.22,9.23,9.15,9.225,94964.0
2020-03-26 10:50:00,9.23,9.26,9.16,9.195,71941.0
2020-03-26 10:55:00,9.2,9.2,9.14,9.185,125448.0
2020-03-26 11:00:00,9.19,9.26,9.17,9.22,91348.0
2020-03-26 11:05:00,9.215,9.24,9.16,9.175,84226.0
2020-03-26 11:10:00,9.18,9.199,9.12,9.125,72209.0
2020-03-26 11:15:00,9.1276,9.17,9.125,9.13,93330.0
2020-03-26 11:20:00,9.135,9.16,9.13,9.145,134206.0
2020-03-26 11:25:00,9.1466,9.24,9.13,9.24,104072.0
2020-03-26 11:30:00,9.24,9.27,9.23,9.265,93834.0
2020-03-26 11:35:00,9.2624,9.31,9.25,9.285,94465.0
2020-03-26 11:40:00,9.28,9.295,9.2301,9.285,115599.0
2020-03-26 11:45:00,9.2832,9.31,9.2743,9.295,108903.0
2020-03-26 11:50:00,9.29,9.295,9.23,9.25,53392.0
2020-03-26 11:55:00,9.25,9.3,9.24,9.295,88795.0
2020-03-26 12:00:00,9.29,9.31,9.24,9.28,85844.0
2020-03-26 12:05:00,9.275,9.34,9.275,9.315,63249.0
2020-03-26 12:10:00,9.315,9.32,9.23,9.23,89907.0
2020-03-26 12:15:00,9.235,9.265,9.2,9.245,71424.0
2020-03-26 12:20:00,9.2459,9.25,9.18,9.18,83447.0
2020-03-26 12:25:00,9.19,9.3,9.19,9.292,122587.0
2020-03-26 12:30:00,9.3,9.32,9.265,9.305,121796.0
2020-03-26 12:35:00,9.3,9.385,9.3,9.38,84048.0
2020-03-26 12:40:00,9.3801,9.388,9.35,9.3602,109346.0
2020-03-26 12:45:00,9.365,9.4,9.35,9.395,117387.0
2020-03-26 12:50:00,9.39,9.4,9.35,9.355,97936.0
2020-03-26 12:55:00,9.36,9.37,9.3,9.305,80474.0
2020-03-26 13:00:00,9.31,9.31,9.25,9.25,145962.0
2020-03-26 13:05:00,9.245,9.26,9.21,9.225,82019.0
2020-03-26 13:10:00,9.2278,9.255,9.16,9.16,101350.0
