date,1. open,2. high,3. low,4. close,5. volume
2020-03-25 09:35:00,191.9905,197.8488,189.8268,196.0015,22536.0
2020-03-25 09:40:00,193.34,195.288,193.34,194.5878,890.0
2020-03-25 09:45:00,195.61,198.8,195.39,198.76,14864.0
2020-03-25 09:50:00,198.76,199.48,197.09,199.22,22281.0
2020-03-25 09:55:00,198.93,199.365,196.12,197.52,13435.0
2020-03-25 10:00:00,197.31,199.46,196.82,197.32,5810.0
2020-03-25 10:05:00,197.83,197.85,195.07,195.07,8319.0
2020-03-25 10:10:00,194.44,196.39,194.44,195.15,2417.0
2020-03-25 10:15:00,195.67,196.05,194.03,194.83,8904.0
2020-03-25 10:20:00,194.725,195.54,193.36,194.8,87362.0
2020-03-25 10:25:00,195.27,197.23,195.27,196.98,6420.0
2020-03-25 10:30:00,197.24,197.67,196.08,196.45,4313.0
2020-03-25 10:35:00,197.64,199.4926,197.64,198.8,5374.0
2020-03-25 10:40:00,199.44,200.86,198.79,200.51,15870.0
2020-03-25 10:45:00,201.75,202.74,200.64,201.14,9677.0
2020-03-25 10:50:00,201.65,202.52,200.11,200.44,12908.0
2020-03-25 10:55:00,200.9,202.07,200.22,200.22,6018.0
2020-03-25 11:00:00,200.76,203.105,200.74,201.31,11440.0
2020-03-25 11:05:00,201.6,202.48,200.595,201.035,9199.0
2020-03-25 11:10:00,201.41,203.55,201.195,202.99,9692.0
2020-03-25 11:15:00,203.185,203.19,200.41,201.0,14758.0
2020-03-25 11:20:00,200.82,202.77,200.275,201.91,14004.0
2020-03-25 11:25:00,201.935,201.935,200.54,201.64,7100.0
2020-03-25 11:30:00,202.06,203.5,201.695,202.56,4453.0
2020-03-25 11:35:00,201.98,204.45,201.87,203.48,9537.0
2020-03-25 11:40:00,203.945,205.53,203.915,204.91,5886.0
2020-03-25 11:45:00,204.5795,205.44,204.0,204.5,5213.0
2020-03-25 11:50:00,203.72,206.05,203.72,205.62,8840.0
