date,1. open,2. high,3. low,4. close,5. volume
2020-03-25 09:35:00,7.452,7.5222,7.3303,7.437,7174479.0
2020-03-25 09:40:00,7.44,7.48,7.42,7.47,2101174.0
2020-03-25 09:45:00,7.4715,7.5993,7.3776,7.4015,3600676.0
2020-03-25 09:50:00,7.4,7.4,7.2,7.21,2120006.0
2020-03-25 09:55:00,7.2078,7.23,7.01,7.012,2034205.0
2020-03-25 10:00:00,7.01,7.11,6.96,7.11,2440815.0
2020-03-25 10:05:00,7.105,7.15,7.01,7.06,1234710.0
2020-03-25 10:10:00,7.055,7.1101,7.03,7.0868,1126446.0
2020-03-25 10:15:00,7.099,7.1,6.97,6.985,1631751.0
2020-03-25 10:20:00,6.9838,7.06,6.97,7.04,1005901.0
2020-03-25 10:25:00,7.025,7.09,7.0,7.04,1042788.0
2020-03-25 10:30:00,7.045,7.09,7.0,7.085,929426.0
2020-03-25 10:35:00,7.085,7.17,7.0833,7.1428,1419471.0
2020-03-25 10:40:00,7.15,7.23,7.12,7.23,1117765.0
2020-03-25 10:45:00,7.225,7.26,7.16,7.195,982865.0
2020-03-25 10:50:00,7.2,7.22,7.08,7.1325,933443.0
2020-03-25 10:55:00,7.135,7.23,7.115,7.18,965118.0
2020-03-25 11:00:00,7.16,7.25,7.14,7.23,786728.0
2020-03-25 11:05:00,7.2222,7.25,7.18,7.215,913176.0
2020-03-25 11:10:00,7.219,7.31,7.2,7.305,1204623.0
2020-03-25 11:15:00,7.31,7.31,7.21,7.24,770576.0
2020-03-25 11:20:00,7.2367,7.24,7.18,7.22,745535.0
2020-03-25 11:25:00,7.21,7.24,7.16,7.2199,911742.0
2020-03-25 11:30:00,7.2174,7.29,7.2,7.225,1458305.0
2020-03-25 11:35:00,7.22,7.25,7.2,7.2289,687063.0
2020-03-25 11:40:00,7.23,7.28,7.2148,7.2324,740045.0
2020-03-25 11:45:00,7.235,7.2599,7.21,7.22,677115.0
2020-03-25 11:50:00,7.2101,7.25,7.18,7.2315,787343.0
2020-03-25 11:55:00,7.235,7.29,7.23,7.25,1037678.0
2020-03-25 12:00:00,7.25,7.28,7.23,7.26,514921.0
2020-03-25 12:05:00,7.2517,7.325,7.25,7.325,1200438.0
2020-03-25 12:10:00,7.3423,7.355,7.31,7.315,1025987.0
2020-03-25 12:15:00,7.3153,7.35,7.31,7.3452,660482.0
2020-03-25 12:20:00,7.3477,7.4199,7.34,7.355,868567.0
2020-03-25 12:25:00,7.3589,7.42,7.34,7.42,700959.0
2020-03-25 12:30:00,7.4178,7.46,7.4,7.44,998561.0
2020-03-25 12:35:00,7.44,7.535,7.43,7.53,2295257.0
2020-03-25 12:40:00,7.525,7.55,7.49,7.5486,1292451.0
2020-03-25 12:45:00,7.55,7.56,7.5,7.54,1188050.0
2020-03-25 12:50:00,7.5343,7.58,7.525,7.5599,1232300.0
2020-03-25 12:55:00,7.55,7.59,7.52,7.53,1570114.0
2020-03-25 13:00:00,7.52,7.64,7.52,7.63,3020852.0
2020-03-25 13:05:00,7.6201,7.7196,7.61,7.7,2284849.0
