date,1. open,2. high,3. low,4. close,5. volume
2020-03-25 09:35:00,18.5949,19.4062,18.5278,19.2251,72357.0
2020-03-25 09:40:00,19.128,19.3645,18.7184,18.8679,34227.0
2020-03-25 09:45:00,18.765,19.0971,18.14,18.27,66171.0
2020-03-25 09:50:00,18.3223,18.7883,18.2027,18.2773,22069.0
2020-03-25 09:55:00,18.325,18.3293,17.51,17.51,31694.0
2020-03-25 10:00:00,17.5,17.7591,17.13,17.13,21099.0
2020-03-25 10:05:00,17.18,17.55,17.01,17.11,40777.0
2020-03-25 10:10:00,17.16,17.57,16.81,16.935,25844.0
2020-03-25 10:15:00,17.025,17.25,16.68,16.68,25041.0
2020-03-25 10:20:00,16.695,16.85,16.585,16.66,25033.0
2020-03-25 10:25:00,16.62,16.925,16.53,16.72,20628.0
2020-03-25 10:30:00,16.7467,17.1023,16.436,16.9418,30076.0
2020-03-25 10:35:00,16.955,17.22,16.955,17.0999,23703.0
2020-03-25 10:40:00,17.01,17.33,16.86,17.23,14586.0
2020-03-25 10:45:00,17.19,17.32,17.05,17.05,41623.0
2020-03-25 10:50:00,17.08,17.27,17.0,17.09,16065.0
2020-03-25 10:55:00,17.11,17.29,17.07,17.16,13607.0
2020-03-25 11:00:00,17.22,17.55,17.17,17.54,17038.0
2020-03-25 11:05:00,17.5,17.75,17.38,17.74,21309.0
2020-03-25 11:10:00,17.73,17.94,17.73,17.94,18907.0
2020-03-25 11:15:00,17.91,17.91,17.6,17.73,13058.0
2020-03-25 11:20:00,17.7187,17.7187,17.39,17.54,14515.0
2020-03-25 11:25:00,17.58,17.58,17.39,17.5,13795.0
2020-03-25 11:30:00,17.47,17.72,17.45,17.51,17820.0
2020-03-25 11:35:00,17.49,17.67,17.48,17.61,8727.0
2020-03-25 11:40:00,17.59,17.78,17.5,17.6709,12174.0
2020-03-25 11:45:00,17.68,17.71,17.6,17.68,16561.0
2020-03-25 11:50:00,17.67,17.68,17.5101,17.64,12119.0
2020-03-25 11:55:00,17.6,17.72,17.505,17.56,36756.0
2020-03-25 12:00:00,17.56,17.7,17.55,17.66,14618.0
2020-03-25 12:05:00,17.68,17.723,17.61,17.63,11265.0
2020-03-25 12:10:00,17.68,17.69,17.56,17.6,9326.0
2020-03-25 12:15:00,17.61,17.65,17.56,17.615,13638.0
2020-03-25 12:20:00,17.605,17.7,17.605,17.7,3730.0
2020-03-25 12:25:00,17.715,17.82,17.715,17.78,20231.0
2020-03-25 12:30:00,17.78,17.9,17.77,17.84,12051.0
2020-03-25 12:35:00,17.8529,18.0752,17.7625,17.7629,71673.0
2020-03-25 12:40:00,17.74,17.95,17.74,17.945,15004.0
2020-03-25 12:45:00,17.92,18.24,17.85,18.2278,35836.0
2020-03-25 12:50:00,18.28,18.31,18.11,18.18,26318.0
2020-03-25 12:55:00,18.19,18.325,18.12,18.14,26133.0
2020-03-25 13:00:00,18.17,18.18,17.87,17.91,23763.0
2020-03-25 13:05:00,17.93,18.01,17.84,17.98,33995.0
2020-03-25 13:10:00,18.01,18.08,17.87,18.0175,61526.0
2020-03-25 13:15:00,18.01,18.03,17.95,18.0,17287.0
2020-03-25 13:20:00,17.99,18.14,17.98,18.135,15906.0
2020-03-25 13:25:00,18.13,18.2915,18.11,18.28,18338.0
2020-03-25 13:30:00,18.27,18.27,18.0,18.04,18609.0
2020-03-25 13:35:00,18.03,18.16,17.99,18.14,11741.0
2020-03-25 13:40:00,18.14,18.17,18.06,18.15,13870.0
2020-03-25 13:45:00,18.17,18.23,18.115,18.19,18796.0
2020-03-25 13:50:00,18.2,18.22,18.07,18.18,22026.0
2020-03-25 13:55:00,18.14,18.14,17.95,17.96,14608.0
2020-03-25 14:00:00,18.02,18.03,17.9,17.96,34263.0
2020-03-25 14:05:00,17.985,18.13,17.87,17.93,39413.0
2020-03-25 14:10:00,17.99,17.99,17.72,17.77,13379.0
2020-03-25 14:15:00,17.77,17.97,17.74,17.96,17234.0
2020-03-25 14:20:00,17.99,18.095,17.89,17.96,24867.0
2020-03-25 14:25:00,17.95,17.96,17.86,17.87,14910.0
2020-03-25 14:30:00,17.8635,18.0258,17.8292,17.8335,21117.0
2020-03-25 14:35:00,17.82,17.82,17.46,17.46,18910.0
2020-03-25 14:40:00,17.47,17.63,17.45,17.595,16591.0
2020-03-25 14:45:00,17.58,17.62,17.47,17.57,13871.0
2020-03-25 14:50:00,17.62,17.65,17.53,17.56,15802.0
2020-03-25 14:55:00,17.59,17.61,17.41,17.51,15144.0
2020-03-25 15:00:00,17.54,17.67,17.54,17.56,17668.0
2020-03-25 15:05:00,17.575,17.72,17.55,17.71,15352.0
2020-03-25 15:10:00,17.71,17.72,17.57,17.59,24236.0
2020-03-25 15:15:00,17.57,17.57,17.33,17.46,21228.0
2020-03-25 15:20:00,17.45,17.48,17.33,17.425,25042.0
