date,1. open,2. high,3. low,4. close,5. volume
2020-03-25 09:35:00,56.2748,56.8153,55.4623,56.0147,70794.0
2020-03-25 09:40:00,56.005,56.565,55.71,56.54,65577.0
2020-03-25 09:45:00,56.5611,57.4284,56.5314,56.5411,45718.0
2020-03-25 09:50:00,56.59,56.83,56.3292,56.53,23623.0
2020-03-25 09:55:00,56.5268,56.92,56.26,56.26,13629.0
2020-03-25 10:00:00,56.06,56.135,55.32,55.32,53323.0
2020-03-25 10:05:00,55.18,56.13,55.07,55.475,56037.0
2020-03-25 10:10:00,55.55,56.0,55.345,55.41,18056.0
2020-03-25 10:15:00,55.44,55.55,54.93,54.93,52025.0
2020-03-25 10:20:00,54.995,55.19,54.935,55.1,12506.0
2020-03-25 10:25:00,55.1254,55.45,55.01,55.45,17216.0
2020-03-25 10:30:00,55.48,55.6,55.25,55.5,12532.0
2020-03-25 10:35:00,55.5,55.68,55.189,55.3,25349.0
2020-03-25 10:40:00,55.305,55.54,55.13,55.415,15964.0
2020-03-25 10:45:00,55.44,56.0,55.34,55.98,22162.0
2020-03-25 10:50:00,56.13,56.21,55.68,55.84,19000.0
2020-03-25 10:55:00,55.79,56.35,55.76,56.2,9443.0
2020-03-25 11:00:00,56.19,56.4,56.045,56.06,16150.0
2020-03-25 11:05:00,56.025,56.39,55.95,56.14,16881.0
2020-03-25 11:10:00,56.23,56.45,56.125,56.36,22124.0
2020-03-25 11:15:00,56.36,56.38,55.91,55.91,12317.0
2020-03-25 11:20:00,55.97,56.0,55.74,55.84,16941.0
2020-03-25 11:25:00,55.76,55.9,55.56,55.85,13879.0
2020-03-25 11:30:00,55.83,56.02,55.76,55.92,29732.0
2020-03-25 11:35:00,55.85,56.0,55.76,55.87,25058.0
2020-03-25 11:40:00,55.78,56.14,55.72,56.0,64368.0
2020-03-25 11:45:00,55.8001,56.05,55.78,55.97,14597.0
2020-03-25 11:50:00,55.97,56.14,55.75,56.13,10982.0
2020-03-25 11:55:00,56.15,56.34,55.9,56.28,16937.0
2020-03-25 12:00:00,56.33,56.87,56.15,56.78,20563.0
2020-03-25 12:05:00,56.7,56.95,56.56,56.8201,16959.0
2020-03-25 12:10:00,57.05,57.21,56.72,57.12,14793.0
2020-03-25 12:15:00,57.18,57.25,56.875,57.0,22736.0
2020-03-25 12:20:00,57.03,57.4,57.03,57.34,15810.0
2020-03-25 12:25:00,57.37,57.55,57.23,57.55,10250.0
2020-03-25 12:30:00,57.53,57.635,57.42,57.4625,25310.0
2020-03-25 12:35:00,57.46,57.74,57.25,57.56,21827.0
2020-03-25 12:40:00,57.48,58.11,57.4,57.9412,13314.0
2020-03-25 12:45:00,57.9,58.05,57.8,58.05,13331.0
2020-03-25 12:50:00,58.08,58.19,57.885,57.885,11412.0
2020-03-25 12:55:00,57.92,58.21,57.92,58.026,8216.0
2020-03-25 13:00:00,58.02,58.21,57.85,58.17,19972.0
2020-03-25 13:05:00,58.12,58.24,57.95,57.95,13752.0
2020-03-25 13:10:00,57.97,58.36,57.92,58.31,12734.0
2020-03-25 13:15:00,58.21,58.275,57.8225,57.94,18588.0
2020-03-25 13:20:00,57.94,58.3,57.8864,58.3,14382.0
2020-03-25 13:25:00,58.3,58.59,58.2101,58.48,21102.0
2020-03-25 13:30:00,58.4254,58.47,58.1037,58.47,13717.0
2020-03-25 13:35:00,58.33,58.61,58.325,58.61,17728.0
2020-03-25 13:40:00,58.61,58.835,58.5,58.71,12121.0
2020-03-25 13:45:00,58.63,58.77,58.63,58.64,9273.0
2020-03-25 13:50:00,58.645,59.21,58.645,59.21,19082.0
2020-03-25 13:55:00,59.15,59.27,58.84,58.84,21223.0
2020-03-25 14:00:00,58.87,59.07,58.75,59.02,19842.0
2020-03-25 14:05:00,59.07,59.14,58.675,58.945,29370.0
2020-03-25 14:10:00,58.92,58.97,58.22,58.22,39638.0
2020-03-25 14:15:00,58.27,58.62,58.05,58.51,27439.0
2020-03-25 14:20:00,58.5302,58.65,58.45,58.65,20979.0
2020-03-25 14:25:00,58.61,58.83,58.52,58.59,27227.0
2020-03-25 14:30:00,58.64,58.67,58.23,58.45,12129.0
2020-03-25 14:35:00,58.37,58.55,58.03,58.03,16079.0
2020-03-25 14:40:00,58.1,58.2275,57.875,58.2275,39026.0
2020-03-25 14:45:00,58.23,58.245,57.83,58.08,17470.0
2020-03-25 14:50:00,58.03,58.39,58.03,58.19,14966.0
2020-03-25 14:55:00,58.245,58.42,58.055,58.16,23626.0
2020-03-25 15:00:00,58.18,58.48,58.15,58.2,24703.0
2020-03-25 15:05:00,58.17,58.47,58.17,58.47,14383.0
2020-03-25 15:10:00,58.51,58.74,58.325,58.54,25444.0
2020-03-25 15:15:00,58.465,58.53,58.22,58.43,20690.0
2020-03-25 15:20:00,58.48,58.6,58.38,58.485,24576.0
2020-03-25 15:25:00,58.5,58.66,58.41,58.55,19605.0
2020-03-25 15:30:00,58.49,58.67,58.24,58.42,27147.0
