date,1. open,2. high,3. low,4. close,5. volume
2020-03-25 09:35:00,84.01,84.505,82.04,82.66,52943.0
2020-03-25 09:40:00,83.64,85.0,83.155,83.88,18048.0
2020-03-25 09:45:00,84.345,85.0,83.81,84.51,38317.0
2020-03-25 09:50:00,84.42,84.51,82.81,82.8429,40508.0
2020-03-25 09:55:00,82.8376,83.38,81.74,81.99,21315.0
2020-03-25 10:00:00,81.99,83.21,81.7,82.06,16522.0
2020-03-25 10:05:00,81.95,82.1334,81.13,81.13,16265.0
2020-03-25 10:10:00,81.22,82.11,81.17,81.41,16083.0
2020-03-25 10:15:00,81.455,81.455,80.59,80.71,28942.0
2020-03-25 10:20:00,80.71,81.72,80.71,81.72,18746.0
2020-03-25 10:25:00,81.85,82.54,81.49,81.74,10397.0
2020-03-25 10:30:00,81.74,81.99,81.1,81.99,12519.0
2020-03-25 10:35:00,82.1,82.65,81.77,82.27,9415.0
2020-03-25 10:40:00,82.31,83.0599,82.21,83.0599,11659.0
2020-03-25 10:45:00,83.07,83.53,82.38,82.52,16008.0
2020-03-25 10:50:00,82.68,83.45,82.59,82.84,21114.0
2020-03-25 10:55:00,82.98,83.22,82.12,82.14,13146.0
2020-03-25 11:00:00,81.9,82.54,81.9,82.45,19980.0
2020-03-25 11:05:00,82.28,82.53,81.79,82.31,12199.0
2020-03-25 11:10:00,82.27,82.58,82.09,82.31,13163.0
2020-03-25 11:15:00,82.27,82.44,81.79,82.01,13857.0
2020-03-25 11:20:00,82.0,82.0,81.49,81.84,6734.0
2020-03-25 11:25:00,81.78,81.86,81.19,81.4672,9323.0
2020-03-25 11:30:00,81.41,82.058,81.23,81.49,10803.0
2020-03-25 11:35:00,81.39,81.695,81.36,81.6,16666.0
2020-03-25 11:40:00,81.585,82.3476,81.465,82.0,22302.0
2020-03-25 11:45:00,82.0,82.1585,81.9,82.08,19992.0
2020-03-25 11:50:00,82.1,83.0,81.965,82.925,21436.0
2020-03-25 11:55:00,82.99,83.09,81.94,82.005,32376.0
2020-03-25 12:00:00,82.04,82.22,81.635,81.665,20717.0
2020-03-25 12:05:00,81.665,82.0,81.66,82.0,16604.0
2020-03-25 12:10:00,82.04,82.21,81.96,82.06,17998.0
2020-03-25 12:15:00,82.15,82.16,81.87,82.05,16478.0
2020-03-25 12:20:00,82.0358,82.16,82.02,82.04,12680.0
2020-03-25 12:25:00,81.99,82.39,81.93,82.39,29814.0
2020-03-25 12:30:00,82.4,82.52,82.025,82.09,24570.0
2020-03-25 12:35:00,82.05,82.2,81.86,82.17,36908.0
2020-03-25 12:40:00,82.18,82.35,81.96,82.22,29326.0
2020-03-25 12:45:00,82.22,82.255,81.985,82.21,23517.0
2020-03-25 12:50:00,82.17,82.66,82.17,82.66,22903.0
2020-03-25 12:55:00,82.585,83.0,82.245,82.245,18635.0
2020-03-25 13:00:00,82.22,82.59,82.12,82.45,21172.0
2020-03-25 13:05:00,82.47,82.6,82.295,82.445,22164.0
2020-03-25 13:10:00,82.4373,82.86,82.34,82.8,18825.0
2020-03-25 13:15:00,82.86,82.8687,82.29,82.3289,19527.0
2020-03-25 13:20:00,82.335,82.47,82.07,82.46,19693.0
2020-03-25 13:25:00,82.44,82.48,82.135,82.17,15123.0
2020-03-25 13:30:00,82.15,82.165,81.74,82.165,39180.0
2020-03-25 13:35:00,82.25,82.315,81.87,82.3,19883.0
2020-03-25 13:40:00,82.2,83.13,82.2,83.03,43642.0
2020-03-25 13:45:00,83.03,83.36,82.78,83.09,22083.0
2020-03-25 13:50:00,83.01,83.44,83.01,83.045,27745.0
2020-03-25 13:55:00,83.125,83.3,82.5,82.53,24104.0
2020-03-25 14:00:00,82.52,82.7,82.02,82.25,27643.0
2020-03-25 14:05:00,82.29,82.6673,82.0,82.09,10880.0
2020-03-25 14:10:00,82.1685,82.27,81.81,82.13,60412.0
2020-03-25 14:15:00,82.13,83.04,82.1,82.94,8881.0
2020-03-25 14:20:00,82.88,83.06,82.3624,82.82,12368.0
2020-03-25 14:25:00,82.7,82.93,82.27,82.42,10986.0
2020-03-25 14:30:00,82.4,82.43,81.97,82.33,12520.0
2020-03-25 14:35:00,82.32,82.32,81.945,82.02,10352.0
2020-03-25 14:40:00,82.14,82.68,82.03,82.68,10132.0
2020-03-25 14:45:00,82.56,82.74,82.4,82.68,5531.0
2020-03-25 14:50:00,82.795,83.2385,82.795,82.99,9423.0
2020-03-25 14:55:00,83.09,83.2084,82.71,82.98,7790.0
2020-03-25 15:00:00,83.14,83.96,83.11,83.56,15730.0
2020-03-25 15:05:00,83.55,84.05,83.255,83.9,9306.0
2020-03-25 15:10:00,83.9956,84.01,83.67,83.88,7692.0
