date,1. open,2. high,3. low,4. close,5. volume
2020-03-25 09:35:00,76.01,76.9889,75.4238,76.19,354549.0
2020-03-25 09:40:00,76.22,76.815,76.22,76.52,251424.0
2020-03-25 09:45:00,76.715,76.85,76.44,76.85,111173.0
2020-03-25 09:50:00,76.83,76.83,75.03,75.03,131872.0
2020-03-25 09:55:00,75.4,75.5,74.02,74.02,120037.0
2020-03-25 10:00:00,74.0,75.8,74.0,75.24,88672.0
2020-03-25 10:05:00,75.18,75.78,74.81,74.9,91447.0
2020-03-25 10:10:00,74.96,75.7,74.74,75.1,89022.0
2020-03-25 10:15:00,75.35,75.36,74.59,75.05,97252.0
2020-03-25 10:20:00,75.1,75.605,74.62,74.82,94630.0
2020-03-25 10:25:00,74.915,75.355,74.72,74.97,98394.0
2020-03-25 10:30:00,75.0,75.06,74.36,74.9,106180.0
2020-03-25 10:35:00,74.95,75.74,74.92,75.73,95923.0
2020-03-25 10:40:00,75.83,76.56,75.74,76.45,51962.0
2020-03-25 10:45:00,76.425,76.9,75.79,76.01,97488.0
2020-03-25 10:50:00,76.05,76.55,75.7,76.04,56838.0
2020-03-25 10:55:00,76.05,76.5435,75.98,76.04,58670.0
2020-03-25 11:00:00,75.94,76.67,75.74,76.51,59413.0
2020-03-25 11:05:00,76.495,76.665,75.935,76.665,63966.0
2020-03-25 11:10:00,76.665,77.06,76.36,76.95,120687.0
2020-03-25 11:15:00,76.98,77.1,76.07,76.08,79669.0
2020-03-25 11:20:00,76.02,76.38,75.62,76.24,41655.0
2020-03-25 11:25:00,76.14,76.34,75.81,76.33,44304.0
2020-03-25 11:30:00,76.29,76.82,75.88,75.99,69750.0
2020-03-25 11:35:00,75.94,76.22,75.76,75.77,72820.0
2020-03-25 11:40:00,75.74,75.9,75.41,75.61,69995.0
2020-03-25 11:45:00,75.59,75.955,75.2,75.74,52683.0
2020-03-25 11:50:00,75.78,76.61,75.52,76.38,62481.0
2020-03-25 11:55:00,76.39,76.53,75.63,75.76,73442.0
2020-03-25 12:00:00,75.77,76.47,75.59,76.34,82002.0
2020-03-25 12:05:00,76.385,77.25,76.385,77.13,95562.0
2020-03-25 12:10:00,77.34,77.5,77.17,77.26,122519.0
2020-03-25 12:15:00,77.28,77.76,77.22,77.55,68814.0
2020-03-25 12:20:00,77.54,77.75,77.54,77.73,43409.0
2020-03-25 12:25:00,77.72,78.0,77.71,78.0,53222.0
2020-03-25 12:30:00,78.0,78.02,77.77,77.815,75572.0
2020-03-25 12:35:00,77.79,78.02,77.38,77.99,42534.0
2020-03-25 12:40:00,78.02,78.16,77.45,78.085,56842.0
2020-03-25 12:45:00,78.08,78.25,77.93,78.19,69785.0
2020-03-25 12:50:00,78.19,78.25,77.77,77.77,103423.0
2020-03-25 12:55:00,77.77,77.975,77.25,77.465,73918.0
2020-03-25 13:00:00,77.5,77.55,76.96,77.05,49575.0
2020-03-25 13:05:00,77.0,77.285,76.83,76.975,57048.0
2020-03-25 13:10:00,76.95,77.52,76.73,77.43,42675.0
2020-03-25 13:15:00,77.43,77.56,77.19,77.33,66685.0
2020-03-25 13:20:00,77.35,78.065,77.35,77.91,36771.0
2020-03-25 13:25:00,78.07,78.25,77.72,77.7558,88761.0
2020-03-25 13:30:00,77.76,77.82,77.31,77.45,60973.0
2020-03-25 13:35:00,77.512,78.5873,77.315,77.8551,45452.0
2020-03-25 13:40:00,77.86,77.94,77.4201,77.94,52802.0
2020-03-25 13:45:00,77.87,78.25,77.87,78.08,40305.0
2020-03-25 13:50:00,78.1,78.33,77.895,78.145,45645.0
2020-03-25 13:55:00,78.16,78.27,77.655,77.66,55928.0
2020-03-25 14:00:00,77.74,77.88,77.04,77.59,69340.0
2020-03-25 14:05:00,77.79,77.88,77.38,77.55,32084.0
2020-03-25 14:10:00,77.53,77.575,76.67,77.16,88922.0
2020-03-25 14:15:00,77.26,77.5,76.94,77.26,52946.0
2020-03-25 14:20:00,77.2999,77.48,77.1,77.36,66557.0
2020-03-25 14:25:00,77.32,77.53,77.08,77.23,48745.0
2020-03-25 14:30:00,77.24,77.26,76.495,76.82,51007.0
2020-03-25 14:35:00,76.88,77.0,75.98,76.25,92513.0
2020-03-25 14:40:00,76.35,76.68,76.1,76.63,53805.0
2020-03-25 14:45:00,76.68,76.74,76.31,76.58,47027.0
2020-03-25 14:50:00,76.61,77.0,76.57,76.9,75774.0
2020-03-25 14:55:00,76.93,77.0409,76.08,76.08,91774.0
