date,1. open,2. high,3. low,4. close,5. volume
2020-03-25 09:35:00,126.2432,129.4322,125.4136,127.8486,0.0
2020-03-25 09:40:00,128.565,128.67,127.03,127.995,9775.0
2020-03-25 09:45:00,128.48,128.48,127.02,127.91,43839.0
2020-03-25 09:50:00,128.14,128.2075,126.35,126.63,53409.0
2020-03-25 09:55:00,125.84,126.4475,123.78,124.35,15583.0
2020-03-25 10:00:00,124.34,125.21,123.42,123.68,13508.0
2020-03-25 10:05:00,123.525,124.78,122.03,122.07,17141.0
2020-03-25 10:10:00,122.05,123.44,121.86,123.41,21415.0
2020-03-25 10:15:00,123.04,123.195,122.06,122.41,23295.0
2020-03-25 10:20:00,122.42,123.73,122.41,123.41,16853.0
2020-03-25 10:25:00,123.64,124.39,123.38,123.61,17790.0
2020-03-25 10:30:00,123.64,124.89,123.2301,124.8375,20652.0
2020-03-25 10:35:00,125.0,125.94,125.0,125.47,27778.0
2020-03-25 10:40:00,125.7,126.13,124.98,125.88,16637.0
2020-03-25 10:45:00,125.66,126.92,125.24,126.245,20802.0
2020-03-25 10:50:00,126.48,126.62,125.22,125.425,11305.0
2020-03-25 10:55:00,125.6,126.47,125.46,126.13,15197.0
2020-03-25 11:00:00,125.56,126.55,125.525,126.41,12448.0
2020-03-25 11:05:00,126.4,126.78,126.0,126.52,18566.0
2020-03-25 11:10:00,126.67,127.47,126.375,127.4351,14439.0
2020-03-25 11:15:00,127.23,127.37,125.58,126.18,15170.0
2020-03-25 11:20:00,126.03,126.575,125.6901,125.955,14715.0
2020-03-25 11:25:00,125.8825,126.16,125.47,125.8158,9986.0
2020-03-25 11:30:00,125.79,126.51,125.28,125.595,12676.0
2020-03-25 11:35:00,125.59,126.09,125.08,125.66,18956.0
2020-03-25 11:40:00,125.52,125.77,124.82,124.82,13565.0
2020-03-25 11:45:00,125.11,125.11,123.89,124.36,13475.0
2020-03-25 11:50:00,124.48,125.0215,123.8,124.695,11861.0
2020-03-25 11:55:00,124.58,124.86,123.82,123.82,15362.0
2020-03-25 12:00:00,124.06,124.6,123.89,124.09,17452.0
2020-03-25 12:05:00,124.19,125.16,124.03,125.04,6772.0
2020-03-25 12:10:00,125.49,125.92,125.22,125.22,11520.0
2020-03-25 12:15:00,125.22,126.8675,124.92,126.8675,9267.0
2020-03-25 12:20:00,126.62,127.14,126.36,126.865,13458.0
2020-03-25 12:25:00,126.86,127.805,126.86,127.6946,12166.0
2020-03-25 12:30:00,127.665,129.53,127.39,128.02,27094.0
2020-03-25 12:35:00,127.9959,129.1892,127.8174,127.9549,18889.0
2020-03-25 12:40:00,127.82,128.82,127.47,128.715,13260.0
2020-03-25 12:45:00,128.62,129.21,128.13,129.075,24569.0
2020-03-25 12:50:00,129.24,130.13,129.16,129.255,11521.0
2020-03-25 12:55:00,129.205,129.67,128.41,128.41,9913.0
2020-03-25 13:00:00,128.41,128.8,127.81,128.1,9156.0
2020-03-25 13:05:00,128.19,128.83,127.53,128.29,8487.0
2020-03-25 13:10:00,127.8979,129.26,127.23,129.145,265523.0
2020-03-25 13:15:00,129.32,129.33,128.04,128.355,13137.0
2020-03-25 13:20:00,128.55,129.0,128.17,128.45,21386.0
2020-03-25 13:25:00,128.27,128.9,128.25,128.29,12893.0
2020-03-25 13:30:00,128.29,128.96,128.25,128.96,15907.0
2020-03-25 13:35:00,128.62,129.38,128.39,129.38,14821.0
2020-03-25 13:40:00,129.295,129.44,128.94,129.305,10804.0
2020-03-25 13:45:00,129.39,129.47,128.42,128.98,10564.0
2020-03-25 13:50:00,129.03,129.63,128.98,129.26,13771.0
2020-03-25 13:55:00,129.15,129.73,128.24,128.45,13784.0
2020-03-25 14:00:00,128.53,129.02,128.48,128.92,9050.0
2020-03-25 14:05:00,128.75,129.21,128.4,128.76,14260.0
2020-03-25 14:10:00,128.64,129.03,128.25,129.03,23417.0
2020-03-25 14:15:00,129.11,129.85,128.91,129.58,15015.0
2020-03-25 14:20:00,129.73,129.95,128.79,129.92,15780.0
2020-03-25 14:25:00,129.72,130.09,128.8,129.15,14725.0
2020-03-25 14:30:00,129.22,129.97,128.68,129.515,18806.0
2020-03-25 14:35:00,129.33,129.33,128.52,128.76,22009.0
2020-03-25 14:40:00,128.88,129.51,128.25,129.455,26378.0
2020-03-25 14:45:00,129.46,129.64,129.12,129.12,38261.0
2020-03-25 14:50:00,129.29,129.86,129.1,129.65,22961.0
2020-03-25 14:55:00,129.75,129.83,128.03,128.36,27900.0
2020-03-25 15:00:00,128.405,129.87,128.405,129.09,17148.0
2020-03-25 15:05:00,129.08,129.875,128.49,129.875,25171.0
2020-03-25 15:10:00,129.875,129.875,128.32,128.62,15326.0
2020-03-25 15:15:00,128.63,128.71,127.99,128.365,17699.0
2020-03-25 15:20:00,128.51,128.66,128.05,128.325,18756.0
2020-03-25 15:25:00,128.44,128.57,127.69,127.69,18780.0
2020-03-25 15:30:00,127.57,127.74,126.38,126.68,23831.0
2020-03-25 15:35:00,127.01,127.33,126.57,126.77,20757.0
2020-03-25 15:40:00,127.01,127.38,126.58,126.72,22512.0
2020-03-25 15:45:00,126.735,127.03,125.27,125.31,26209.0
2020-03-25 15:50:00,125.31,125.52,124.01,124.01,32638.0
2020-03-25 15:55:00,124.02,125.09,121.17,121.22,95580.0
2020-03-25 16:00:00,121.53,122.27,120.36,121.09,159926.0
2020-03-26 09:35:00,123.3242,124.351,122.6175,123.4042,25630.0
2020-03-26 09:40:00,123.365,124.17,122.92,123.2201,21227.0
2020-03-26 09:45:00,123.635,123.635,122.32,122.7,23484.0
2020-03-26 09:50:00,122.95,124.01,122.585,122.7,30127.0
2020-03-26 09:55:00,122.94,123.35,122.02,123.13,13621.0
2020-03-26 10:00:00,123.305,124.61,123.305,124.37,20093.0
2020-03-26 10:05:00,124.66,124.66,122.7887,122.98,22374.0
2020-03-26 10:10:00,122.95,124.15,122.95,123.91,34300.0
2020-03-26 10:15:00,123.85,124.81,123.79,123.995,22233.0
2020-03-26 10:20:00,124.6699,124.84,124.4081,124.595,13644.0
2020-03-26 10:25:00,124.585,125.46,124.555,125.26,36996.0
2020-03-26 10:30:00,125.24,125.275,124.5685,124.62,16918.0
2020-03-26 10:35:00,124.79,125.59,124.625,125.59,16222.0
2020-03-26 10:40:00,125.46,125.47,124.23,124.23,27780.0
2020-03-26 10:45:00,124.265,124.61,123.64,124.48,14879.0
2020-03-26 10:50:00,124.43,124.69,123.07,123.6132,26262.0
2020-03-26 10:55:00,123.35,123.89,123.215,123.55,15729.0
2020-03-26 11:00:00,123.55,124.03,122.97,123.08,19425.0
2020-03-26 11:05:00,123.3,123.46,122.37,123.34,15747.0
2020-03-26 11:10:00,123.29,123.56,122.44,122.715,19833.0
2020-03-26 11:15:00,122.9,123.085,122.73,122.805,16087.0
2020-03-26 11:20:00,122.91,123.89,122.91,123.89,11331.0
2020-03-26 11:25:00,123.91,125.04,123.91,124.7,24607.0
2020-03-26 11:30:00,124.91,126.1,124.76,125.97,21586.0
2020-03-26 11:35:00,126.12,126.92,125.74,126.59,16586.0
2020-03-26 11:40:00,126.49,126.74,125.79,126.14,16521.0
2020-03-26 11:45:00,126.125,126.69,126.0,126.45,14529.0
2020-03-26 11:50:00,126.31,126.31,125.39,125.41,19596.0
2020-03-26 11:55:00,125.39,125.65,124.67,125.485,18501.0
2020-03-26 12:00:00,125.52,125.68,124.82,125.44,20159.0
2020-03-26 12:05:00,125.32,125.99,125.32,125.71,10365.0
2020-03-26 12:10:00,125.79,125.79,125.16,125.42,8126.0
2020-03-26 12:15:00,125.3233,125.805,124.95,125.39,10755.0
2020-03-26 12:20:00,125.38,125.62,125.16,125.24,11391.0
2020-03-26 12:25:00,125.28,125.55,124.84,125.38,12228.0
2020-03-26 12:30:00,125.52,126.0,125.4,125.57,11407.0
2020-03-26 12:35:00,125.57,125.93,125.57,125.65,8102.0
2020-03-26 12:40:00,125.72,125.74,124.86,125.32,14686.0
2020-03-26 12:45:00,125.27,125.42,124.83,125.15,9165.0
2020-03-26 12:50:00,125.15,125.1703,124.69,125.05,13220.0
2020-03-26 12:55:00,125.055,125.8,125.055,125.53,7225.0
2020-03-26 13:00:00,125.59,125.89,125.53,125.73,10295.0
