date,1. open,2. high,3. low,4. close,5. volume
2020-03-25 09:35:00,85.69,86.64,85.23,86.64,0.0
2020-03-25 09:40:00,86.64,87.36,86.06,86.97,30136.0
2020-03-25 09:45:00,86.84,87.72,86.24,86.62,43129.0
2020-03-25 09:50:00,86.65,86.82,86.27,86.72,17299.0
2020-03-25 09:55:00,86.61,86.7189,84.91,85.138,93494.0
2020-03-25 10:00:00,85.15,85.83,84.93,85.25,18055.0
2020-03-25 10:05:00,85.1,85.4,84.3334,84.78,28204.0
2020-03-25 10:10:00,84.91,85.73,84.85,85.605,13782.0
2020-03-25 10:15:00,85.5,85.7,84.97,85.335,34928.0
2020-03-25 10:20:00,85.41,86.44,85.41,86.36,17762.0
2020-03-25 10:25:00,86.445,86.8,86.29,86.57,13057.0
2020-03-25 10:30:00,86.33,86.7321,85.802,86.62,21170.0
2020-03-25 10:35:00,86.65,87.19,86.56,86.8,24565.0
2020-03-25 10:40:00,86.97,86.97,86.22,86.765,24215.0
2020-03-25 10:45:00,86.68,87.01,86.32,86.32,18945.0
2020-03-25 10:50:00,86.4,86.71,85.74,86.0,28742.0
2020-03-25 10:55:00,85.99,86.52,85.94,85.94,14554.0
2020-03-25 11:00:00,85.68,86.84,85.68,86.84,10528.0
2020-03-25 11:05:00,86.845,86.97,86.62,86.9,19206.0
2020-03-25 11:10:00,86.9,87.21,86.5635,86.97,14377.0
2020-03-25 11:15:00,86.97,87.39,86.78,87.12,12183.0
2020-03-25 11:20:00,86.95,87.39,86.48,87.14,9958.0
2020-03-25 11:25:00,87.25,87.25,86.7,87.1625,17145.0
2020-03-25 11:30:00,87.19,87.81,87.03,87.18,21136.0
2020-03-25 11:35:00,87.26,87.41,86.95,87.05,10509.0
2020-03-25 11:40:00,87.13,87.135,86.66,86.74,23877.0
2020-03-25 11:45:00,86.63,86.81,86.23,86.23,14648.0
2020-03-25 11:50:00,86.32,86.62,86.3,86.32,16239.0
2020-03-25 11:55:00,86.45,86.47,85.8991,85.91,16795.0
2020-03-25 12:00:00,86.04,86.19,85.83,85.99,24189.0
2020-03-25 12:05:00,86.07,86.37,85.89,86.19,24241.0
2020-03-25 12:10:00,86.27,86.29,85.72,85.8,32328.0
2020-03-25 12:15:00,85.77,86.06,85.69,86.06,22500.0
2020-03-25 12:20:00,86.03,86.43,85.99,85.99,14954.0
2020-03-25 12:25:00,86.07,86.5,86.035,86.4226,11526.0
2020-03-25 12:30:00,86.5,86.97,86.46,86.68,11006.0
2020-03-25 12:35:00,86.745,86.99,86.44,86.8747,13454.0
2020-03-25 12:40:00,86.98,87.59,86.61,87.59,18116.0
2020-03-25 12:45:00,87.54,87.85,87.33,87.84,18280.0
2020-03-25 12:50:00,87.85,88.11,87.74,87.81,14050.0
2020-03-25 12:55:00,87.75,88.31,87.37,87.64,17362.0
2020-03-25 13:00:00,87.5,87.94,87.46,87.89,11501.0
2020-03-25 13:05:00,88.02,88.36,87.68,88.04,15136.0
2020-03-25 13:10:00,87.85,88.945,87.68,88.8,13499.0
2020-03-25 13:15:00,88.86,88.9,88.49,88.79,18679.0
2020-03-25 13:20:00,88.88,89.75,88.8753,89.75,18546.0
2020-03-25 13:25:00,89.64,89.64,88.72,88.93,18993.0
2020-03-25 13:30:00,88.92,89.35,88.64,89.35,23184.0
2020-03-25 13:35:00,89.2,89.91,89.17,89.82,17323.0
2020-03-25 13:40:00,89.75,90.26,89.47,89.81,17484.0
2020-03-25 13:45:00,90.04,90.775,90.04,90.68,14847.0
2020-03-25 13:50:00,90.6565,90.87,90.355,90.365,12109.0
2020-03-25 13:55:00,90.445,90.62,89.65,89.68,14412.0
2020-03-25 14:00:00,89.81,89.93,88.97,88.97,35862.0
2020-03-25 14:05:00,89.39,89.5,87.99,88.32,84481.0
2020-03-25 14:10:00,88.21,88.465,87.4501,87.805,20700.0
2020-03-25 14:15:00,87.89,89.05,87.7,89.05,17533.0
2020-03-25 14:20:00,89.225,89.64,88.99,89.61,12245.0
2020-03-25 14:25:00,89.59,89.81,89.3844,89.3844,21100.0
2020-03-25 14:30:00,89.46,89.495,88.875,89.21,23396.0
2020-03-25 14:35:00,89.2,89.53,88.08,88.26,12942.0
2020-03-25 14:40:00,88.285,88.91,88.131,88.76,13766.0
2020-03-25 14:45:00,88.82,88.83,88.03,88.425,14072.0
2020-03-25 14:50:00,88.59,89.746,88.58,89.53,11515.0
2020-03-25 14:55:00,89.63,89.78,88.9298,89.51,19550.0
2020-03-25 15:00:00,89.55,90.21,89.43,89.94,22274.0
2020-03-25 15:05:00,90.16,90.58,89.68,90.44,30911.0
2020-03-25 15:10:00,90.47,90.47,89.92,90.1,25833.0
2020-03-25 15:15:00,90.13,90.24,89.82,90.13,29737.0
2020-03-25 15:20:00,90.15,90.24,89.82,90.01,35146.0
2020-03-25 15:25:00,90.0,90.15,89.65,89.95,36494.0
2020-03-25 15:30:00,89.945,90.145,89.45,89.78,49022.0
2020-03-25 15:35:00,89.86,90.44,89.8319,90.09,44173.0
2020-03-25 15:40:00,89.93,90.3205,89.51,89.67,55869.0
2020-03-25 15:45:00,89.7229,90.06,89.26,89.6,36451.0
2020-03-25 15:50:00,89.44,89.8,88.31,88.47,44492.0
2020-03-25 15:55:00,88.26,88.26,86.61,87.08,93569.0
2020-03-25 16:00:00,86.96,87.8,86.31,86.66,174681.0
2020-03-26 09:35:00,87.54,88.04,87.04,87.142,21419.0
2020-03-26 09:40:00,87.16,88.99,87.1401,88.75,8587.0
2020-03-26 09:45:00,89.0,89.48,87.15,87.595,11179.0
2020-03-26 09:50:00,87.79,87.79,86.54,87.35,20088.0
2020-03-26 09:55:00,86.95,88.12,86.95,88.1,10589.0
2020-03-26 10:00:00,88.26,89.0875,88.26,88.735,10283.0
2020-03-26 10:05:00,88.44,88.6,87.97,88.295,13662.0
2020-03-26 10:10:00,88.25,89.4511,88.09,89.4511,50405.0
2020-03-26 10:15:00,89.33,89.35,88.3,88.695,22214.0
2020-03-26 10:20:00,88.68,89.24,88.28,89.21,14383.0
2020-03-26 10:25:00,89.41,89.45,88.7,89.01,26361.0
2020-03-26 10:30:00,89.01,89.05,88.3,88.41,27787.0
2020-03-26 10:35:00,88.55,88.865,88.37,88.74,26644.0
2020-03-26 10:40:00,88.76,88.79,87.32,87.43,42690.0
2020-03-26 10:45:00,87.32,87.77,86.95,87.69,48393.0
2020-03-26 10:50:00,87.74,87.98,87.11,87.35,24705.0
2020-03-26 10:55:00,87.52,87.89,87.24,87.55,16646.0
2020-03-26 11:00:00,87.39,87.81,87.36,87.71,15182.0
2020-03-26 11:05:00,87.69,87.69,87.04,87.575,15351.0
2020-03-26 11:10:00,87.61,87.82,87.2312,87.605,12320.0
2020-03-26 11:15:00,87.55,87.84,87.44,87.67,17679.0
2020-03-26 11:20:00,87.74,87.9,87.48,87.6768,20594.0
2020-03-26 11:25:00,87.77,88.42,87.605,88.42,24043.0
2020-03-26 11:30:00,88.33,88.73,88.24,88.62,13473.0
2020-03-26 11:35:00,88.55,89.05,88.45,88.45,17872.0
2020-03-26 11:40:00,88.44,88.87,88.24,88.375,10744.0
2020-03-26 11:45:00,88.48,88.79,88.29,88.49,15931.0
2020-03-26 11:50:00,88.48,88.48,87.79,87.845,7598.0
2020-03-26 11:55:00,87.7101,88.4,87.71,88.19,14040.0
2020-03-26 12:00:00,88.2,88.36,87.61,88.26,13584.0
2020-03-26 12:05:00,88.3,88.32,87.92,88.125,14982.0
2020-03-26 12:10:00,88.13,88.24,87.3148,87.61,27987.0
2020-03-26 12:15:00,87.6,87.61,87.09,87.162,40110.0
2020-03-26 12:20:00,87.26,87.5,87.18,87.29,29742.0
2020-03-26 12:25:00,87.28,87.6,87.09,87.425,15434.0
2020-03-26 12:30:00,87.31,87.63,87.31,87.565,9986.0
2020-03-26 12:35:00,87.565,87.82,87.565,87.715,16814.0
2020-03-26 12:40:00,87.875,88.13,87.76,88.0978,15964.0
2020-03-26 12:45:00,88.14,88.14,87.4398,87.75,15895.0
2020-03-26 12:50:00,87.73,87.78,87.54,87.59,35318.0
2020-03-26 12:55:00,87.6,87.68,87.32,87.37,21411.0
2020-03-26 13:00:00,87.38,87.74,87.31,87.61,9323.0
2020-03-26 13:05:00,87.56,87.66,87.32,87.41,17944.0
2020-03-26 13:10:00,87.395,87.5,86.52,86.777,12755.0
2020-03-26 13:15:00,86.84,86.89,86.42,86.475,19388.0
2020-03-26 13:20:00,86.515,86.88,86.39,86.58,20114.0
2020-03-26 13:25:00,86.52,86.72,86.11,86.675,19920.0
2020-03-26 13:30:00,86.665,86.85,86.665,86.7,12047.0
