date,1. open,2. high,3. low,4. close,5. volume
2020-03-25 09:35:00,137.0,142.75,135.95,142.75,100885.0
2020-03-25 09:40:00,142.495,144.79,142.22,144.465,59562.0
2020-03-25 09:45:00,144.7,145.64,143.665,143.675,47870.0
2020-03-25 09:50:00,143.88,144.4045,142.55,143.53,23233.0
2020-03-25 09:55:00,143.48,143.53,140.41,141.265,15566.0
2020-03-25 10:00:00,140.91,141.77,139.4,139.54,25200.0
2020-03-25 10:05:00,139.47,140.41,138.11,139.135,21358.0
2020-03-25 10:10:00,139.23,141.62,139.23,140.9366,22224.0
2020-03-25 10:15:00,141.44,141.44,139.07,139.47,15889.0
2020-03-25 10:20:00,139.48,140.015,139.01,139.01,28301.0
2020-03-25 10:25:00,139.06,140.4,138.78,139.17,22674.0
2020-03-25 10:30:00,139.34,139.82,138.57,139.77,20268.0
2020-03-25 10:35:00,140.15,140.5802,138.66,139.71,14648.0
2020-03-25 10:40:00,139.71,141.1663,139.29,140.62,12704.0
2020-03-25 10:45:00,140.65,141.43,139.55,140.375,15405.0
2020-03-25 10:50:00,140.6,140.765,138.66,139.47,15408.0
2020-03-25 10:55:00,139.24,141.195,139.04,140.98,20615.0
2020-03-25 11:00:00,140.83,142.23,140.46,141.97,15832.0
2020-03-25 11:05:00,141.91,141.91,140.735,141.28,26964.0
2020-03-25 11:10:00,141.34,141.9,140.92,141.41,16259.0
2020-03-25 11:15:00,141.39,141.76,140.84,141.43,25102.0
2020-03-25 11:20:00,141.4432,141.79,141.03,141.4,16575.0
2020-03-25 11:25:00,141.58,141.62,140.63,141.08,11881.0
2020-03-25 11:30:00,141.245,142.28,140.76,141.205,10890.0
2020-03-25 11:35:00,141.2,141.99,140.91,141.88,6023.0
2020-03-25 11:40:00,141.49,141.94,140.91,141.44,9351.0
2020-03-25 11:45:00,141.3192,141.9436,141.135,141.47,7891.0
2020-03-25 11:50:00,141.25,142.44,140.58,142.235,27383.0
2020-03-25 11:55:00,142.03,143.28,141.96,142.8,11937.0
2020-03-25 12:00:00,142.64,143.07,142.29,142.81,7168.0
2020-03-25 12:05:00,142.8,143.92,142.725,143.885,10970.0
2020-03-25 12:10:00,144.475,144.83,144.005,144.61,20706.0
2020-03-25 12:15:00,144.48,144.86,144.3,144.59,20365.0
2020-03-25 12:20:00,144.51,145.7,144.465,145.54,22645.0
2020-03-25 12:25:00,145.46,145.7,145.13,145.47,10127.0
2020-03-25 12:30:00,145.545,147.28,145.5,146.99,21311.0
2020-03-25 12:35:00,147.01,147.875,146.21,147.87,30872.0
2020-03-25 12:40:00,147.78,148.11,147.01,148.08,18329.0
2020-03-25 12:45:00,147.89,147.94,147.3,147.57,26515.0
2020-03-25 12:50:00,147.95,148.345,147.41,148.27,28579.0
2020-03-25 12:55:00,147.85,148.6,147.65,147.76,15304.0
2020-03-25 13:00:00,147.93,148.14,147.32,147.5,23829.0
2020-03-25 13:05:00,147.46,148.85,147.225,148.34,14857.0
2020-03-25 13:10:00,148.34,149.735,148.29,149.735,11345.0
2020-03-25 13:15:00,149.67,149.71,148.29,148.77,23639.0
2020-03-25 13:20:00,148.705,149.6832,148.6059,149.295,14758.0
2020-03-25 13:25:00,149.31,149.48,148.67,148.805,17097.0
2020-03-25 13:30:00,148.68,149.54,148.34,149.54,18761.0
2020-03-25 13:35:00,149.585,150.14,148.95,150.1,12066.0
2020-03-25 13:40:00,150.01,150.4,149.06,149.45,21833.0
2020-03-25 13:45:00,149.47,150.26,148.8834,150.14,16541.0
2020-03-25 13:50:00,150.11,150.74,149.48,149.665,20307.0
2020-03-25 13:55:00,149.63,149.77,147.93,147.93,21404.0
2020-03-25 14:00:00,147.95,148.21,146.95,147.51,27887.0
2020-03-25 14:05:00,147.35,147.51,146.3,146.73,20512.0
2020-03-25 14:10:00,146.88,147.17,145.36,145.47,21108.0
2020-03-25 14:15:00,145.35,146.76,145.35,146.76,12508.0
2020-03-25 14:20:00,146.6486,148.0508,146.5969,146.6186,11885.0
