date,1. open,2. high,3. low,4. close,5. volume
2020-03-25 09:35:00,8.57,8.75,8.53,8.66,0.0
2020-03-25 09:40:00,8.69,8.74,8.65,8.65,14278.0
2020-03-25 09:45:00,8.61,8.61,8.51,8.55,27031.0
2020-03-25 09:50:00,8.56,8.56,8.42,8.45,0.0
2020-03-25 09:55:00,8.47,8.47,8.35,8.36,87319.0
2020-03-25 10:00:00,8.36,8.42,8.27,8.29,23769.0
2020-03-25 10:05:00,8.3,8.38,8.22,8.24,33812.0
2020-03-25 10:10:00,8.25,8.32,8.2,8.24,9798.0
2020-03-25 10:15:00,8.28,8.28,8.15,8.18,18930.0
2020-03-25 10:20:00,8.19,8.19,8.09,8.1,19189.0
2020-03-25 10:25:00,8.1,8.205,8.1,8.16,18726.0
2020-03-25 10:30:00,8.175,8.22,8.12,8.22,11007.0
2020-03-25 10:35:00,8.24,8.285,8.17,8.22,8887.0
2020-03-25 10:40:00,8.24,8.33,8.24,8.33,7043.0
2020-03-25 10:45:00,8.36,8.38,8.27,8.28,8851.0
2020-03-25 10:50:00,8.3,8.34,8.23,8.275,12126.0
2020-03-25 10:55:00,8.27,8.32,8.26,8.3,12508.0
2020-03-25 11:00:00,8.27,8.36,8.27,8.36,8821.0
2020-03-25 11:05:00,8.35,8.42,8.34,8.41,29639.0
2020-03-25 11:10:00,8.45,8.5,8.42,8.45,7336.0
2020-03-25 11:15:00,8.4417,8.5165,8.4359,8.4417,9483.0
2020-03-25 11:20:00,8.46,8.53,8.445,8.51,12590.0
2020-03-25 11:25:00,8.5,8.5,8.43,8.48,7081.0
2020-03-25 11:30:00,8.46,8.5,8.44,8.45,3959.0
2020-03-25 11:35:00,8.44,8.51,8.44,8.5,5155.0
2020-03-25 11:40:00,8.5,8.55,8.48,8.5,5764.0
2020-03-25 11:45:00,8.49,8.51,8.47,8.48,3457.0
2020-03-25 11:50:00,8.49,8.53,8.48,8.51,6014.0
2020-03-25 11:55:00,8.51,8.56,8.49,8.54,5773.0
2020-03-25 12:00:00,8.55,8.58,8.55,8.56,5258.0
2020-03-25 12:05:00,8.555,8.64,8.55,8.64,8377.0
2020-03-25 12:10:00,8.65,8.65,8.58,8.59,5844.0
2020-03-25 12:15:00,8.6,8.67,8.59,8.66,5440.0
2020-03-25 12:20:00,8.66,8.73,8.66,8.71,9310.0
2020-03-25 12:25:00,8.72,8.79,8.71,8.79,9233.0
2020-03-25 12:30:00,8.81,8.85,8.75,8.78,12335.0
2020-03-25 12:35:00,8.75,8.85,8.75,8.85,9060.0
2020-03-25 12:40:00,8.84,8.92,8.83,8.905,9270.0
2020-03-25 12:45:00,8.89,8.97,8.8799,8.94,11738.0
2020-03-25 12:50:00,8.94,8.96,8.92,8.92,7644.0
2020-03-25 12:55:00,8.93,8.98,8.88,8.89,5789.0
2020-03-25 13:00:00,8.89,8.9,8.84,8.88,6158.0
2020-03-25 13:05:00,8.88,8.97,8.8721,8.94,5914.0
2020-03-25 13:10:00,8.94,9.02,8.94,9.02,7029.0
2020-03-25 13:15:00,9.0,9.0,8.93,8.94,4515.0
2020-03-25 13:20:00,8.94,9.0,8.94,8.98,4387.0
2020-03-25 13:25:00,9.02,9.05,9.02,9.03,6525.0
2020-03-25 13:30:00,9.02,9.03,8.96,9.02,7023.0
2020-03-25 13:35:00,9.02,9.07,8.98,9.07,8538.0
2020-03-25 13:40:00,9.08,9.13,9.06,9.11,5454.0
2020-03-25 13:45:00,9.11,9.14,9.1,9.12,5366.0
2020-03-25 13:50:00,9.12,9.2,9.1,9.14,8647.0
2020-03-25 13:55:00,9.14,9.18,9.1,9.1,7159.0
2020-03-25 14:00:00,9.1,9.13,9.06,9.07,16395.0
2020-03-25 14:05:00,9.07,9.08,8.96,8.96,7669.0
2020-03-25 14:10:00,8.95,8.96,8.88,8.93,8550.0
2020-03-25 14:15:00,8.95,9.03,8.91,9.03,9425.0
2020-03-25 14:20:00,9.05,9.0726,9.02,9.07,9885.0
2020-03-25 14:25:00,9.07,9.09,8.97,8.99,15812.0
2020-03-25 14:30:00,8.99,8.99,8.9,8.93,18075.0
2020-03-25 14:35:00,8.93,8.93,8.87,8.89,8197.0
2020-03-25 14:40:00,8.89,8.93,8.84,8.93,13418.0
2020-03-25 14:45:00,8.93,8.93,8.85,8.88,10089.0
2020-03-25 14:50:00,8.89,8.945,8.88,8.92,8603.0
2020-03-25 14:55:00,8.92,8.93,8.85,8.9,6953.0
2020-03-25 15:00:00,8.92,9.04,8.92,8.98,6395.0
2020-03-25 15:05:00,8.98,9.04,8.97,9.03,8434.0
2020-03-25 15:10:00,9.02,9.05,8.98,9.04,10030.0
2020-03-25 15:15:00,9.03,9.03,8.98,9.02,6168.0
2020-03-25 15:20:00,9.02,9.05,9.0,9.0,7931.0
2020-03-25 15:25:00,9.01,9.015,8.94,8.94,17923.0
2020-03-25 15:30:00,8.94,8.97,8.9,8.93,26490.0
2020-03-25 15:35:00,8.94,8.96,8.9,8.91,21241.0
2020-03-25 15:40:00,8.9,8.92,8.865,8.87,26976.0
2020-03-25 15:45:00,8.87,8.89,8.8,8.82,36691.0
2020-03-25 15:50:00,8.81,8.83,8.71,8.715,45413.0
2020-03-25 15:55:00,8.71,8.715,8.58,8.59,90275.0
2020-03-25 16:00:00,8.6,8.68,8.57,8.61,107610.0
2020-03-26 09:35:00,8.66,8.81,8.66,8.77,13070.0
2020-03-26 09:40:00,8.73,8.76,8.7,8.7,13923.0
2020-03-26 09:45:00,8.75,8.77,8.66,8.7,7919.0
2020-03-26 09:50:00,8.69,8.7901,8.66,8.75,23246.0
