date,1. open,2. high,3. low,4. close,5. volume
2020-03-25 09:35:00,40.8,42.67,40.6,42.67,269700.0
2020-03-25 09:40:00,42.5178,43.3733,42.0911,42.9279,113352.0
2020-03-25 09:45:00,42.75,42.8,42.07,42.2,170838.0
2020-03-25 09:50:00,42.18,42.18,41.22,41.51,137499.0
2020-03-25 09:55:00,41.31,41.31,39.78,39.78,218302.0
2020-03-25 10:00:00,39.85,40.09,39.65,39.78,231936.0
2020-03-25 10:05:00,39.775,39.785,39.04,39.15,112895.0
2020-03-25 10:10:00,39.155,39.7,38.94,39.49,100560.0
2020-03-25 10:15:00,39.5004,39.9124,39.3577,39.4604,60656.0
2020-03-25 10:20:00,39.29,39.69,39.28,39.67,82543.0
2020-03-25 10:25:00,39.665,39.97,39.4201,39.7437,139909.0
2020-03-25 10:30:00,39.876,40.5649,39.7371,40.1461,114274.0
2020-03-25 10:35:00,40.14,40.94,40.14,40.73,97608.0
2020-03-25 10:40:00,40.7,41.25,40.55,41.105,75963.0
2020-03-25 10:45:00,41.1155,41.4568,40.81,41.0001,101734.0
2020-03-25 10:50:00,41.12,41.27,40.71,41.0,54004.0
2020-03-25 10:55:00,40.94,41.34,40.9,41.06,39938.0
2020-03-25 11:00:00,40.98,41.71,40.92,41.63,49443.0
2020-03-25 11:05:00,41.625,41.71,41.36,41.64,42485.0
2020-03-25 11:10:00,41.665,41.7998,41.47,41.73,45008.0
2020-03-25 11:15:00,41.73,41.77,41.34,41.46,43541.0
2020-03-25 11:20:00,41.44,41.74,41.205,41.68,50722.0
2020-03-25 11:25:00,41.62,41.6723,41.27,41.6,29463.0
2020-03-25 11:30:00,41.6,42.09,41.54,41.97,91839.0
2020-03-25 11:35:00,41.98,42.28,41.935,42.15,53674.0
2020-03-25 11:40:00,42.1,42.56,41.95,42.5,72037.0
2020-03-25 11:45:00,42.49,42.7299,42.35,42.55,46150.0
2020-03-25 11:50:00,42.6,42.68,42.14,42.2,90372.0
2020-03-25 11:55:00,42.2,42.29,41.74,41.83,54269.0
2020-03-25 12:00:00,41.85,42.12,41.7,41.99,63041.0
2020-03-25 12:05:00,41.96,42.73,41.92,42.685,67444.0
2020-03-25 12:10:00,42.7469,43.01,42.7,42.95,61429.0
2020-03-25 12:15:00,42.915,43.06,42.5723,42.705,79430.0
2020-03-25 12:20:00,42.725,42.9,42.71,42.79,49074.0
2020-03-25 12:25:00,42.8872,43.37,42.88,43.36,83169.0
2020-03-25 12:30:00,43.405,43.9,43.38,43.45,106740.0
2020-03-25 12:35:00,43.445,43.57,43.12,43.24,74715.0
2020-03-25 12:40:00,43.23,43.42,42.868,43.32,55312.0
2020-03-25 12:45:00,43.3,43.42,43.13,43.42,47181.0
2020-03-25 12:50:00,43.361,43.72,43.361,43.4538,49746.0
2020-03-25 12:55:00,43.48,43.8,43.42,43.55,53284.0
2020-03-25 13:00:00,43.54,43.82,43.46,43.68,76287.0
2020-03-25 13:05:00,43.7013,44.1747,43.6048,43.6713,62661.0
2020-03-25 13:10:00,43.64,44.42,43.58,44.41,81361.0
2020-03-25 13:15:00,44.41,44.41,43.96,44.01,88911.0
2020-03-25 13:20:00,44.01,44.59,44.0,44.51,79717.0
2020-03-25 13:25:00,44.6193,44.9,44.56,44.72,82449.0
2020-03-25 13:30:00,44.71,44.71,44.11,44.265,85542.0
2020-03-25 13:35:00,44.24,44.81,44.105,44.81,105247.0
2020-03-25 13:40:00,44.8,44.88,44.56,44.8,49719.0
2020-03-25 13:45:00,44.8,45.0,44.69,44.9725,49965.0
2020-03-25 13:50:00,44.99,45.41,44.9,44.9763,167542.0
2020-03-25 13:55:00,45.0,45.17,44.6,44.6,91641.0
2020-03-25 14:00:00,44.61,44.64,44.11,44.37,88813.0
2020-03-25 14:05:00,44.45,44.5599,44.02,44.061,92378.0
2020-03-25 14:10:00,44.06,44.1,43.23,43.34,94334.0
2020-03-25 14:15:00,43.375,43.83,43.26,43.8,118190.0
2020-03-25 14:20:00,43.86,43.94,43.53,43.67,120006.0
2020-03-25 14:25:00,43.66,44.06,43.6,43.975,56780.0
2020-03-25 14:30:00,44.0,44.02,43.68,43.9,40459.0
2020-03-25 14:35:00,43.87,43.96,43.5,43.6,91828.0
2020-03-25 14:40:00,43.67,43.95,43.57,43.84,67000.0
2020-03-25 14:45:00,43.82,43.95,43.71,43.885,41065.0
2020-03-25 14:50:00,43.87,44.22,43.87,44.09,43238.0
2020-03-25 14:55:00,44.11,44.27,43.85,44.13,43942.0
2020-03-25 15:00:00,44.15,44.58,44.13,44.29,64231.0
2020-03-25 15:05:00,44.28,44.6,44.12,44.6,86450.0
2020-03-25 15:10:00,44.62,44.62,44.28,44.41,44556.0
2020-03-25 15:15:00,44.4,44.4,43.63,43.76,69729.0
2020-03-25 15:20:00,43.77,43.93,43.63,43.69,66226.0
2020-03-25 15:25:00,43.67,43.79,43.28,43.405,160679.0
2020-03-25 15:30:00,43.4,43.46,42.83,42.84,136948.0
2020-03-25 15:35:00,42.84,43.44,42.84,43.2,101517.0
2020-03-25 15:40:00,43.19,43.53,43.19,43.33,116707.0
2020-03-25 15:45:00,43.39,43.48,42.76,42.86,105417.0
2020-03-25 15:50:00,42.86,43.01,42.03,42.245,224415.0
2020-03-25 15:55:00,42.29,42.66,41.77,41.91,337873.0
2020-03-25 16:00:00,41.89,42.27,41.49,41.63,397676.0
2020-03-26 09:35:00,43.3985,44.2657,43.3535,43.5284,468367.0
2020-03-26 09:40:00,43.465,43.77,43.06,43.06,181920.0
2020-03-26 09:45:00,43.11,43.5,42.8717,42.97,181308.0
2020-03-26 09:50:00,42.99,43.315,42.84,43.17,152274.0
2020-03-26 09:55:00,42.94,43.89,42.845,43.89,130337.0
2020-03-26 10:00:00,44.12,44.52,44.03,44.29,133825.0
2020-03-26 10:05:00,44.32,44.86,44.17,44.725,119222.0
2020-03-26 10:10:00,44.77,45.98,44.77,45.9219,194939.0
2020-03-26 10:15:00,45.97,46.19,45.38,45.6014,248178.0
2020-03-26 10:20:00,45.84,45.895,45.11,45.12,111742.0
2020-03-26 10:25:00,45.15,45.24,44.5,44.68,112580.0
2020-03-26 10:30:00,44.64,44.74,44.22,44.33,83359.0
2020-03-26 10:35:00,44.28,44.94,44.26,44.94,69716.0
2020-03-26 10:40:00,44.865,44.89,44.275,44.275,124793.0
2020-03-26 10:45:00,44.25,44.4013,44.01,44.3954,81435.0
2020-03-26 10:50:00,44.39,44.501,43.72,43.94,84467.0
2020-03-26 10:55:00,43.93,44.12,43.71,43.8,105355.0
2020-03-26 11:00:00,43.79,43.88,43.44,43.6,120026.0
2020-03-26 11:05:00,43.56,43.64,43.13,43.2,127794.0
2020-03-26 11:10:00,43.225,43.24,42.81,43.0,213747.0
2020-03-26 11:15:00,42.99,43.44,42.98,43.01,154869.0
2020-03-26 11:20:00,43.01,43.1557,43.01,43.09,83161.0
2020-03-26 11:25:00,43.08,43.6737,43.04,43.61,112480.0
2020-03-26 11:30:00,43.65,43.9439,43.56,43.87,81347.0
2020-03-26 11:35:00,43.8739,44.42,43.78,44.4,127993.0
2020-03-26 11:40:00,44.36,44.43,43.87,44.246,108804.0
2020-03-26 11:45:00,44.27,44.462,44.07,44.2,50890.0
2020-03-26 11:50:00,44.214,44.214,43.82,44.105,50443.0
2020-03-26 11:55:00,44.1193,44.24,43.91,44.035,35222.0
2020-03-26 12:00:00,44.02,44.05,43.77,43.99,40277.0
2020-03-26 12:05:00,43.93,44.14,43.93,44.1399,35769.0
2020-03-26 12:10:00,44.1101,44.1318,43.78,44.0723,96305.0
2020-03-26 12:15:00,44.09,44.23,43.95,43.95,55241.0
2020-03-26 12:20:00,43.95,43.96,43.53,43.53,59449.0
2020-03-26 12:25:00,43.5775,44.2,43.53,44.06,60772.0
2020-03-26 12:30:00,44.07,44.46,44.03,44.4,53160.0
2020-03-26 12:35:00,44.44,44.668,44.44,44.62,49896.0
2020-03-26 12:40:00,44.59,44.75,44.3904,44.64,76432.0
2020-03-26 12:45:00,44.63,44.63,44.218,44.3899,29214.0
2020-03-26 12:50:00,44.37,44.41,44.0978,44.41,37585.0
2020-03-26 12:55:00,44.4,44.72,44.39,44.405,38824.0
